組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I10400	マーケティング企画部	総受注高	199820166.0	260000000.0	76.8	13.9
230I10400	マーケティング企画部	受注高	199820166.0	260000000.0	76.8	13.8
230I10400	マーケティング企画部	受注割戻高	0.0	0.0		
230I10400	マーケティング企画部	総売上高	269044072.0	260000000.0	103.4	18.9
230I10400	マーケティング企画部	売上高	269044072.0	260000000.0	103.4	18.8
230I10400	マーケティング企画部	売上割戻高	0.0	0.0		
230I10400	マーケティング企画部	売上原価	245483060.0	237000000.0	103.5	22.4
230I10400	マーケティング企画部	売上原価（割戻前）	245483060.0	237000000.0	103.5	22.4
230I10400	マーケティング企画部	仕入割戻高	0.0	0.0		
230I10400	マーケティング企画部	総収益	23561012.0	23000000.0	102.4	7.0
230I10400	マーケティング企画部	経費合計	11912389.0	11890565.0	100.1	6.5
230I10400	マーケティング企画部	減価償却費	9354159.0	10716343.0	87.2	226.7
230I10400	マーケティング企画部	車両費	4973251.0	5000500.0	99.4	70.0
230I10400	マーケティング企画部	旅費交通費	6413457.0	6663500.0	96.2	92.5
230I10400	マーケティング企画部	荷造運搬費	3071163.0	2805200.0	109.4	20.7
230I10400	マーケティング企画部	通信費	844829.0	870384.0	97.0	63.6
230I10400	マーケティング企画部	水道光熱費	1156272.0	1155480.0	100.0	139.6
230I10400	マーケティング企画部	事務用品費	255959.0	262400.0	97.5	51.2
230I10400	マーケティング企画部	消耗品費	436742.0	406700.0	107.3	296.7
230I10400	マーケティング企画部	廃棄物処理料	277108.0	308600.0	89.7	95.3
230I10400	マーケティング企画部	広告宣伝費	10631900.0	10646900.0	99.8	707.8
230I10400	マーケティング企画部	接待交際費	255917.0	273000.0	93.7	92.6
230I10400	マーケティング企画部	研究開発費	1526241.0	1584000.0	96.3	
230I10400	マーケティング企画部	賃借料	2615621.0	2615800.0	99.9	186.2
230I10400	マーケティング企画部	賃貸料収入	-541000.0	-541000.0		
230I10400	マーケティング企画部	修繕費	612360.0	723500.0	84.6	656.6
230I10400	マーケティング企画部	支払リース料	152166.0	152400.0	99.8	217.8
230I10400	マーケティング企画部	保険料	1646113.0	1646400.0	99.9	
230I10400	マーケティング企画部	支払報酬	0.0	0.0		
230I10400	マーケティング企画部	販売手数料	0.0	0.0		
230I10400	マーケティング企画部	支払手数料	1250546.0	1247200.0	100.2	85.7
230I10400	マーケティング企画部	診断料	331000.0	348000.0	95.1	33.3
230I10400	マーケティング企画部	諸会費	156800.0	136300.0	115.0	59.6
230I10400	マーケティング企画部	会議費	515000.0	518000.0	99.4	
230I10400	マーケティング企画部	寄付金	0.0	0.0		0.0
230I10400	マーケティング企画部	租税公課	295072.0	297700.0	99.1	46.9
230I10400	マーケティング企画部	業務委託費	4113214.0	4069000.0	101.0	
230I10400	マーケティング企画部	業務受託収入	0.0	0.0		
230I10400	マーケティング企画部	システム管理料	1311856.0	1440000.0	91.1	728.8
230I10400	マーケティング企画部	情報機器利用料	8873932.0	9015040.0	98.4	96.4
230I10400	マーケティング企画部	貸倒金	0.0	0.0		0.0
230I10400	マーケティング企画部	雑費	498841.0	295900.0	168.5	91.4
230I10400	マーケティング企画部	福利消耗品費	147957.0	178900.0	82.7	66.8
230I10400	マーケティング企画部	教育研修費	1172009.0	925800.0	126.5	481.3
230I10400	マーケティング企画部	廃棄損・減耗損	0.0	0.0		0.0
230I10400	マーケティング企画部	雑給	0.0	0.0		
230I10400	マーケティング企画部	社内金利（固定資産）	1687797.0	1714000.0	98.4	148.8
230I10400	マーケティング企画部	社内金利（売掛金）	574743.0	465000.0	123.6	9.2
230I10400	マーケティング企画部	社内金利（在庫）	464215.0	498000.0	93.2	5.7
230I10400	マーケティング企画部	部門共通（経費）	-57183398.0	-58570995.0		
230I10400	マーケティング企画部	全社共通（経費）	1578547.0	1580613.0	99.8	1.5
230I10400	マーケティング企画部	グループ共通	2442000.0	2442000.0	100.0	75.5
230I10400	マーケティング企画部	差引収益	11648623.0	11109435.0	104.8	7.7
230I10400	マーケティング企画部	差引比率	4.3	4.2	102.3	40.9
230I10400	マーケティング企画部	総時間	6511.0	7377.5	88.2	12.5
230I10400	マーケティング企画部	定時間	22286.75	24235.0	91.9	86.4
230I10400	マーケティング企画部	残業時間	1530.25	1524.0	100.4	71.8
230I10400	マーケティング企画部	移動時間	881.0	837.0	105.2	47.0
230I10400	マーケティング企画部	部門共通（時間）	-19332.0	-20256.5		
230I10400	マーケティング企画部	全社共通（時間）	1145.0	1038.0	110.3	5.7
230I10400	マーケティング企画部	当月時間当り	1789.0	1505.8	118.8	61.8
230I10400	マーケティング企画部	人員	13.0	13.0	100.0	92.8
