組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I10800	リテール営業部	総受注高	2499047320.0	2395000000.0	104.3	71.6
230I10800	リテール営業部	受注高	2499047320.0	2395000000.0	104.3	71.6
230I10800	リテール営業部	受注割戻高	0.0	0.0		
230I10800	リテール営業部	総売上高	2527521363.0	2395000000.0	105.5	73.2
230I10800	リテール営業部	売上高	2527521363.0	2395000000.0	105.5	73.2
230I10800	リテール営業部	売上割戻高	0.0	0.0		
230I10800	リテール営業部	売上原価	2172054204.0	2029000000.0	107.0	71.8
230I10800	リテール営業部	売上原価（割戻前）	2172054204.0	2029000000.0	107.0	71.8
230I10800	リテール営業部	仕入割戻高	0.0	0.0		
230I10800	リテール営業部	総収益	355467159.0	366000000.0	97.1	82.7
230I10800	リテール営業部	経費合計	229784447.0	224972114.0	102.1	65.5
230I10800	リテール営業部	減価償却費	132440.0	132488.0	99.9	78.3
230I10800	リテール営業部	車両費	6113746.0	6102554.0	100.1	114.2
230I10800	リテール営業部	旅費交通費	8510011.0	8443000.0	100.7	116.1
230I10800	リテール営業部	荷造運搬費	66054545.0	59619144.0	110.7	81.8
230I10800	リテール営業部	通信費	2943210.0	2751054.0	106.9	96.2
230I10800	リテール営業部	水道光熱費	693641.0	704453.0	98.4	128.5
230I10800	リテール営業部	事務用品費	659269.0	571361.0	115.3	117.0
230I10800	リテール営業部	消耗品費	1622781.0	1676464.0	96.7	98.3
230I10800	リテール営業部	廃棄物処理料	549080.0	381636.0	143.8	305.6
230I10800	リテール営業部	広告宣伝費	369294.0	80000.0	461.6	419.0
230I10800	リテール営業部	接待交際費	384076.0	390000.0	98.4	85.0
230I10800	リテール営業部	研究開発費	0.0	0.0		
230I10800	リテール営業部	賃借料	5672448.0	5765146.0	98.3	159.5
230I10800	リテール営業部	賃貸料収入	0.0	0.0		
230I10800	リテール営業部	修繕費	258935.0	298800.0	86.6	145.1
230I10800	リテール営業部	支払リース料	114578.0	114578.0	100.0	125.2
230I10800	リテール営業部	保険料	401899.0	301688.0	133.2	97.7
230I10800	リテール営業部	支払報酬	0.0	0.0		
230I10800	リテール営業部	販売手数料	56436712.0	56618327.0	99.6	40.1
230I10800	リテール営業部	支払手数料	1599358.0	1568248.0	101.9	94.7
230I10800	リテール営業部	診断料	0.0	0.0		
230I10800	リテール営業部	諸会費	156732.0	167766.0	93.4	102.0
230I10800	リテール営業部	会議費	5000.0	5000.0	100.0	37.1
230I10800	リテール営業部	寄付金	0.0	0.0		
230I10800	リテール営業部	租税公課	10964.0	3433.0	319.3	121.3
230I10800	リテール営業部	業務委託費	32377326.0	33599810.0	96.3	94.3
230I10800	リテール営業部	業務受託収入	0.0	0.0		
230I10800	リテール営業部	システム管理料	0.0	0.0		0.0
230I10800	リテール営業部	情報機器利用料	10477488.0	11076480.0	94.5	159.2
230I10800	リテール営業部	貸倒金	0.0	0.0		
230I10800	リテール営業部	雑費	305771.0	362554.0	84.3	8.6
230I10800	リテール営業部	福利消耗品費	115331.0	151180.0	76.2	155.5
230I10800	リテール営業部	教育研修費	137357.0	129000.0	106.4	89.3
230I10800	リテール営業部	廃棄損・減耗損	5675205.0	5600000.0	101.3	70.7
230I10800	リテール営業部	雑給	0.0	0.0		
230I10800	リテール営業部	社内金利（固定資産）	28580.0	28571.0	100.0	81.5
230I10800	リテール営業部	社内金利（売掛金）	340757.0	298500.0	114.1	5.5
230I10800	リテール営業部	社内金利（在庫）	5928665.0	6136934.0	96.6	63.2
230I10800	リテール営業部	部門共通（経費）	2133875.0	2217579.0	96.2	114.5
230I10800	リテール営業部	全社共通（経費）	16890973.0	16991966.0	99.4	53.2
230I10800	リテール営業部	グループ共通	2684400.0	2684400.0	100.0	134.9
230I10800	リテール営業部	差引収益	125682712.0	141027886.0	89.1	159.4
230I10800	リテール営業部	差引比率	4.9	5.8	84.4	222.7
230I10800	リテール営業部	総時間	54050.5	54461.0	99.2	91.9
230I10800	リテール営業部	定時間	27940.25	28440.0	98.2	149.9
230I10800	リテール営業部	残業時間	3146.75	2465.0	127.6	178.1
230I10800	リテール営業部	移動時間	8004.0	7909.0	101.2	191.0
230I10800	リテール営業部	部門共通（時間）	804.0	843.75	95.2	118.4
230I10800	リテール営業部	全社共通（時間）	14155.5	14803.25	95.6	42.2
230I10800	リテール営業部	当月時間当り	2325.2	2589.5	89.7	173.3
230I10800	リテール営業部	人員	15.0	15.0	100.0	150.0
