組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
002010300	リテール＆EC本部	総受注高	3601194444.0	3500000000.0	102.8	103.2
002010300	リテール＆EC本部	受注高	3601194444.0	3500000000.0	102.8	103.2
002010300	リテール＆EC本部	受注割戻高	0.0	0.0		
002010300	リテール＆EC本部	総売上高	3599498069.0	3500000000.0	102.8	104.3
002010300	リテール＆EC本部	売上高	3599498069.0	3500000000.0	102.8	104.3
002010300	リテール＆EC本部	売上割戻高	0.0	0.0		
002010300	リテール＆EC本部	売上原価	3123202959.0	3010000000.0	103.7	103.3
002010300	リテール＆EC本部	売上原価（割戻前）	3123202959.0	3010000000.0	103.7	103.3
002010300	リテール＆EC本部	仕入割戻高	0.0	0.0		
002010300	リテール＆EC本部	総収益	476295110.0	490000000.0	97.2	110.8
002010300	リテール＆EC本部	経費合計	384368126.0	375641869.0	102.3	109.5
002010300	リテール＆EC本部	減価償却費	137536.0	137588.0	99.9	81.4
002010300	リテール＆EC本部	車両費	6113746.0	6102554.0	100.1	114.2
002010300	リテール＆EC本部	旅費交通費	8755848.0	8683000.0	100.8	119.5
002010300	リテール＆EC本部	荷造運搬費	73773965.0	69619144.0	105.9	91.3
002010300	リテール＆EC本部	通信費	3211941.0	2865520.0	112.0	105.0
002010300	リテール＆EC本部	水道光熱費	823943.0	838956.0	98.2	152.7
002010300	リテール＆EC本部	事務用品費	739181.0	650034.0	113.7	131.2
002010300	リテール＆EC本部	消耗品費	1635848.0	1688283.0	96.8	99.1
002010300	リテール＆EC本部	廃棄物処理料	579981.0	412477.0	140.6	322.8
002010300	リテール＆EC本部	広告宣伝費	369294.0	80000.0	461.6	419.0
002010300	リテール＆EC本部	接待交際費	391167.0	490000.0	79.8	86.6
002010300	リテール＆EC本部	研究開発費	0.0	0.0		
002010300	リテール＆EC本部	賃借料	7214352.0	7307050.0	98.7	202.8
002010300	リテール＆EC本部	賃貸料収入	0.0	0.0		
002010300	リテール＆EC本部	修繕費	258935.0	298800.0	86.6	145.1
002010300	リテール＆EC本部	支払リース料	135755.0	135759.0	99.9	148.4
002010300	リテール＆EC本部	保険料	513159.0	413308.0	124.1	124.7
002010300	リテール＆EC本部	支払報酬	0.0	0.0		
002010300	リテール＆EC本部	販売手数料	180088942.0	174618327.0	103.1	128.0
002010300	リテール＆EC本部	支払手数料	1599358.0	1568248.0	101.9	94.7
002010300	リテール＆EC本部	診断料	0.0	0.0		
002010300	リテール＆EC本部	諸会費	171590.0	186124.0	92.1	111.6
002010300	リテール＆EC本部	会議費	5000.0	5000.0	100.0	37.1
002010300	リテール＆EC本部	寄付金	0.0	0.0		
002010300	リテール＆EC本部	租税公課	10964.0	3433.0	319.3	121.3
002010300	リテール＆EC本部	業務委託費	32377326.0	33599810.0	96.3	94.3
002010300	リテール＆EC本部	業務受託収入	0.0	0.0		
002010300	リテール＆EC本部	システム管理料	0.0	0.0		0.0
002010300	リテール＆EC本部	情報機器利用料	12712872.0	13433760.0	94.6	193.2
002010300	リテール＆EC本部	貸倒金	0.0	0.0		
002010300	リテール＆EC本部	雑費	319891.0	376674.0	84.9	9.0
002010300	リテール＆EC本部	福利消耗品費	146681.0	171180.0	85.6	197.8
002010300	リテール＆EC本部	教育研修費	158435.0	152136.0	104.1	103.0
002010300	リテール＆EC本部	廃棄損・減耗損	5675205.0	5600000.0	101.3	70.7
002010300	リテール＆EC本部	雑給	0.0	0.0		
002010300	リテール＆EC本部	社内金利（固定資産）	31069.0	31062.0	100.0	88.7
002010300	リテール＆EC本部	社内金利（売掛金）	6990923.0	6458500.0	108.2	113.5
002010300	リテール＆EC本部	社内金利（在庫）	7559725.0	7526934.0	100.4	80.6
002010300	リテール＆EC本部	部門共通（経費）	2798399.0	2908485.0	96.2	150.2
002010300	リテール＆EC本部	全社共通（経費）	25649495.0	25862123.0	99.1	80.8
002010300	リテール＆EC本部	グループ共通	3417600.0	3417600.0	100.0	171.7
002010300	リテール＆EC本部	差引収益	91926984.0	114358131.0	80.3	116.6
002010300	リテール＆EC本部	差引比率	2.5	3.2	78.1	113.6
002010300	リテール＆EC本部	総時間	67903.75	68493.75	99.1	115.5
002010300	リテール＆EC本部	定時間	33653.25	34176.0	98.4	180.5
002010300	リテール＆EC本部	残業時間	3826.5	3005.0	127.3	216.6
002010300	リテール＆EC本部	移動時間	5841.0	5791.0	100.8	139.4
002010300	リテール＆EC本部	部門共通（時間）	1103.75	1160.0	95.1	162.6
002010300	リテール＆EC本部	全社共通（時間）	23479.25	24361.75	96.3	70.0
002010300	リテール＆EC本部	当月時間当り	1353.7	1669.6	81.0	100.9
002010300	リテール＆EC本部	人員	18.0	18.0	100.0	180.0
