組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
060C10100	天童営業課	総受注高	386243998.0	388000000.0	99.5	103.7
060C10100	天童営業課	受注高	396941359.0	398000000.0	99.7	103.0
060C10100	天童営業課	受注割戻高	-10697361.0	-10000000.0		
060C10100	天童営業課	総売上高	388320287.0	388000000.0	100.0	104.3
060C10100	天童営業課	売上高	399045208.0	398000000.0	100.2	103.6
060C10100	天童営業課	売上割戻高	-10724921.0	-10000000.0		
060C10100	天童営業課	売上原価	270467021.0	268500000.0	100.7	100.5
060C10100	天童営業課	売上原価（割戻前）	270467021.0	268500000.0	100.7	100.5
060C10100	天童営業課	仕入割戻高	0.0	0.0		
060C10100	天童営業課	総収益	117853266.0	119500000.0	98.6	114.2
060C10100	天童営業課	経費合計	40512905.0	39719601.0	101.9	100.3
060C10100	天童営業課	減価償却費	289814.0	289814.0	100.0	107.7
060C10100	天童営業課	車両費	6444941.0	6469806.0	99.6	106.4
060C10100	天童営業課	旅費交通費	42182.0	43946.0	95.9	33.7
060C10100	天童営業課	荷造運搬費	28376.0	41500.0	68.3	49.0
060C10100	天童営業課	通信費	850210.0	906363.0	93.8	89.9
060C10100	天童営業課	水道光熱費	537988.0	566000.0	95.0	92.0
060C10100	天童営業課	事務用品費	282265.0	264332.0	106.7	95.8
060C10100	天童営業課	消耗品費	135276.0	122000.0	110.8	52.0
060C10100	天童営業課	廃棄物処理料	121600.0	121900.0	99.7	103.1
060C10100	天童営業課	広告宣伝費	158688.0	165228.0	96.0	151.9
060C10100	天童営業課	接待交際費	149280.0	149736.0	99.6	140.1
060C10100	天童営業課	研究開発費	0.0	0.0		
060C10100	天童営業課	賃借料	6270000.0	6270000.0	100.0	100.0
060C10100	天童営業課	賃貸料収入	0.0	0.0		
060C10100	天童営業課	修繕費	0.0	0.0		
060C10100	天童営業課	支払リース料	0.0	0.0		
060C10100	天童営業課	保険料	63768.0	63768.0	100.0	118.7
060C10100	天童営業課	支払報酬	0.0	0.0		
060C10100	天童営業課	販売手数料	0.0	0.0		
060C10100	天童営業課	支払手数料	267802.0	289370.0	92.5	88.5
060C10100	天童営業課	診断料	0.0	0.0		0.0
060C10100	天童営業課	諸会費	36000.0	30000.0	120.0	112.5
060C10100	天童営業課	会議費	6500.0	6500.0	100.0	108.3
060C10100	天童営業課	寄付金	0.0	0.0		
060C10100	天童営業課	租税公課	289400.0	305400.0	94.7	93.5
060C10100	天童営業課	業務委託費	4371914.0	3302332.0	132.3	121.7
060C10100	天童営業課	業務受託収入	0.0	0.0		
060C10100	天童営業課	システム管理料	60000.0	60000.0	100.0	100.0
060C10100	天童営業課	情報機器利用料	4487982.0	4513510.0	99.4	118.3
060C10100	天童営業課	貸倒金	0.0	0.0		
060C10100	天童営業課	雑費	410976.0	413097.0	99.4	99.4
060C10100	天童営業課	福利消耗品費	104400.0	150314.0	69.4	84.1
060C10100	天童営業課	教育研修費	150320.0	154320.0	97.4	40.4
060C10100	天童営業課	廃棄損・減耗損	39542.0	30000.0	131.8	58.1
060C10100	天童営業課	雑給	0.0	0.0		
060C10100	天童営業課	社内金利（固定資産）	107585.0	107585.0	100.0	97.3
060C10100	天童営業課	社内金利（売掛金）	4799123.0	4770000.0	100.6	99.8
060C10100	天童営業課	社内金利（在庫）	1631182.0	1632000.0	99.9	90.3
060C10100	天童営業課	部門共通（経費）	4352441.0	4454229.0	97.7	112.0
060C10100	天童営業課	全社共通（経費）	2314550.0	2317751.0	99.8	60.5
060C10100	天童営業課	グループ共通	1708800.0	1708800.0	100.0	98.1
060C10100	天童営業課	差引収益	77340361.0	79780399.0	96.9	123.2
060C10100	天童営業課	差引比率	19.9	20.5	97.0	118.4
060C10100	天童営業課	総時間	19007.0	19355.75	98.1	99.0
060C10100	天童営業課	定時間	14110.25	14352.0	98.3	112.4
060C10100	天童営業課	残業時間	741.25	759.0	97.6	96.4
060C10100	天童営業課	移動時間	700.75	692.5	101.1	113.8
060C10100	天童営業課	部門共通（時間）	1511.0	1575.25	95.9	110.5
060C10100	天童営業課	全社共通（時間）	1943.75	1977.0	98.3	49.8
060C10100	天童営業課	当月時間当り	4069.0	4121.7	98.7	124.4
060C10100	天童営業課	人員	8.0	8.0	100.0	114.2
