組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230R10100	安城営業課	総受注高	781643337.0	754000000.0	103.6	104.8
230R10100	安城営業課	受注高	781643337.0	754000000.0	103.6	104.8
230R10100	安城営業課	受注割戻高	0.0	0.0		
230R10100	安城営業課	総売上高	781846928.0	754000000.0	103.6	105.0
230R10100	安城営業課	売上高	781846928.0	754000000.0	103.6	104.9
230R10100	安城営業課	売上割戻高	0.0	0.0		
230R10100	安城営業課	売上原価	673788940.0	648000000.0	103.9	105.0
230R10100	安城営業課	売上原価（割戻前）	673788940.0	648000000.0	103.9	105.0
230R10100	安城営業課	仕入割戻高	0.0	0.0		
230R10100	安城営業課	総収益	108057988.0	106000000.0	101.9	104.7
230R10100	安城営業課	経費合計	36647307.0	36537670.0	100.3	117.5
230R10100	安城営業課	減価償却費	478044.0	478044.0	100.0	98.1
230R10100	安城営業課	車両費	4554101.0	4636800.0	98.2	118.3
230R10100	安城営業課	旅費交通費	289718.0	324000.0	89.4	152.6
230R10100	安城営業課	荷造運搬費	806687.0	711000.0	113.4	106.8
230R10100	安城営業課	通信費	462783.0	465713.0	99.3	92.0
230R10100	安城営業課	水道光熱費	739050.0	756569.0	97.6	97.2
230R10100	安城営業課	事務用品費	303870.0	326500.0	93.0	85.2
230R10100	安城営業課	消耗品費	326054.0	53000.0	615.1	619.7
230R10100	安城営業課	廃棄物処理料	239257.0	230000.0	104.0	115.3
230R10100	安城営業課	広告宣伝費	4400.0	4400.0	100.0	100.0
230R10100	安城営業課	接待交際費	441530.0	415000.0	106.3	100.2
230R10100	安城営業課	研究開発費	0.0	0.0		
230R10100	安城営業課	賃借料	1490400.0	1550400.0	96.1	98.2
230R10100	安城営業課	賃貸料収入	-243360.0	-243360.0		
230R10100	安城営業課	修繕費	400000.0	700000.0	57.1	268.4
230R10100	安城営業課	支払リース料	91600.0	91600.0	100.0	100.0
230R10100	安城営業課	保険料	192804.0	192804.0	100.0	110.8
230R10100	安城営業課	支払報酬	0.0	0.0		
230R10100	安城営業課	販売手数料	0.0	0.0		
230R10100	安城営業課	支払手数料	252100.0	252700.0	99.7	99.3
230R10100	安城営業課	診断料	580000.0	600000.0	96.6	99.2
230R10100	安城営業課	諸会費	76475.0	63975.0	119.5	115.0
230R10100	安城営業課	会議費	0.0	0.0		
230R10100	安城営業課	寄付金	0.0	0.0		
230R10100	安城営業課	租税公課	1348100.0	1351400.0	99.7	99.0
230R10100	安城営業課	業務委託費	0.0	0.0		
230R10100	安城営業課	業務受託収入	-135453.0	-135453.0		
230R10100	安城営業課	システム管理料	0.0	0.0		
230R10100	安城営業課	情報機器利用料	5107460.0	4917960.0	103.8	155.5
230R10100	安城営業課	貸倒金	0.0	0.0		
230R10100	安城営業課	雑費	256883.0	256000.0	100.3	103.0
230R10100	安城営業課	福利消耗品費	67468.0	60000.0	112.4	102.5
230R10100	安城営業課	教育研修費	311681.0	261581.0	119.1	346.3
230R10100	安城営業課	廃棄損・減耗損	600000.0	600000.0	100.0	82.6
230R10100	安城営業課	雑給	0.0	0.0		
230R10100	安城営業課	社内金利（固定資産）	168801.0	168801.0	100.0	85.3
230R10100	安城営業課	社内金利（売掛金）	225650.0	207500.0	108.7	97.7
230R10100	安城営業課	社内金利（在庫）	1645227.0	1650000.0	99.7	94.7
230R10100	安城営業課	部門共通（経費）	3762449.0	3859658.0	97.4	104.7
230R10100	安城営業課	全社共通（経費）	10094728.0	10022278.0	100.7	121.5
230R10100	安城営業課	グループ共通	1708800.0	1708800.0	100.0	114.5
230R10100	安城営業課	差引収益	71410681.0	69462330.0	102.8	99.1
230R10100	安城営業課	差引比率	9.1	9.2	98.9	94.7
230R10100	安城営業課	総時間	20309.25	20394.75	99.5	108.0
230R10100	安城営業課	定時間	15222.75	15134.0	100.5	132.0
230R10100	安城営業課	残業時間	1112.5	1110.0	100.2	113.1
230R10100	安城営業課	移動時間	-262.0	-244.5		
230R10100	安城営業課	部門共通（時間）	1261.5	1312.0	96.1	101.5
230R10100	安城営業課	全社共通（時間）	2974.5	3083.25	96.4	63.6
230R10100	安城営業課	当月時間当り	3516.1	3405.8	103.2	91.7
230R10100	安城営業課	人員	8.0	8.0	100.0	114.2
