組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
270A10100	岸和田営業課	総受注高	142166408.0	139000000.0	102.2	104.1
270A10100	岸和田営業課	受注高	142166408.0	139000000.0	102.2	104.1
270A10100	岸和田営業課	受注割戻高	0.0	0.0		
270A10100	岸和田営業課	総売上高	141654408.0	139000000.0	101.9	103.6
270A10100	岸和田営業課	売上高	141654408.0	139000000.0	101.9	103.6
270A10100	岸和田営業課	売上割戻高	0.0	0.0		
270A10100	岸和田営業課	売上原価	125943904.0	123700000.0	101.8	103.2
270A10100	岸和田営業課	売上原価（割戻前）	125943904.0	123700000.0	101.8	103.2
270A10100	岸和田営業課	仕入割戻高	0.0	0.0		
270A10100	岸和田営業課	総収益	15710504.0	15300000.0	102.6	107.5
270A10100	岸和田営業課	経費合計	9389631.0	9439234.0	99.4	110.7
270A10100	岸和田営業課	減価償却費	0.0	0.0		
270A10100	岸和田営業課	車両費	453250.0	460000.0	98.5	102.6
270A10100	岸和田営業課	旅費交通費	44545.0	43000.0	103.5	88.8
270A10100	岸和田営業課	荷造運搬費	393392.0	427000.0	92.1	99.4
270A10100	岸和田営業課	通信費	318188.0	323000.0	98.5	88.2
270A10100	岸和田営業課	水道光熱費	124232.0	128000.0	97.0	99.6
270A10100	岸和田営業課	事務用品費	57446.0	53000.0	108.3	103.7
270A10100	岸和田営業課	消耗品費	28902.0	29000.0	99.6	90.8
270A10100	岸和田営業課	廃棄物処理料	4045.0	4000.0	101.1	148.3
270A10100	岸和田営業課	広告宣伝費	3000.0	4000.0	75.0	77.5
270A10100	岸和田営業課	接待交際費	0.0	0.0		0.0
270A10100	岸和田営業課	研究開発費	0.0	0.0		
270A10100	岸和田営業課	賃借料	2544000.0	2544000.0	100.0	100.0
270A10100	岸和田営業課	賃貸料収入	0.0	0.0		
270A10100	岸和田営業課	修繕費	2085.0	0.0		204.6
270A10100	岸和田営業課	支払リース料	166968.0	166968.0	100.0	109.1
270A10100	岸和田営業課	保険料	19620.0	19620.0	100.0	99.7
270A10100	岸和田営業課	支払報酬	0.0	0.0		
270A10100	岸和田営業課	販売手数料	0.0	0.0		
270A10100	岸和田営業課	支払手数料	206900.0	206700.0	100.0	100.8
270A10100	岸和田営業課	診断料	0.0	0.0		
270A10100	岸和田営業課	諸会費	0.0	0.0		0.0
270A10100	岸和田営業課	会議費	0.0	0.0		
270A10100	岸和田営業課	寄付金	0.0	0.0		
270A10100	岸和田営業課	租税公課	24600.0	24000.0	102.5	103.8
270A10100	岸和田営業課	業務委託費	0.0	0.0		
270A10100	岸和田営業課	業務受託収入	0.0	0.0		
270A10100	岸和田営業課	システム管理料	0.0	0.0		
270A10100	岸和田営業課	情報機器利用料	1512360.0	1512360.0	100.0	231.4
270A10100	岸和田営業課	貸倒金	0.0	0.0		
270A10100	岸和田営業課	雑費	23100.0	23625.0	97.7	96.9
270A10100	岸和田営業課	福利消耗品費	0.0	0.0		0.0
270A10100	岸和田営業課	教育研修費	34452.0	34452.0	100.0	100.0
270A10100	岸和田営業課	廃棄損・減耗損	50000.0	50000.0	100.0	48.2
270A10100	岸和田営業課	雑給	0.0	0.0		
270A10100	岸和田営業課	社内金利（固定資産）	0.0	0.0		
270A10100	岸和田営業課	社内金利（売掛金）	31775.0	23500.0	135.2	164.5
270A10100	岸和田営業課	社内金利（在庫）	276545.0	271000.0	102.0	105.6
270A10100	岸和田営業課	部門共通（経費）	1585710.0	1612247.0	98.3	112.6
270A10100	岸和田営業課	全社共通（経費）	997316.0	992562.0	100.4	79.3
270A10100	岸和田営業課	グループ共通	487200.0	487200.0	100.0	196.1
270A10100	岸和田営業課	差引収益	6320873.0	5860766.0	107.8	103.0
270A10100	岸和田営業課	差引比率	4.4	4.2	104.7	100.0
270A10100	岸和田営業課	総時間	5560.25	5673.25	98.0	140.3
270A10100	岸和田営業課	定時間	3669.0	3720.0	98.6	188.3
270A10100	岸和田営業課	残業時間	124.25	130.0	95.5	152.9
270A10100	岸和田営業課	移動時間	666.25	681.5	97.7	127.2
270A10100	岸和田営業課	部門共通（時間）	646.0	680.5	94.9	115.6
270A10100	岸和田営業課	全社共通（時間）	454.75	461.25	98.5	53.5
270A10100	岸和田営業課	当月時間当り	1136.7	1033.0	110.0	73.4
270A10100	岸和田営業課	人員	2.0	2.0	100.0	200.0
