組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
220D10200	広域課	総受注高	708776682.0	703000000.0	100.8	
220D10200	広域課	受注高	708776682.0	703000000.0	100.8	
220D10200	広域課	受注割戻高	0.0	0.0		
220D10200	広域課	総売上高	686726994.0	703000000.0	97.6	
220D10200	広域課	売上高	686726994.0	703000000.0	97.6	
220D10200	広域課	売上割戻高	0.0	0.0		
220D10200	広域課	売上原価	446880902.0	456500000.0	97.8	
220D10200	広域課	売上原価（割戻前）	446880902.0	456500000.0	97.8	
220D10200	広域課	仕入割戻高	0.0	0.0		
220D10200	広域課	総収益	239846092.0	246500000.0	97.3	
220D10200	広域課	経費合計	118208484.0	119435852.0	98.9	
220D10200	広域課	減価償却費	892456.0	894000.0	99.8	
220D10200	広域課	車両費	2155176.0	2127000.0	101.3	
220D10200	広域課	旅費交通費	6848364.0	6470000.0	105.8	
220D10200	広域課	荷造運搬費	12272909.0	12700000.0	96.6	
220D10200	広域課	通信費	466672.0	504000.0	92.5	
220D10200	広域課	水道光熱費	422552.0	426300.0	99.1	
220D10200	広域課	事務用品費	120101.0	122500.0	98.0	
220D10200	広域課	消耗品費	65337.0	53800.0	121.4	
220D10200	広域課	廃棄物処理料	179484.0	151200.0	118.7	
220D10200	広域課	広告宣伝費	975244.0	910000.0	107.1	
220D10200	広域課	接待交際費	266948.0	311000.0	85.8	
220D10200	広域課	研究開発費	0.0	0.0		
220D10200	広域課	賃借料	255002.0	254903.0	100.0	
220D10200	広域課	賃貸料収入	0.0	0.0		
220D10200	広域課	修繕費	14700.0	180000.0	8.1	
220D10200	広域課	支払リース料	0.0	0.0		
220D10200	広域課	保険料	36752.0	36000.0	102.0	
220D10200	広域課	支払報酬	0.0	0.0		
220D10200	広域課	販売手数料	0.0	0.0		
220D10200	広域課	支払手数料	758451.0	796000.0	95.2	
220D10200	広域課	診断料	526800.0	514800.0	102.3	
220D10200	広域課	諸会費	98500.0	81000.0	121.6	
220D10200	広域課	会議費	0.0	0.0		
220D10200	広域課	寄付金	10000.0	12000.0	83.3	
220D10200	広域課	租税公課	348350.0	359000.0	97.0	
220D10200	広域課	業務委託費	0.0	0.0		
220D10200	広域課	業務受託収入	0.0	0.0		
220D10200	広域課	システム管理料	0.0	180000.0	0.0	
220D10200	広域課	情報機器利用料	4359600.0	4359600.0	100.0	
220D10200	広域課	貸倒金	0.0	0.0		
220D10200	広域課	雑費	114378.0	70500.0	162.2	
220D10200	広域課	福利消耗品費	98068.0	116200.0	84.3	
220D10200	広域課	教育研修費	31830.0	24000.0	132.6	
220D10200	広域課	廃棄損・減耗損	0.0	0.0		
220D10200	広域課	雑給	0.0	0.0		
220D10200	広域課	社内金利（固定資産）	463738.0	464000.0	99.9	
220D10200	広域課	社内金利（売掛金）	2971542.0	3325000.0	89.3	
220D10200	広域課	社内金利（在庫）	3678870.0	3611000.0	101.8	
220D10200	広域課	部門共通（経費）	4263751.0	4466877.0	95.4	
220D10200	広域課	全社共通（経費）	74050109.0	74452372.0	99.4	
220D10200	広域課	グループ共通	1462800.0	1462800.0	100.0	
220D10200	広域課	差引収益	121637608.0	127064148.0	95.7	
220D10200	広域課	差引比率	17.7	18.0	98.3	
220D10200	広域課	総時間	23206.25	25134.75	92.3	
220D10200	広域課	定時間	10975.0	11408.0	96.2	
220D10200	広域課	残業時間	945.0	886.0	106.6	
220D10200	広域課	移動時間	616.0	667.25	92.3	
220D10200	広域課	部門共通（時間）	1924.5	2034.0	94.6	
220D10200	広域課	全社共通（時間）	8745.75	10139.5	86.2	
220D10200	広域課	当月時間当り	5241.5	5055.3	103.6	
220D10200	広域課	人員	6.0	6.0	100.0	
