組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
220B10200	掛川営業課	総受注高	821051390.0	802000000.0	102.3	103.1
220B10200	掛川営業課	受注高	863921511.0	841030000.0	102.7	103.2
220B10200	掛川営業課	受注割戻高	-42870121.0	-39030000.0		
220B10200	掛川営業課	総売上高	804043934.0	802000000.0	100.2	101.5
220B10200	掛川営業課	売上高	846901542.0	841030000.0	100.6	101.7
220B10200	掛川営業課	売上割戻高	-42857608.0	-39030000.0		
220B10200	掛川営業課	売上原価	703592556.0	706600000.0	99.5	100.9
220B10200	掛川営業課	売上原価（割戻前）	703592556.0	706600000.0	99.5	100.9
220B10200	掛川営業課	仕入割戻高	0.0	0.0		
220B10200	掛川営業課	総収益	100451378.0	95400000.0	105.2	106.0
220B10200	掛川営業課	経費合計	33567896.0	34312771.0	97.8	98.9
220B10200	掛川営業課	減価償却費	339447.0	339447.0	100.0	97.5
220B10200	掛川営業課	車両費	3228979.0	3197600.0	100.9	95.6
220B10200	掛川営業課	旅費交通費	151236.0	167000.0	90.5	82.0
220B10200	掛川営業課	荷造運搬費	2200121.0	2127000.0	103.4	103.5
220B10200	掛川営業課	通信費	490115.0	503600.0	97.3	87.5
220B10200	掛川営業課	水道光熱費	211429.0	222000.0	95.2	92.8
220B10200	掛川営業課	事務用品費	238703.0	281000.0	84.9	82.2
220B10200	掛川営業課	消耗品費	49062.0	41500.0	118.2	103.3
220B10200	掛川営業課	廃棄物処理料	0.0	0.0		0.0
220B10200	掛川営業課	広告宣伝費	7000.0	22500.0	31.1	32.4
220B10200	掛川営業課	接待交際費	128044.0	130000.0	98.4	51.2
220B10200	掛川営業課	研究開発費	0.0	0.0		
220B10200	掛川営業課	賃借料	1638000.0	1638000.0	100.0	93.0
220B10200	掛川営業課	賃貸料収入	-122160.0	-122160.0		
220B10200	掛川営業課	修繕費	0.0	0.0		
220B10200	掛川営業課	支払リース料	82800.0	82800.0	100.0	100.0
220B10200	掛川営業課	保険料	114048.0	114048.0	100.0	93.5
220B10200	掛川営業課	支払報酬	0.0	0.0		
220B10200	掛川営業課	販売手数料	0.0	0.0		
220B10200	掛川営業課	支払手数料	252000.0	253500.0	99.4	98.7
220B10200	掛川営業課	診断料	144600.0	135000.0	107.1	66.4
220B10200	掛川営業課	諸会費	90400.0	67700.0	133.5	102.6
220B10200	掛川営業課	会議費	0.0	0.0		0.0
220B10200	掛川営業課	寄付金	2000.0	2000.0	100.0	117.5
220B10200	掛川営業課	租税公課	328800.0	333200.0	98.6	99.1
220B10200	掛川営業課	業務委託費	5662850.0	6215000.0	91.1	91.7
220B10200	掛川営業課	業務受託収入	-346362.0	-346362.0		
220B10200	掛川営業課	システム管理料	0.0	0.0		
220B10200	掛川営業課	情報機器利用料	4418760.0	4418760.0	100.0	112.2
220B10200	掛川営業課	貸倒金	0.0	0.0		
220B10200	掛川営業課	雑費	1600.0	0.0		6.0
220B10200	掛川営業課	福利消耗品費	54201.0	54000.0	100.3	126.7
220B10200	掛川営業課	教育研修費	83778.0	108178.0	77.4	50.3
220B10200	掛川営業課	廃棄損・減耗損	1200000.0	1200000.0	100.0	79.2
220B10200	掛川営業課	雑給	0.0	0.0		
220B10200	掛川営業課	社内金利（固定資産）	441974.0	441974.0	100.0	95.5
220B10200	掛川営業課	社内金利（売掛金）	916853.0	914000.0	100.3	105.3
220B10200	掛川営業課	社内金利（在庫）	1819808.0	1860000.0	97.8	92.9
220B10200	掛川営業課	部門共通（経費）	3986881.0	4138247.0	96.3	111.0
220B10200	掛川営業課	全社共通（経費）	4290129.0	4310439.0	99.5	109.3
220B10200	掛川営業課	グループ共通	1462800.0	1462800.0	100.0	98.0
220B10200	掛川営業課	差引収益	66883482.0	61087229.0	109.4	110.0
220B10200	掛川営業課	差引比率	8.3	7.6	109.2	109.2
220B10200	掛川営業課	総時間	16394.25	16878.25	97.1	94.0
220B10200	掛川営業課	定時間	10858.75	11046.0	98.3	103.0
220B10200	掛川営業課	残業時間	465.75	560.0	83.1	79.8
220B10200	掛川営業課	移動時間	1362.0	1372.0	99.2	146.6
220B10200	掛川営業課	部門共通（時間）	1325.0	1383.25	95.7	106.6
220B10200	掛川営業課	全社共通（時間）	2382.75	2517.0	94.6	57.6
220B10200	掛川営業課	当月時間当り	4079.6	3619.2	112.7	116.9
220B10200	掛川営業課	人員	6.0	6.0	100.0	100.0
