組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
060E10100	最上営業課	総受注高	649187293.0	690000000.0	94.0	95.3
060E10100	最上営業課	受注高	661446512.0	704500000.0	93.8	94.9
060E10100	最上営業課	受注割戻高	-12259219.0	-14500000.0		
060E10100	最上営業課	総売上高	681509394.0	690000000.0	98.7	100.7
060E10100	最上営業課	売上高	694420802.0	704500000.0	98.5	100.4
060E10100	最上営業課	売上割戻高	-12911408.0	-14500000.0		
060E10100	最上営業課	売上原価	575833621.0	582000000.0	98.9	99.7
060E10100	最上営業課	売上原価（割戻前）	575833621.0	582000000.0	98.9	99.7
060E10100	最上営業課	仕入割戻高	0.0	0.0		
060E10100	最上営業課	総収益	105675773.0	108000000.0	97.8	106.5
060E10100	最上営業課	経費合計	43767156.0	44451079.0	98.4	93.9
060E10100	最上営業課	減価償却費	172904.0	172904.0	100.0	110.2
060E10100	最上営業課	車両費	8343249.0	8595444.0	97.0	95.2
060E10100	最上営業課	旅費交通費	361909.0	400000.0	90.4	96.4
060E10100	最上営業課	荷造運搬費	1188257.0	1555000.0	76.4	70.6
060E10100	最上営業課	通信費	848806.0	893386.0	95.0	94.8
060E10100	最上営業課	水道光熱費	302699.0	308200.0	98.2	97.9
060E10100	最上営業課	事務用品費	305385.0	308200.0	99.0	79.5
060E10100	最上営業課	消耗品費	92735.0	81000.0	114.4	92.7
060E10100	最上営業課	廃棄物処理料	98637.0	100000.0	98.6	83.9
060E10100	最上営業課	広告宣伝費	163645.0	160985.0	101.6	103.7
060E10100	最上営業課	接待交際費	115000.0	125000.0	92.0	81.2
060E10100	最上営業課	研究開発費	0.0	0.0		
060E10100	最上営業課	賃借料	4909092.0	4909092.0	100.0	100.0
060E10100	最上営業課	賃貸料収入	0.0	0.0		
060E10100	最上営業課	修繕費	0.0	0.0		0.0
060E10100	最上営業課	支払リース料	0.0	0.0		
060E10100	最上営業課	保険料	62412.0	62412.0	100.0	117.7
060E10100	最上営業課	支払報酬	0.0	0.0		
060E10100	最上営業課	販売手数料	0.0	0.0		
060E10100	最上営業課	支払手数料	247030.0	262800.0	93.9	92.0
060E10100	最上営業課	診断料	0.0	0.0		
060E10100	最上営業課	諸会費	7000.0	7000.0	100.0	82.3
060E10100	最上営業課	会議費	5500.0	5500.0	100.0	59.8
060E10100	最上営業課	寄付金	0.0	0.0		
060E10100	最上営業課	租税公課	78900.0	96000.0	82.1	93.6
060E10100	最上営業課	業務委託費	4224010.0	4146000.0	101.8	118.4
060E10100	最上営業課	業務受託収入	0.0	0.0		
060E10100	最上営業課	システム管理料	45000.0	45000.0	100.0	100.0
060E10100	最上営業課	情報機器利用料	4418760.0	4418760.0	100.0	96.6
060E10100	最上営業課	貸倒金	0.0	0.0		
060E10100	最上営業課	雑費	176023.0	123384.0	142.6	139.1
060E10100	最上営業課	福利消耗品費	0.0	55000.0	0.0	0.0
060E10100	最上営業課	教育研修費	9940.0	7070.0	140.5	5.9
060E10100	最上営業課	廃棄損・減耗損	120000.0	120000.0	100.0	52.2
060E10100	最上営業課	雑給	0.0	0.0		
060E10100	最上営業課	社内金利（固定資産）	58457.0	58457.0	100.0	107.2
060E10100	最上営業課	社内金利（売掛金）	3634803.0	3611417.0	100.6	101.0
060E10100	最上営業課	社内金利（在庫）	1969657.0	1925386.0	102.2	96.5
060E10100	最上営業課	部門共通（経費）	4666903.0	4780996.0	97.6	120.1
060E10100	最上営業課	全社共通（経費）	5677643.0	5653886.0	100.4	70.3
060E10100	最上営業課	グループ共通	1462800.0	1462800.0	100.0	84.0
060E10100	最上営業課	差引収益	61908617.0	63548921.0	97.4	117.7
060E10100	最上営業課	差引比率	9.0	9.2	97.8	116.8
060E10100	最上営業課	総時間	17343.25	17698.75	97.9	84.7
060E10100	最上営業課	定時間	11332.0	11424.0	99.1	88.4
060E10100	最上営業課	残業時間	806.5	823.0	97.9	85.9
060E10100	最上営業課	移動時間	312.75	412.25	75.8	
060E10100	最上営業課	部門共通（時間）	1608.5	1675.0	96.0	117.6
060E10100	最上営業課	全社共通（時間）	3283.5	3364.5	97.5	57.8
060E10100	最上営業課	当月時間当り	3569.6	3590.5	99.4	139.0
060E10100	最上営業課	人員	6.0	6.0	100.0	85.7
