組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
060D10100	朝日営業課	総受注高	346856953.0	352000000.0	98.5	99.8
060D10100	朝日営業課	受注高	365695295.0	372000000.0	98.3	100.0
060D10100	朝日営業課	受注割戻高	-18838342.0	-20000000.0		
060D10100	朝日営業課	総売上高	344786105.0	352000000.0	97.9	99.1
060D10100	朝日営業課	売上高	363292604.0	372000000.0	97.6	99.3
060D10100	朝日営業課	売上割戻高	-18506499.0	-20000000.0		
060D10100	朝日営業課	売上原価	263353343.0	268700000.0	98.0	96.3
060D10100	朝日営業課	売上原価（割戻前）	263353343.0	268700000.0	98.0	96.3
060D10100	朝日営業課	仕入割戻高	0.0	0.0		
060D10100	朝日営業課	総収益	81432762.0	83300000.0	97.7	109.5
060D10100	朝日営業課	経費合計	29920484.0	30051244.0	99.5	97.7
060D10100	朝日営業課	減価償却費	649401.0	649401.0	100.0	110.5
060D10100	朝日営業課	車両費	5407735.0	5336700.0	101.3	101.4
060D10100	朝日営業課	旅費交通費	62500.0	71500.0	87.4	78.9
060D10100	朝日営業課	荷造運搬費	40058.0	37400.0	107.1	37.6
060D10100	朝日営業課	通信費	664083.0	725000.0	91.5	85.6
060D10100	朝日営業課	水道光熱費	502372.0	517000.0	97.1	99.1
060D10100	朝日営業課	事務用品費	239719.0	244500.0	98.0	91.0
060D10100	朝日営業課	消耗品費	239296.0	198000.0	120.8	115.4
060D10100	朝日営業課	廃棄物処理料	82880.0	81000.0	102.3	100.4
060D10100	朝日営業課	広告宣伝費	83640.0	85040.0	98.3	153.0
060D10100	朝日営業課	接待交際費	175550.0	185300.0	94.7	97.3
060D10100	朝日営業課	研究開発費	0.0	0.0		
060D10100	朝日営業課	賃借料	743037.0	744240.0	99.8	109.7
060D10100	朝日営業課	賃貸料収入	0.0	0.0		
060D10100	朝日営業課	修繕費	89000.0	100000.0	89.0	139.8
060D10100	朝日営業課	支払リース料	122400.0	122400.0	100.0	100.0
060D10100	朝日営業課	保険料	65484.0	65484.0	100.0	102.5
060D10100	朝日営業課	支払報酬	0.0	0.0		
060D10100	朝日営業課	販売手数料	0.0	0.0		
060D10100	朝日営業課	支払手数料	218868.0	221500.0	98.8	98.1
060D10100	朝日営業課	診断料	0.0	11500.0	0.0	0.0
060D10100	朝日営業課	諸会費	20000.0	20000.0	100.0	95.2
060D10100	朝日営業課	会議費	6000.0	6000.0	100.0	100.0
060D10100	朝日営業課	寄付金	0.0	0.0		
060D10100	朝日営業課	租税公課	163000.0	165000.0	98.7	82.3
060D10100	朝日営業課	業務委託費	2953080.0	2923000.0	101.0	92.8
060D10100	朝日営業課	業務受託収入	0.0	0.0		
060D10100	朝日営業課	システム管理料	45000.0	45000.0	100.0	100.0
060D10100	朝日営業課	情報機器利用料	3122760.0	3122760.0	100.0	120.3
060D10100	朝日営業課	貸倒金	0.0	0.0		
060D10100	朝日営業課	雑費	375819.0	383000.0	98.1	154.6
060D10100	朝日営業課	福利消耗品費	10000.0	46000.0	21.7	21.9
060D10100	朝日営業課	教育研修費	97034.0	99045.0	97.9	119.5
060D10100	朝日営業課	廃棄損・減耗損	202367.0	200000.0	101.1	74.4
060D10100	朝日営業課	雑給	0.0	0.0		
060D10100	朝日営業課	社内金利（固定資産）	444907.0	444907.0	100.0	95.0
060D10100	朝日営業課	社内金利（売掛金）	4939239.0	4949440.0	99.7	101.8
060D10100	朝日営業課	社内金利（在庫）	1559584.0	1569800.0	99.3	78.2
060D10100	朝日営業課	部門共通（経費）	3519806.0	3599766.0	97.7	102.6
060D10100	朝日営業課	全社共通（経費）	2100265.0	2105961.0	99.7	71.2
060D10100	朝日営業課	グループ共通	975600.0	975600.0	100.0	98.0
060D10100	朝日営業課	差引収益	51512278.0	53248756.0	96.7	117.8
060D10100	朝日営業課	差引比率	14.9	15.1	98.6	119.2
060D10100	朝日営業課	総時間	13020.25	13212.0	98.5	118.5
060D10100	朝日営業課	定時間	7745.25	7776.0	99.6	122.6
060D10100	朝日営業課	残業時間	575.75	645.0	89.2	81.4
060D10100	朝日営業課	移動時間	1527.25	1531.0	99.7	
060D10100	朝日営業課	部門共通（時間）	1246.0	1301.25	95.7	100.2
060D10100	朝日営業課	全社共通（時間）	1926.0	1958.75	98.3	68.6
060D10100	朝日営業課	当月時間当り	3956.3	4030.3	98.1	99.3
060D10100	朝日営業課	人員	4.0	4.0	100.0	133.3
