組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I60210	本社管理課	総受注高	0.0	0.0		
230I60210	本社管理課	受注高	0.0	0.0		
230I60210	本社管理課	受注割戻高	0.0	0.0		
230I60210	本社管理課	総売上高	0.0	0.0		
230I60210	本社管理課	売上高	0.0	0.0		
230I60210	本社管理課	売上割戻高	0.0	0.0		
230I60210	本社管理課	売上原価	0.0	0.0		
230I60210	本社管理課	売上原価（割戻前）	0.0	0.0		
230I60210	本社管理課	仕入割戻高	0.0	0.0		
230I60210	本社管理課	総収益	0.0	0.0		
230I60210	本社管理課	経費合計	0.0	0.0		
230I60210	本社管理課	減価償却費	207815.0	207815.0	100.0	108.0
230I60210	本社管理課	車両費	193117.0	195000.0	99.0	44.7
230I60210	本社管理課	旅費交通費	1190158.0	1093020.0	108.8	84.5
230I60210	本社管理課	荷造運搬費	456.0	555.0	82.1	48.9
230I60210	本社管理課	通信費	733041.0	745600.0	98.3	254.3
230I60210	本社管理課	水道光熱費	295412.0	297800.0	99.1	72.7
230I60210	本社管理課	事務用品費	160073.0	179900.0	88.9	72.9
230I60210	本社管理課	消耗品費	33961.0	31000.0	109.5	69.2
230I60210	本社管理課	廃棄物処理料	106233.0	99650.0	106.6	70.9
230I60210	本社管理課	広告宣伝費	0.0	0.0		
230I60210	本社管理課	接待交際費	47792.0	48000.0	99.5	125.1
230I60210	本社管理課	研究開発費	0.0	0.0		
230I60210	本社管理課	賃借料	179666.0	179580.0	100.0	24.7
230I60210	本社管理課	賃貸料収入	-1001.0	-1001.0		
230I60210	本社管理課	修繕費	155146.0	139470.0	111.2	92.1
230I60210	本社管理課	支払リース料	44710.0	44714.0	99.9	95.6
230I60210	本社管理課	保険料	33436.0	33441.0	99.9	165.9
230I60210	本社管理課	支払報酬	0.0	0.0		
230I60210	本社管理課	販売手数料	0.0	0.0		
230I60210	本社管理課	支払手数料	87703.0	91040.0	96.3	102.5
230I60210	本社管理課	診断料	0.0	0.0		
230I60210	本社管理課	諸会費	30684.0	30718.0	99.8	82.8
230I60210	本社管理課	会議費	0.0	0.0		
230I60210	本社管理課	寄付金	1650.0	1900.0	86.8	103.3
230I60210	本社管理課	租税公課	169153.0	169404.0	99.8	149.6
230I60210	本社管理課	業務委託費	0.0	0.0		
230I60210	本社管理課	業務受託収入	0.0	0.0		
230I60210	本社管理課	システム管理料	2220.0	0.0		
230I60210	本社管理課	情報機器利用料	4533504.0	4533504.0	100.0	84.2
230I60210	本社管理課	貸倒金	0.0	0.0		
230I60210	本社管理課	雑費	84411.0	84240.0	100.2	110.8
230I60210	本社管理課	福利消耗品費	27262.0	28000.0	97.3	70.2
230I60210	本社管理課	教育研修費	684582.0	698728.0	97.9	
230I60210	本社管理課	廃棄損・減耗損	0.0	0.0		
230I60210	本社管理課	雑給	0.0	0.0		
230I60210	本社管理課	社内金利（固定資産）	115642.0	115648.0	99.9	104.8
230I60210	本社管理課	社内金利（売掛金）	0.0	0.0		
230I60210	本社管理課	社内金利（在庫）	0.0	0.0		
230I60210	本社管理課	部門共通（経費）	0.0	0.0		
230I60210	本社管理課	全社共通（経費）	-10338426.0	-10269326.0		
230I60210	本社管理課	グループ共通	1221600.0	1221600.0	100.0	81.8
230I60210	本社管理課	差引収益	0.0	0.0		
230I60210	本社管理課	差引比率	0.0	0.0		
230I60210	本社管理課	総時間	0.0	0.0		
230I60210	本社管理課	定時間	11353.75	11432.0	99.3	75.6
230I60210	本社管理課	残業時間	897.25	839.75	106.8	59.7
230I60210	本社管理課	移動時間	-1987.5	-1985.0		
230I60210	本社管理課	部門共通（時間）	0.0	0.0		
230I60210	本社管理課	全社共通（時間）	-10263.5	-10286.75		
230I60210	本社管理課	当月時間当り	0.0	0.0		
230I60210	本社管理課	人員	6.0	6.0	100.0	75.0
