組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
060A10100	東北営業部	総受注高	2611905292.0	2700000000.0	96.7	98.6
060A10100	東北営業部	受注高	2713820243.0	2810430000.0	96.5	97.8
060A10100	東北営業部	受注割戻高	-101914951.0	-110430000.0		
060A10100	東北営業部	総売上高	2676961476.0	2700000000.0	99.1	101.6
060A10100	東北営業部	売上高	2780721978.0	2810430000.0	98.9	100.8
060A10100	東北営業部	売上割戻高	-103760502.0	-110430000.0		
060A10100	東北営業部	売上原価	2117070137.0	2130000000.0	99.3	99.9
060A10100	東北営業部	売上原価（割戻前）	2117070137.0	2130000000.0	99.3	99.9
060A10100	東北営業部	仕入割戻高	0.0	0.0		
060A10100	東北営業部	総収益	559891339.0	570000000.0	98.2	108.5
060A10100	東北営業部	経費合計	220448744.0	216629113.0	101.7	98.9
060A10100	東北営業部	減価償却費	1397606.0	1397604.0	100.0	103.0
060A10100	東北営業部	車両費	36605668.0	36711450.0	99.7	101.0
060A10100	東北営業部	旅費交通費	2791210.0	2836146.0	98.4	104.1
060A10100	東北営業部	荷造運搬費	2929914.0	3561784.0	82.2	84.1
060A10100	東北営業部	通信費	4271778.0	4563478.0	93.6	92.9
060A10100	東北営業部	水道光熱費	2454461.0	2522471.0	97.3	98.0
060A10100	東北営業部	事務用品費	1735675.0	1716276.0	101.1	94.4
060A10100	東北営業部	消耗品費	836887.0	738122.0	113.3	105.1
060A10100	東北営業部	廃棄物処理料	552126.0	534092.0	103.3	97.1
060A10100	東北営業部	広告宣伝費	872729.0	873718.0	99.8	121.5
060A10100	東北営業部	接待交際費	1580428.0	1608764.0	98.2	100.5
060A10100	東北営業部	研究開発費	0.0	0.0		
060A10100	東北営業部	賃借料	16024462.0	16280684.0	98.4	98.7
060A10100	東北営業部	賃貸料収入	-185800.0	-185800.0		
060A10100	東北営業部	修繕費	459084.0	437050.0	105.0	116.6
060A10100	東北営業部	支払リース料	362688.0	362688.0	100.0	100.7
060A10100	東北営業部	保険料	599753.0	597679.0	100.3	105.8
060A10100	東北営業部	支払報酬	0.0	0.0		
060A10100	東北営業部	販売手数料	0.0	0.0		
060A10100	東北営業部	支払手数料	1516961.0	1535841.0	98.7	94.7
060A10100	東北営業部	診断料	0.0	11500.0	0.0	0.0
060A10100	東北営業部	諸会費	400580.0	404580.0	99.0	95.7
060A10100	東北営業部	会議費	57727.0	57727.0	100.0	161.0
060A10100	東北営業部	寄付金	0.0	0.0		0.0
060A10100	東北営業部	租税公課	1393357.0	1434554.0	97.1	93.2
060A10100	東北営業部	業務委託費	26431415.0	20238132.0	130.6	120.6
060A10100	東北営業部	業務受託収入	0.0	0.0		
060A10100	東北営業部	システム管理料	285000.0	285000.0	100.0	100.0
060A10100	東北営業部	情報機器利用料	25246244.0	25252150.0	99.9	118.0
060A10100	東北営業部	貸倒金	0.0	0.0		
060A10100	東北営業部	雑費	1418957.0	1373515.0	103.3	116.2
060A10100	東北営業部	福利消耗品費	192696.0	421574.0	45.7	55.8
060A10100	東北営業部	教育研修費	621391.0	635598.0	97.7	60.4
060A10100	東北営業部	廃棄損・減耗損	2141533.0	2103000.0	101.8	70.2
060A10100	東北営業部	雑給	0.0	0.0		
060A10100	東北営業部	社内金利（固定資産）	833243.0	835955.0	99.6	97.3
060A10100	東北営業部	社内金利（売掛金）	23996545.0	24157857.0	99.3	98.9
060A10100	東北営業部	社内金利（在庫）	12868730.0	13070186.0	98.4	93.7
060A10100	東北営業部	部門共通（経費）	19572050.0	20045305.0	97.6	108.3
060A10100	東北営業部	全社共通（経費）	21924046.0	21950833.0	99.8	68.5
060A10100	東北営業部	グループ共通	8259600.0	8259600.0	100.0	103.7
060A10100	東北営業部	差引収益	339442595.0	353370887.0	96.0	115.8
060A10100	東北営業部	差引比率	12.6	13.0	96.9	113.5
060A10100	東北営業部	総時間	99893.0	99095.75	100.8	100.7
060A10100	東北営業部	定時間	69738.25	67879.0	102.7	112.9
060A10100	東北営業部	残業時間	4429.0	4595.0	96.3	102.3
060A10100	東北営業部	移動時間	2577.25	2842.5	90.6	
060A10100	東北営業部	部門共通（時間）	6774.75	7060.25	95.9	103.8
060A10100	東北営業部	全社共通（時間）	16373.75	16719.0	97.9	60.2
060A10100	東北営業部	当月時間当り	3398.0	3565.9	95.2	114.9
060A10100	東北営業部	人員	36.0	36.0	100.0	109.0
