組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
060A60200	東北購買課	総受注高	0.0	0.0		
060A60200	東北購買課	受注高	0.0	0.0		
060A60200	東北購買課	受注割戻高	0.0	0.0		
060A60200	東北購買課	総売上高	0.0	0.0		
060A60200	東北購買課	売上高	0.0	0.0		
060A60200	東北購買課	売上割戻高	0.0	0.0		
060A60200	東北購買課	売上原価	0.0	0.0		
060A60200	東北購買課	売上原価（割戻前）	0.0	0.0		
060A60200	東北購買課	仕入割戻高	0.0	0.0		
060A60200	東北購買課	総収益	0.0	0.0		
060A60200	東北購買課	経費合計	0.0	0.0		
060A60200	東北購買課	減価償却費	131739.0	131739.0	100.0	129.0
060A60200	東北購買課	車両費	498622.0	497676.0	100.1	206.5
060A60200	東北購買課	旅費交通費	195084.0	199180.0	97.9	49.3
060A60200	東北購買課	荷造運搬費	1733.0	1566.0	110.6	75.4
060A60200	東北購買課	通信費	178637.0	180415.0	99.0	118.0
060A60200	東北購買課	水道光熱費	305882.0	313007.0	97.7	113.5
060A60200	東北購買課	事務用品費	117662.0	120110.0	97.9	102.9
060A60200	東北購買課	消耗品費	48683.0	44598.0	109.1	179.0
060A60200	東北購買課	廃棄物処理料	72726.0	69774.0	104.2	106.4
060A60200	東北購買課	広告宣伝費	-689369.0	-689369.0		
060A60200	東北購買課	接待交際費	132045.0	136360.0	96.8	135.2
060A60200	東北購買課	研究開発費	0.0	0.0		
060A60200	東北購買課	賃借料	152247.0	151980.0	100.1	25.3
060A60200	東北購買課	賃貸料収入	-3000.0	-3000.0		
060A60200	東北購買課	修繕費	175351.0	155540.0	112.7	166.9
060A60200	東北購買課	支払リース料	97592.0	97596.0	99.9	128.0
060A60200	東北購買課	保険料	77620.0	77496.0	100.1	150.6
060A60200	東北購買課	支払報酬	0.0	0.0		
060A60200	東北購買課	販売手数料	0.0	0.0		
060A60200	東北購買課	支払手数料	81416.0	81510.0	99.8	133.3
060A60200	東北購買課	診断料	0.0	0.0		
060A60200	東北購買課	諸会費	353457.0	326003.0	108.4	119.3
060A60200	東北購買課	会議費	16792.0	12815.0	131.0	210.7
060A60200	東北購買課	寄付金	0.0	0.0		
060A60200	東北購買課	租税公課	334255.0	334256.0	99.9	133.7
060A60200	東北購買課	業務委託費	0.0	0.0		
060A60200	東北購買課	業務受託収入	0.0	0.0		
060A60200	東北購買課	システム管理料	0.0	0.0		
060A60200	東北購買課	情報機器利用料	4119100.0	4132200.0	99.6	108.7
060A60200	東北購買課	貸倒金	0.0	0.0		
060A60200	東北購買課	雑費	166387.0	165148.0	100.7	164.8
060A60200	東北購買課	福利消耗品費	13250.0	7600.0	174.3	249.5
060A60200	東北購買課	教育研修費	74876.0	74880.0	99.9	252.3
060A60200	東北購買課	廃棄損・減耗損	0.0	0.0		
060A60200	東北購買課	雑給	0.0	0.0		
060A60200	東北購買課	社内金利（固定資産）	90962.0	90964.0	99.9	121.8
060A60200	東北購買課	社内金利（売掛金）	0.0	0.0		
060A60200	東北購買課	社内金利（在庫）	0.0	0.0		
060A60200	東北購買課	部門共通（経費）	0.0	0.0		
060A60200	東北購買課	全社共通（経費）	-7965349.0	-7931644.0		
060A60200	東北購買課	グループ共通	1221600.0	1221600.0	100.0	81.8
060A60200	東北購買課	差引収益	0.0	0.0		
060A60200	東北購買課	差引比率	0.0	0.0		
060A60200	東北購買課	総時間	0.0	0.0		
060A60200	東北購買課	定時間	8024.75	8287.0	96.8	93.6
060A60200	東北購買課	残業時間	580.75	669.0	86.8	69.7
060A60200	東北購買課	移動時間	-128.75	-128.0		
060A60200	東北購買課	部門共通（時間）	0.0	0.0		
060A60200	東北購買課	全社共通（時間）	-8476.75	-8828.0		
060A60200	東北購買課	当月時間当り	0.0	0.0		
060A60200	東北購買課	人員	5.0	5.0	100.0	83.3
