組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
060B10100	東日本営業課	総受注高	1500628950.0	1420000000.0	105.6	58.3
060B10100	東日本営業課	受注高	1500628950.0	1420000000.0	105.6	58.3
060B10100	東日本営業課	受注割戻高	0.0	0.0		
060B10100	東日本営業課	総売上高	1484533674.0	1420000000.0	104.5	58.5
060B10100	東日本営業課	売上高	1484533674.0	1420000000.0	104.5	58.5
060B10100	東日本営業課	売上割戻高	0.0	0.0		
060B10100	東日本営業課	売上原価	1267666246.0	1203000000.0	105.3	56.7
060B10100	東日本営業課	売上原価（割戻前）	1267666246.0	1203000000.0	105.3	56.7
060B10100	東日本営業課	仕入割戻高	0.0	0.0		
060B10100	東日本営業課	総収益	216867428.0	217000000.0	99.9	72.1
060B10100	東日本営業課	経費合計	149145528.0	149113307.0	100.0	54.8
060B10100	東日本営業課	減価償却費	95290.0	95288.0	100.0	74.4
060B10100	東日本営業課	車両費	3163535.0	3100250.0	102.0	113.0
060B10100	東日本営業課	旅費交通費	3695132.0	3573000.0	103.4	132.2
060B10100	東日本営業課	荷造運搬費	35280600.0	34519144.0	102.2	65.7
060B10100	東日本営業課	通信費	2477588.0	2515380.0	98.4	94.3
060B10100	東日本営業課	水道光熱費	395976.0	403436.0	98.1	168.0
060B10100	東日本営業課	事務用品費	485747.0	485981.0	99.9	111.4
060B10100	東日本営業課	消耗品費	1628258.0	1635451.0	99.5	102.4
060B10100	東日本営業課	廃棄物処理料	415285.0	262636.0	158.1	855.6
060B10100	東日本営業課	広告宣伝費	367785.0	60000.0	612.9	470.7
060B10100	東日本営業課	接待交際費	243134.0	260000.0	93.5	70.2
060B10100	東日本営業課	研究開発費	0.0	0.0		
060B10100	東日本営業課	賃借料	5458248.0	5550946.0	98.3	163.6
060B10100	東日本営業課	賃貸料収入	0.0	0.0		
060B10100	東日本営業課	修繕費	156000.0	156000.0	100.0	
060B10100	東日本営業課	支払リース料	63532.0	63530.0	100.0	190.5
060B10100	東日本営業課	保険料	233798.0	193340.0	120.9	75.0
060B10100	東日本営業課	支払報酬	0.0	0.0		
060B10100	東日本営業課	販売手数料	38119504.0	37617727.0	101.3	31.2
060B10100	東日本営業課	支払手数料	72940.0	82000.0	88.9	90.6
060B10100	東日本営業課	診断料	0.0	0.0		
060B10100	東日本営業課	諸会費	205066.0	128066.0	160.1	190.8
060B10100	東日本営業課	会議費	0.0	0.0		0.0
060B10100	東日本営業課	寄付金	0.0	0.0		
060B10100	東日本営業課	租税公課	0.0	0.0		0.0
060B10100	東日本営業課	業務委託費	30475399.0	31409810.0	97.0	95.6
060B10100	東日本営業課	業務受託収入	0.0	0.0		
060B10100	東日本営業課	システム管理料	0.0	0.0		0.0
060B10100	東日本営業課	情報機器利用料	6825960.0	7443480.0	91.7	206.9
060B10100	東日本営業課	貸倒金	0.0	0.0		
060B10100	東日本営業課	雑費	228656.0	252000.0	90.7	6.6
060B10100	東日本営業課	福利消耗品費	50000.0	100000.0	50.0	138.1
060B10100	東日本営業課	教育研修費	71252.0	69420.0	102.6	76.2
060B10100	東日本営業課	廃棄損・減耗損	4175205.0	4100000.0	101.8	67.6
060B10100	東日本営業課	雑給	0.0	0.0		
060B10100	東日本営業課	社内金利（固定資産）	8872.0	8871.0	100.0	70.9
060B10100	東日本営業課	社内金利（売掛金）	329457.0	298500.0	110.3	5.3
060B10100	東日本営業課	社内金利（在庫）	2935806.0	3140000.0	93.4	46.2
060B10100	東日本営業課	部門共通（経費）	1218894.0	1248084.0	97.6	116.6
060B10100	東日本営業課	全社共通（経費）	8559809.0	8632167.0	99.1	38.7
060B10100	東日本営業課	グループ共通	1708800.0	1708800.0	100.0	171.7
060B10100	東日本営業課	差引収益	67721900.0	67886693.0	99.7	239.1
060B10100	東日本営業課	差引比率	4.5	4.7	95.7	409.0
060B10100	東日本営業課	総時間	33448.0	33126.0	100.9	90.2
060B10100	東日本営業課	定時間	19054.25	19040.0	100.0	198.9
060B10100	東日本営業課	残業時間	2577.0	2225.0	115.8	191.4
060B10100	東日本営業課	移動時間	2234.0	2118.0	105.4	
060B10100	東日本営業課	部門共通（時間）	438.25	457.5	95.7	118.3
060B10100	東日本営業課	全社共通（時間）	9144.5	9285.5	98.4	35.3
060B10100	東日本営業課	当月時間当り	2024.6	2049.3	98.7	264.9
060B10100	東日本営業課	人員	10.0	10.0	100.0	200.0
