組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I11000	東海関西営業部	総受注高	4798184832.0	4705000000.0	101.9	85.0
230I11000	東海関西営業部	受注高	4838887270.0	4745000000.0	101.9	83.9
230I11000	東海関西営業部	受注割戻高	-40702438.0	-40000000.0		
230I11000	東海関西営業部	総売上高	4802734337.0	4705000000.0	102.0	85.3
230I11000	東海関西営業部	売上高	4843467245.0	4745000000.0	102.0	84.2
230I11000	東海関西営業部	売上割戻高	-40732908.0	-40000000.0		
230I11000	東海関西営業部	売上原価	4131833644.0	4050000000.0	102.0	84.6
230I11000	東海関西営業部	売上原価（割戻前）	4131833644.0	4050000000.0	102.0	84.6
230I11000	東海関西営業部	仕入割戻高	0.0	0.0		
230I11000	東海関西営業部	総収益	670900693.0	655000000.0	102.4	89.9
230I11000	東海関西営業部	経費合計	200421644.0	200895977.0	99.7	80.4
230I11000	東海関西営業部	減価償却費	614725.0	614645.0	100.0	33.3
230I11000	東海関西営業部	車両費	21395419.0	21980116.0	97.3	80.4
230I11000	東海関西営業部	旅費交通費	7705558.0	7674000.0	100.4	106.1
230I11000	東海関西営業部	荷造運搬費	5623206.0	5768000.0	97.4	67.4
230I11000	東海関西営業部	通信費	2618117.0	2732405.0	95.8	69.3
230I11000	東海関西営業部	水道光熱費	2535915.0	2607569.0	97.2	77.3
230I11000	東海関西営業部	事務用品費	1137757.0	1156500.0	98.3	67.6
230I11000	東海関西営業部	消耗品費	595621.0	301000.0	197.8	106.5
230I11000	東海関西営業部	廃棄物処理料	971632.0	906000.0	107.2	109.9
230I11000	東海関西営業部	広告宣伝費	463060.0	534500.0	86.6	79.8
230I11000	東海関西営業部	接待交際費	2108686.0	2157000.0	97.7	92.1
230I11000	東海関西営業部	研究開発費	0.0	0.0		
230I11000	東海関西営業部	賃借料	26156002.0	26297259.0	99.4	90.6
230I11000	東海関西営業部	賃貸料収入	-603360.0	-603360.0		
230I11000	東海関西営業部	修繕費	1906675.0	1048000.0	181.9	322.4
230I11000	東海関西営業部	支払リース料	610002.0	607320.0	100.4	92.4
230I11000	東海関西営業部	保険料	428750.0	428324.0	100.0	69.7
230I11000	東海関西営業部	支払報酬	0.0	0.0		
230I11000	東海関西営業部	販売手数料	0.0	0.0		
230I11000	東海関西営業部	支払手数料	1183423.0	1133400.0	104.4	67.9
230I11000	東海関西営業部	診断料	5275860.0	5263000.0	100.2	94.0
230I11000	東海関西営業部	諸会費	266214.0	302575.0	87.9	55.5
230I11000	東海関西営業部	会議費	4250.0	0.0		269.8
230I11000	東海関西営業部	寄付金	10000.0	10000.0	100.0	78.7
230I11000	東海関西営業部	租税公課	1466857.0	1490200.0	98.4	42.2
230I11000	東海関西営業部	業務委託費	5729480.0	5717000.0	100.2	50.8
230I11000	東海関西営業部	業務受託収入	-1299422.0	-1145969.0		
230I11000	東海関西営業部	システム管理料	13350.0	0.0		44.5
230I11000	東海関西営業部	情報機器利用料	24210518.0	24046200.0	100.6	97.8
230I11000	東海関西営業部	貸倒金	135142.0	0.0		
230I11000	東海関西営業部	雑費	662548.0	720625.0	91.9	74.0
230I11000	東海関西営業部	福利消耗品費	211273.0	211060.0	100.1	78.8
230I11000	東海関西営業部	教育研修費	607591.0	529977.0	114.6	60.8
230I11000	東海関西営業部	廃棄損・減耗損	2520000.0	2390000.0	105.4	42.6
230I11000	東海関西営業部	雑給	0.0	0.0		
230I11000	東海関西営業部	社内金利（固定資産）	245189.0	246233.0	99.5	17.8
230I11000	東海関西営業部	社内金利（売掛金）	5025122.0	4481000.0	112.1	82.1
230I11000	東海関西営業部	社内金利（在庫）	9012181.0	9498000.0	94.8	70.5
230I11000	東海関西営業部	部門共通（経費）	20714628.0	21504784.0	96.3	78.1
230I11000	東海関西営業部	全社共通（経費）	42591275.0	42720214.0	99.6	79.4
230I11000	東海関西営業部	グループ共通	7568400.0	7568400.0	100.0	82.2
230I11000	東海関西営業部	差引収益	470479049.0	454104023.0	103.6	94.7
230I11000	東海関西営業部	差引比率	9.7	9.6	101.0	110.2
230I11000	東海関西営業部	総時間	104159.25	105599.75	98.6	79.7
230I11000	東海関西営業部	定時間	64173.75	63758.0	100.6	91.0
230I11000	東海関西営業部	残業時間	5584.5	5706.0	97.8	83.2
230I11000	東海関西営業部	移動時間	8914.5	8833.0	100.9	94.4
230I11000	東海関西営業部	部門共通（時間）	7365.5	7716.0	95.4	78.5
230I11000	東海関西営業部	全社共通（時間）	18121.0	19586.75	92.5	52.4
230I11000	東海関西営業部	当月時間当り	4516.9	4300.2	105.0	118.7
230I11000	東海関西営業部	人員	35.0	34.0	102.9	89.7
