組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I10600	田原営業課	総受注高	1273654859.0	1260000000.0	101.0	104.8
230I10600	田原営業課	受注高	1291007521.0	1277000000.0	101.0	104.6
230I10600	田原営業課	受注割戻高	-17352662.0	-17000000.0		
230I10600	田原営業課	総売上高	1272748620.0	1260000000.0	101.0	104.8
230I10600	田原営業課	売上高	1289802102.0	1277000000.0	101.0	104.6
230I10600	田原営業課	売上割戻高	-17053482.0	-17000000.0		
230I10600	田原営業課	売上原価	1109560174.0	1099000000.0	100.9	104.9
230I10600	田原営業課	売上原価（割戻前）	1109560174.0	1099000000.0	100.9	104.9
230I10600	田原営業課	仕入割戻高	0.0	0.0		
230I10600	田原営業課	総収益	163188446.0	161000000.0	101.3	103.9
230I10600	田原営業課	経費合計	36598663.0	37090952.0	98.6	94.7
230I10600	田原営業課	減価償却費	37174.0	37200.0	99.9	90.8
230I10600	田原営業課	車両費	3741309.0	3745000.0	99.9	88.0
230I10600	田原営業課	旅費交通費	491127.0	460000.0	106.7	64.7
230I10600	田原営業課	荷造運搬費	568221.0	593000.0	95.8	82.7
230I10600	田原営業課	通信費	287381.0	294000.0	97.7	88.3
230I10600	田原営業課	水道光熱費	299118.0	300000.0	99.7	98.4
230I10600	田原営業課	事務用品費	161047.0	152000.0	105.9	103.1
230I10600	田原営業課	消耗品費	17458.0	32000.0	54.5	49.4
230I10600	田原営業課	廃棄物処理料	403847.0	410000.0	98.4	98.0
230I10600	田原営業課	広告宣伝費	161000.0	161000.0	100.0	98.7
230I10600	田原営業課	接待交際費	137434.0	118000.0	116.4	99.5
230I10600	田原営業課	研究開発費	0.0	0.0		
230I10600	田原営業課	賃借料	4872700.0	4812000.0	101.2	87.9
230I10600	田原営業課	賃貸料収入	-120000.0	-120000.0		
230I10600	田原営業課	修繕費	120000.0	144000.0	83.3	68.8
230I10600	田原営業課	支払リース料	31346.0	31800.0	98.5	110.7
230I10600	田原営業課	保険料	2486.0	2400.0	103.5	89.7
230I10600	田原営業課	支払報酬	0.0	0.0		
230I10600	田原営業課	販売手数料	0.0	0.0		
230I10600	田原営業課	支払手数料	97328.0	101600.0	95.7	118.3
230I10600	田原営業課	診断料	2213100.0	2346000.0	94.3	92.7
230I10600	田原営業課	諸会費	90000.0	100500.0	89.5	112.5
230I10600	田原営業課	会議費	4250.0	0.0		
230I10600	田原営業課	寄付金	0.0	0.0		
230I10600	田原営業課	租税公課	8300.0	8900.0	93.2	82.0
230I10600	田原営業課	業務委託費	317500.0	351000.0	90.4	76.6
230I10600	田原営業課	業務受託収入	-428000.0	-428000.0		
230I10600	田原営業課	システム管理料	0.0	0.0		0.0
230I10600	田原営業課	情報機器利用料	3633000.0	3692160.0	98.3	111.2
230I10600	田原営業課	貸倒金	0.0	0.0		
230I10600	田原営業課	雑費	55656.0	60000.0	92.7	86.6
230I10600	田原営業課	福利消耗品費	29180.0	28600.0	102.0	97.5
230I10600	田原営業課	教育研修費	42522.0	42500.0	100.0	16.6
230I10600	田原営業課	廃棄損・減耗損	300000.0	300000.0	100.0	78.7
230I10600	田原営業課	雑給	0.0	0.0		
230I10600	田原営業課	社内金利（固定資産）	21683.0	22150.0	97.8	96.2
230I10600	田原営業課	社内金利（売掛金）	646600.0	788000.0	82.0	78.7
230I10600	田原営業課	社内金利（在庫）	1739125.0	1800000.0	96.6	93.7
230I10600	田原営業課	部門共通（経費）	3539296.0	3629247.0	97.5	98.5
230I10600	田原営業課	全社共通（経費）	11855875.0	11854295.0	100.0	97.2
230I10600	田原営業課	グループ共通	1221600.0	1221600.0	100.0	122.7
230I10600	田原営業課	差引収益	126589783.0	123909048.0	102.1	106.9
230I10600	田原営業課	差引比率	9.9	9.8	101.0	102.0
230I10600	田原営業課	総時間	24181.0	23971.5	100.8	108.9
230I10600	田原営業課	定時間	9773.0	9920.0	98.5	102.6
230I10600	田原営業課	残業時間	850.75	935.0	90.9	79.5
230I10600	田原営業課	移動時間	5778.25	5754.75	100.4	208.4
230I10600	田原営業課	部門共通（時間）	1245.5	1292.0	96.4	100.2
230I10600	田原営業課	全社共通（時間）	6533.5	6069.75	107.6	86.0
230I10600	田原営業課	当月時間当り	5235.0	5169.0	101.2	98.1
230I10600	田原営業課	人員	5.0	5.0	100.0	100.0
