組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
300B10100	田辺営業課	総受注高	256437653.0	251000000.0	102.1	129.7
300B10100	田辺営業課	受注高	272770091.0	267000000.0	102.1	119.8
300B10100	田辺営業課	受注割戻高	-16332438.0	-16000000.0		
300B10100	田辺営業課	総売上高	256421703.0	251000000.0	102.1	129.6
300B10100	田辺営業課	売上高	272754141.0	267000000.0	102.1	119.8
300B10100	田辺営業課	売上割戻高	-16332438.0	-16000000.0		
300B10100	田辺営業課	売上原価	219163507.0	213300000.0	102.7	120.5
300B10100	田辺営業課	売上原価（割戻前）	219163507.0	213300000.0	102.7	120.5
300B10100	田辺営業課	仕入割戻高	0.0	0.0		
300B10100	田辺営業課	総収益	37258196.0	37700000.0	98.8	232.9
300B10100	田辺営業課	経費合計	14726831.0	14405526.0	102.2	116.1
300B10100	田辺営業課	減価償却費	0.0	0.0		
300B10100	田辺営業課	車両費	1011424.0	1018000.0	99.3	102.4
300B10100	田辺営業課	旅費交通費	98822.0	72000.0	137.2	100.5
300B10100	田辺営業課	荷造運搬費	436286.0	500000.0	87.2	80.2
300B10100	田辺営業課	通信費	431144.0	450000.0	95.8	86.7
300B10100	田辺営業課	水道光熱費	178531.0	180000.0	99.1	93.9
300B10100	田辺営業課	事務用品費	79486.0	95000.0	83.6	84.6
300B10100	田辺営業課	消耗品費	59798.0	40000.0	149.4	39.1
300B10100	田辺営業課	廃棄物処理料	0.0	0.0		
300B10100	田辺営業課	広告宣伝費	100000.0	100000.0	100.0	106.4
300B10100	田辺営業課	接待交際費	101182.0	93000.0	108.7	77.3
300B10100	田辺営業課	研究開発費	0.0	0.0		
300B10100	田辺営業課	賃借料	2750353.0	2789919.0	98.5	132.8
300B10100	田辺営業課	賃貸料収入	0.0	0.0		
300B10100	田辺営業課	修繕費	0.0	0.0		
300B10100	田辺営業課	支払リース料	82828.0	82800.0	100.0	97.8
300B10100	田辺営業課	保険料	38016.0	38016.0	100.0	103.7
300B10100	田辺営業課	支払報酬	0.0	0.0		
300B10100	田辺営業課	販売手数料	0.0	0.0		
300B10100	田辺営業課	支払手数料	207020.0	206400.0	100.3	99.3
300B10100	田辺営業課	診断料	0.0	0.0		
300B10100	田辺営業課	諸会費	0.0	0.0		0.0
300B10100	田辺営業課	会議費	0.0	0.0		
300B10100	田辺営業課	寄付金	0.0	0.0		
300B10100	田辺営業課	租税公課	41000.0	41000.0	100.0	95.9
300B10100	田辺営業課	業務委託費	0.0	0.0		
300B10100	田辺営業課	業務受託収入	-21818.0	0.0		
300B10100	田辺営業課	システム管理料	0.0	0.0		
300B10100	田辺営業課	情報機器利用料	2220010.0	2238960.0	99.1	169.8
300B10100	田辺営業課	貸倒金	0.0	0.0		
300B10100	田辺営業課	雑費	26700.0	30000.0	89.0	78.5
300B10100	田辺営業課	福利消耗品費	7136.0	10000.0	71.3	59.7
300B10100	田辺営業課	教育研修費	28890.0	60000.0	48.1	45.4
300B10100	田辺営業課	廃棄損・減耗損	320000.0	340000.0	94.1	71.6
300B10100	田辺営業課	雑給	0.0	0.0		
300B10100	田辺営業課	社内金利（固定資産）	0.0	0.0		
300B10100	田辺営業課	社内金利（売掛金）	1778745.0	1250000.0	142.2	151.1
300B10100	田辺営業課	社内金利（在庫）	1033815.0	1020000.0	101.3	117.0
300B10100	田辺営業課	部門共通（経費）	1854530.0	1890836.0	98.0	131.7
300B10100	田辺営業課	全社共通（経費）	1129733.0	1126395.0	100.2	69.7
300B10100	田辺営業課	グループ共通	733200.0	733200.0	100.0	147.5
300B10100	田辺営業課	差引収益	22531365.0	23294474.0	96.7	678.8
300B10100	田辺営業課	差引比率	8.7	9.2	94.5	543.7
300B10100	田辺営業課	総時間	6602.75	6378.75	103.5	100.2
300B10100	田辺営業課	定時間	4080.0	3800.0	107.3	111.9
300B10100	田辺営業課	残業時間	463.75	465.0	99.7	81.7
300B10100	田辺営業課	移動時間	671.75	686.0	97.9	128.2
300B10100	田辺営業課	部門共通（時間）	716.0	751.75	95.2	128.2
300B10100	田辺営業課	全社共通（時間）	671.25	676.0	99.2	51.9
300B10100	田辺営業課	当月時間当り	3412.4	3651.8	93.4	677.4
300B10100	田辺営業課	人員	3.0	3.0	100.0	150.0
