組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
220D10300	磐田営業課	総受注高	574773958.0	548300000.0	104.8	125.7
220D10300	磐田営業課	受注高	579210158.0	555100000.0	104.3	124.3
220D10300	磐田営業課	受注割戻高	-4436200.0	-6800000.0		
220D10300	磐田営業課	総売上高	568693963.0	548300000.0	103.7	129.8
220D10300	磐田営業課	売上高	575288220.0	555100000.0	103.6	129.4
220D10300	磐田営業課	売上割戻高	-6594257.0	-6800000.0		
220D10300	磐田営業課	売上原価	453657819.0	436500000.0	103.9	131.6
220D10300	磐田営業課	売上原価（割戻前）	453657819.0	436500000.0	103.9	131.6
220D10300	磐田営業課	仕入割戻高	0.0	0.0		
220D10300	磐田営業課	総収益	115036144.0	111800000.0	102.8	122.9
220D10300	磐田営業課	経費合計	43516844.0	44684357.0	97.3	82.1
220D10300	磐田営業課	減価償却費	3318676.0	3317000.0	100.0	92.6
220D10300	磐田営業課	車両費	4674489.0	4790000.0	97.5	97.4
220D10300	磐田営業課	旅費交通費	303864.0	277000.0	109.6	115.8
220D10300	磐田営業課	荷造運搬費	557242.0	1000000.0	55.7	463.9
220D10300	磐田営業課	通信費	652856.0	640000.0	102.0	86.5
220D10300	磐田営業課	水道光熱費	494017.0	499000.0	99.0	105.0
220D10300	磐田営業課	事務用品費	232578.0	253000.0	91.9	87.9
220D10300	磐田営業課	消耗品費	69661.0	64000.0	108.8	100.0
220D10300	磐田営業課	廃棄物処理料	207800.0	174000.0	119.4	131.0
220D10300	磐田営業課	広告宣伝費	487144.0	565000.0	86.2	95.0
220D10300	磐田営業課	接待交際費	32000.0	22000.0	145.4	73.4
220D10300	磐田営業課	研究開発費	0.0	0.0		
220D10300	磐田営業課	賃借料	1103173.0	1104000.0	99.9	101.8
220D10300	磐田営業課	賃貸料収入	-120000.0	-120000.0		
220D10300	磐田営業課	修繕費	17150.0	216000.0	7.9	101.2
220D10300	磐田営業課	支払リース料	0.0	0.0		0.0
220D10300	磐田営業課	保険料	46880.0	48000.0	97.6	119.4
220D10300	磐田営業課	支払報酬	0.0	0.0		
220D10300	磐田営業課	販売手数料	0.0	0.0		
220D10300	磐田営業課	支払手数料	338185.0	364000.0	92.9	109.2
220D10300	磐田営業課	診断料	110000.0	110000.0	100.0	99.5
220D10300	磐田営業課	諸会費	86250.0	42000.0	205.3	75.3
220D10300	磐田営業課	会議費	0.0	0.0		
220D10300	磐田営業課	寄付金	12000.0	14000.0	85.7	94.8
220D10300	磐田営業課	租税公課	444113.0	506000.0	87.7	109.2
220D10300	磐田営業課	業務委託費	0.0	0.0		
220D10300	磐田営業課	業務受託収入	0.0	0.0		
220D10300	磐田営業課	システム管理料	0.0	0.0		
220D10300	磐田営業課	情報機器利用料	5116850.0	5086200.0	100.6	100.1
220D10300	磐田営業課	貸倒金	0.0	0.0		0.0
220D10300	磐田営業課	雑費	292135.0	316000.0	92.4	93.3
220D10300	磐田営業課	福利消耗品費	115894.0	135000.0	85.8	84.1
220D10300	磐田営業課	教育研修費	29981.0	56000.0	53.5	19.8
220D10300	磐田営業課	廃棄損・減耗損	0.0	0.0		0.0
220D10300	磐田営業課	雑給	0.0	0.0		
220D10300	磐田営業課	社内金利（固定資産）	650913.0	651600.0	99.8	79.0
220D10300	磐田営業課	社内金利（売掛金）	2478033.0	2450000.0	101.1	93.2
220D10300	磐田営業課	社内金利（在庫）	3717870.0	3800000.0	97.8	89.9
220D10300	磐田営業課	部門共通（経費）	4533484.0	4735014.0	95.7	155.9
220D10300	磐田営業課	全社共通（経費）	11804806.0	11860743.0	99.5	57.9
220D10300	磐田営業課	グループ共通	1708800.0	1708800.0	100.0	85.8
220D10300	磐田営業課	差引収益	71519300.0	67115643.0	106.5	176.4
220D10300	磐田営業課	差引比率	12.5	12.2	102.4	135.8
220D10300	磐田営業課	総時間	18938.25	18620.5	101.7	92.5
220D10300	磐田営業課	定時間	13571.25	12896.0	105.2	103.2
220D10300	磐田営業課	残業時間	1058.5	1130.0	93.6	94.9
220D10300	磐田営業課	移動時間	193.0	145.25	132.8	28.3
220D10300	磐田営業課	部門共通（時間）	1941.0	2036.5	95.3	183.6
220D10300	磐田営業課	全社共通（時間）	2174.5	2412.75	90.1	48.5
220D10300	磐田営業課	当月時間当り	3776.4	3604.3	104.7	190.7
220D10300	磐田営業課	人員	8.0	7.0	114.2	114.2
