組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
070A10100	福島営業課	総受注高	274204733.0	287000000.0	95.5	98.9
070A10100	福島営業課	受注高	278078282.0	290730000.0	95.6	99.0
070A10100	福島営業課	受注割戻高	-3873549.0	-3730000.0		
070A10100	福島営業課	総売上高	279859157.0	287000000.0	97.5	100.6
070A10100	福島営業課	売上高	283744317.0	290730000.0	97.5	100.6
070A10100	福島営業課	売上割戻高	-3885160.0	-3730000.0		
070A10100	福島営業課	売上原価	216995571.0	221300000.0	98.0	99.6
070A10100	福島営業課	売上原価（割戻前）	216995571.0	221300000.0	98.0	99.6
070A10100	福島営業課	仕入割戻高	0.0	0.0		
070A10100	福島営業課	総収益	62863586.0	65700000.0	95.6	104.2
070A10100	福島営業課	経費合計	28252500.0	28813889.0	98.0	99.1
070A10100	福島営業課	減価償却費	0.0	0.0		0.0
070A10100	福島営業課	車両費	4148373.0	4332500.0	95.7	106.5
070A10100	福島営業課	旅費交通費	548162.0	565700.0	96.8	93.2
070A10100	福島営業課	荷造運搬費	571957.0	570500.0	100.2	171.1
070A10100	福島営業課	通信費	647154.0	768200.0	84.2	84.0
070A10100	福島営業課	水道光熱費	435694.0	453000.0	96.1	100.1
070A10100	福島営業課	事務用品費	334966.0	368400.0	90.9	94.2
070A10100	福島営業課	消耗品費	93702.0	99100.0	94.5	110.0
070A10100	福島営業課	廃棄物処理料	5000.0	5000.0	100.0	
070A10100	福島営業課	広告宣伝費	92091.0	88500.0	104.0	102.0
070A10100	福島営業課	接待交際費	0.0	0.0		0.0
070A10100	福島営業課	研究開発費	0.0	0.0		
070A10100	福島営業課	賃借料	3408000.0	3408000.0	100.0	100.0
070A10100	福島営業課	賃貸料収入	-178800.0	-178800.0		
070A10100	福島営業課	修繕費	0.0	0.0		
070A10100	福島営業課	支払リース料	28800.0	28800.0	100.0	100.0
070A10100	福島営業課	保険料	69418.0	69408.0	100.0	117.8
070A10100	福島営業課	支払報酬	0.0	0.0		
070A10100	福島営業課	販売手数料	0.0	0.0		
070A10100	福島営業課	支払手数料	277941.0	291900.0	95.2	95.8
070A10100	福島営業課	診断料	0.0	0.0		
070A10100	福島営業課	諸会費	14800.0	14800.0	100.0	102.0
070A10100	福島営業課	会議費	6827.0	8727.0	78.2	78.8
070A10100	福島営業課	寄付金	0.0	0.0		
070A10100	福島営業課	租税公課	63400.0	58100.0	109.1	107.2
070A10100	福島営業課	業務委託費	1298000.0	1350000.0	96.1	104.7
070A10100	福島営業課	業務受託収入	0.0	0.0		
070A10100	福島営業課	システム管理料	45000.0	45000.0	100.0	100.0
070A10100	福島営業課	情報機器利用料	3692160.0	3692160.0	100.0	141.2
070A10100	福島営業課	貸倒金	0.0	0.0		
070A10100	福島営業課	雑費	84746.0	77200.0	109.7	71.9
070A10100	福島営業課	福利消耗品費	35710.0	36160.0	98.7	403.5
070A10100	福島営業課	教育研修費	12000.0	12000.0	100.0	13.4
070A10100	福島営業課	廃棄損・減耗損	193593.0	170000.0	113.8	57.7
070A10100	福島営業課	雑給	0.0	0.0		
070A10100	福島営業課	社内金利（固定資産）	0.0	0.0		0.0
070A10100	福島営業課	社内金利（売掛金）	3896433.0	3922000.0	99.3	99.3
070A10100	福島営業課	社内金利（在庫）	1650248.0	1659000.0	99.4	102.2
070A10100	福島営業課	部門共通（経費）	2625977.0	2726603.0	96.3	97.9
070A10100	福島営業課	全社共通（経費）	2929548.0	2950331.0	99.2	59.8
070A10100	福島営業課	グループ共通	1221600.0	1221600.0	100.0	163.6
070A10100	福島営業課	差引収益	34611086.0	36886111.0	93.8	108.8
070A10100	福島営業課	差引比率	12.3	12.8	96.0	107.8
070A10100	福島営業課	総時間	13192.25	13505.5	97.6	104.0
070A10100	福島営業課	定時間	9592.0	9715.0	98.7	124.3
070A10100	福島営業課	残業時間	318.5	395.0	80.6	86.6
070A10100	福島営業課	移動時間	621.75	627.25	99.1	143.5
070A10100	福島営業課	部門共通（時間）	921.75	965.75	95.4	89.5
070A10100	福島営業課	全社共通（時間）	1738.25	1802.5	96.4	55.5
070A10100	福島営業課	当月時間当り	2623.5	2731.1	96.0	104.5
070A10100	福島営業課	人員	5.0	5.0	100.0	125.0
