組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I11100	経営戦略室	総受注高	0.0	0.0		
230I11100	経営戦略室	受注高	0.0	0.0		
230I11100	経営戦略室	受注割戻高	0.0	0.0		
230I11100	経営戦略室	総売上高	0.0	0.0		
230I11100	経営戦略室	売上高	0.0	0.0		
230I11100	経営戦略室	売上割戻高	0.0	0.0		
230I11100	経営戦略室	売上原価	0.0	0.0		
230I11100	経営戦略室	売上原価（割戻前）	0.0	0.0		
230I11100	経営戦略室	仕入割戻高	0.0	0.0		
230I11100	経営戦略室	総収益	0.0	0.0		
230I11100	経営戦略室	経費合計	0.0	0.0		
230I11100	経営戦略室	減価償却費	0.0	0.0		
230I11100	経営戦略室	車両費	0.0	0.0		
230I11100	経営戦略室	旅費交通費	1144586.0	1200000.0	95.3	
230I11100	経営戦略室	荷造運搬費	0.0	0.0		
230I11100	経営戦略室	通信費	21628.0	21624.0	100.0	
230I11100	経営戦略室	水道光熱費	0.0	0.0		
230I11100	経営戦略室	事務用品費	1800.0	1800.0	100.0	
230I11100	経営戦略室	消耗品費	0.0	0.0		
230I11100	経営戦略室	廃棄物処理料	0.0	0.0		
230I11100	経営戦略室	広告宣伝費	0.0	0.0		
230I11100	経営戦略室	接待交際費	0.0	0.0		
230I11100	経営戦略室	研究開発費	0.0	0.0		
230I11100	経営戦略室	賃借料	0.0	0.0		
230I11100	経営戦略室	賃貸料収入	0.0	0.0		
230I11100	経営戦略室	修繕費	0.0	0.0		
230I11100	経営戦略室	支払リース料	0.0	0.0		
230I11100	経営戦略室	保険料	0.0	0.0		
230I11100	経営戦略室	支払報酬	0.0	0.0		
230I11100	経営戦略室	販売手数料	0.0	0.0		
230I11100	経営戦略室	支払手数料	0.0	0.0		
230I11100	経営戦略室	診断料	0.0	0.0		
230I11100	経営戦略室	諸会費	0.0	0.0		
230I11100	経営戦略室	会議費	0.0	0.0		
230I11100	経営戦略室	寄付金	0.0	0.0		
230I11100	経営戦略室	租税公課	0.0	0.0		
230I11100	経営戦略室	業務委託費	0.0	0.0		
230I11100	経営戦略室	業務受託収入	0.0	0.0		
230I11100	経営戦略室	システム管理料	0.0	0.0		
230I11100	経営戦略室	情報機器利用料	782184.0	782184.0	100.0	
230I11100	経営戦略室	貸倒金	0.0	0.0		
230I11100	経営戦略室	雑費	0.0	0.0		
230I11100	経営戦略室	福利消耗品費	0.0	0.0		
230I11100	経営戦略室	教育研修費	0.0	0.0		
230I11100	経営戦略室	廃棄損・減耗損	0.0	0.0		
230I11100	経営戦略室	雑給	0.0	0.0		
230I11100	経営戦略室	社内金利（固定資産）	0.0	0.0		
230I11100	経営戦略室	社内金利（売掛金）	0.0	0.0		
230I11100	経営戦略室	社内金利（在庫）	0.0	0.0		
230I11100	経営戦略室	部門共通（経費）	-2196198.0	-2251608.0		
230I11100	経営戦略室	全社共通（経費）	0.0	0.0		
230I11100	経営戦略室	グループ共通	246000.0	246000.0	100.0	
230I11100	経営戦略室	差引収益	0.0	0.0		
230I11100	経営戦略室	差引比率	0.0	0.0		
230I11100	経営戦略室	総時間	0.0	0.0		
230I11100	経営戦略室	定時間	1984.0	1984.0	100.0	
230I11100	経営戦略室	残業時間	248.0	248.0	100.0	
230I11100	経営戦略室	移動時間	0.0	0.0		
230I11100	経営戦略室	部門共通（時間）	-2232.0	-2232.0		
230I11100	経営戦略室	全社共通（時間）	0.0	0.0		
230I11100	経営戦略室	当月時間当り	0.0	0.0		
230I11100	経営戦略室	人員	1.0	1.0	100.0	
