組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
220D60400	肥料購買課	総受注高	0.0	0.0		
220D60400	肥料購買課	受注高	0.0	0.0		
220D60400	肥料購買課	受注割戻高	0.0	0.0		
220D60400	肥料購買課	総売上高	0.0	0.0		
220D60400	肥料購買課	売上高	0.0	0.0		
220D60400	肥料購買課	売上割戻高	0.0	0.0		
220D60400	肥料購買課	売上原価	0.0	0.0		
220D60400	肥料購買課	売上原価（割戻前）	0.0	0.0		
220D60400	肥料購買課	仕入割戻高	0.0	0.0		
220D60400	肥料購買課	総収益	0.0	0.0		
220D60400	肥料購買課	経費合計	0.0	0.0		
220D60400	肥料購買課	減価償却費	893228.0	894000.0	99.9	133.6
220D60400	肥料購買課	車両費	4322715.0	4375892.0	98.7	124.5
220D60400	肥料購買課	旅費交通費	430117.0	545000.0	78.9	275.3
220D60400	肥料購買課	荷造運搬費	63914977.0	63580000.0	100.5	101.1
220D60400	肥料購買課	通信費	448558.0	386344.0	116.1	143.3
220D60400	肥料購買課	水道光熱費	910026.0	908000.0	100.2	117.8
220D60400	肥料購買課	事務用品費	117653.0	123000.0	95.6	128.2
220D60400	肥料購買課	消耗品費	9933344.0	8878000.0	111.8	108.4
220D60400	肥料購買課	廃棄物処理料	545184.0	270000.0	201.9	191.2
220D60400	肥料購買課	広告宣伝費	0.0	0.0		0.0
220D60400	肥料購買課	接待交際費	209486.0	200000.0	104.7	539.6
220D60400	肥料購買課	研究開発費	0.0	0.0		
220D60400	肥料購買課	賃借料	20503296.0	20502792.0	100.0	100.3
220D60400	肥料購買課	賃貸料収入	-120000.0	-120000.0		
220D60400	肥料購買課	修繕費	564700.0	580000.0	97.3	242.0
220D60400	肥料購買課	支払リース料	0.0	0.0		
220D60400	肥料購買課	保険料	544094.0	549120.0	99.0	108.5
220D60400	肥料購買課	支払報酬	0.0	0.0		
220D60400	肥料購買課	販売手数料	0.0	0.0		
220D60400	肥料購買課	支払手数料	919330.0	919200.0	100.0	146.3
220D60400	肥料購買課	診断料	1338400.0	1545000.0	86.6	
220D60400	肥料購買課	諸会費	19000.0	19000.0	100.0	36.5
220D60400	肥料購買課	会議費	0.0	0.0		
220D60400	肥料購買課	寄付金	12000.0	12000.0	100.0	151.8
220D60400	肥料購買課	租税公課	342000.0	342000.0	100.0	142.3
220D60400	肥料購買課	業務委託費	0.0	0.0		
220D60400	肥料購買課	業務受託収入	0.0	0.0		
220D60400	肥料購買課	システム管理料	0.0	0.0		
220D60400	肥料購買課	情報機器利用料	3531742.0	3553250.0	99.3	134.9
220D60400	肥料購買課	貸倒金	0.0	0.0		
220D60400	肥料購買課	雑費	193206.0	225000.0	85.8	80.0
220D60400	肥料購買課	福利消耗品費	56662.0	110000.0	51.5	73.4
220D60400	肥料購買課	教育研修費	20790.0	24000.0	86.6	144.0
220D60400	肥料購買課	廃棄損・減耗損	963647.0	1080000.0	89.2	7.9
220D60400	肥料購買課	雑給	0.0	0.0		
220D60400	肥料購買課	社内金利（固定資産）	464155.0	464000.0	100.0	128.6
220D60400	肥料購買課	社内金利（売掛金）	0.0	0.0		
220D60400	肥料購買課	社内金利（在庫）	0.0	0.0		
220D60400	肥料購買課	部門共通（経費）	0.0	0.0		
220D60400	肥料購買課	全社共通（経費）	-112541110.0	-111428398.0		
220D60400	肥料購買課	グループ共通	1462800.0	1462800.0	100.0	117.6
220D60400	肥料購買課	差引収益	0.0	0.0		
220D60400	肥料購買課	差引比率	0.0	0.0		
220D60400	肥料購買課	総時間	0.0	0.0		
220D60400	肥料購買課	定時間	10652.25	12355.0	86.2	123.0
220D60400	肥料購買課	残業時間	747.5	730.0	102.3	108.7
220D60400	肥料購買課	移動時間	736.0	739.0	99.5	70.3
220D60400	肥料購買課	部門共通（時間）	0.0	0.0		
220D60400	肥料購買課	全社共通（時間）	-12135.75	-13824.0		
220D60400	肥料購買課	当月時間当り	0.0	0.0		
220D60400	肥料購買課	人員	6.0	7.0	85.7	120.0
