組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
220D30200	肥料開発課	総受注高	0.0	0.0		
220D30200	肥料開発課	受注高	0.0	0.0		
220D30200	肥料開発課	受注割戻高	0.0	0.0		
220D30200	肥料開発課	総売上高	0.0	0.0		
220D30200	肥料開発課	売上高	0.0	0.0		
220D30200	肥料開発課	売上割戻高	0.0	0.0		
220D30200	肥料開発課	売上原価	0.0	0.0		
220D30200	肥料開発課	売上原価（割戻前）	0.0	0.0		
220D30200	肥料開発課	仕入割戻高	0.0	0.0		
220D30200	肥料開発課	総収益	0.0	0.0		
220D30200	肥料開発課	経費合計	0.0	0.0		
220D30200	肥料開発課	減価償却費	24135.0	26343.0	91.6	4.7
220D30200	肥料開発課	車両費	865191.0	873612.0	99.0	99.1
220D30200	肥料開発課	旅費交通費	1267641.0	1358000.0	93.3	78.9
220D30200	肥料開発課	荷造運搬費	33141.0	24000.0	138.0	123.3
220D30200	肥料開発課	通信費	34506.0	34636.0	99.6	21.2
220D30200	肥料開発課	水道光熱費	58686.0	57000.0	102.9	33.2
220D30200	肥料開発課	事務用品費	11722.0	12000.0	97.6	20.3
220D30200	肥料開発課	消耗品費	11484.0	2000.0	574.2	16.1
220D30200	肥料開発課	廃棄物処理料	23222.0	24000.0	96.7	39.0
220D30200	肥料開発課	広告宣伝費	3300.0	3300.0	100.0	150.0
220D30200	肥料開発課	接待交際費	55000.0	60000.0	91.6	39.0
220D30200	肥料開発課	研究開発費	659242.0	800000.0	82.4	95.0
220D30200	肥料開発課	賃借料	41400.0	41400.0	100.0	38.9
220D30200	肥料開発課	賃貸料収入	0.0	0.0		
220D30200	肥料開発課	修繕費	360000.0	372000.0	96.7	175.8
220D30200	肥料開発課	支払リース料	10702.0	10800.0	99.0	
220D30200	肥料開発課	保険料	1094.0	1200.0	91.1	7.4
220D30200	肥料開発課	支払報酬	0.0	0.0		
220D30200	肥料開発課	販売手数料	0.0	0.0		
220D30200	肥料開発課	支払手数料	20002.0	21000.0	95.2	5.0
220D30200	肥料開発課	診断料	66000.0	83000.0	79.5	4.0
220D30200	肥料開発課	諸会費	16000.0	10000.0	160.0	64.9
220D30200	肥料開発課	会議費	0.0	0.0		
220D30200	肥料開発課	寄付金	0.0	0.0		0.0
220D30200	肥料開発課	租税公課	600.0	600.0	100.0	0.2
220D30200	肥料開発課	業務委託費	0.0	0.0		0.0
220D30200	肥料開発課	業務受託収入	0.0	0.0		
220D30200	肥料開発課	システム管理料	0.0	0.0		
220D30200	肥料開発課	情報機器利用料	726600.0	726600.0	100.0	37.0
220D30200	肥料開発課	貸倒金	0.0	0.0		
220D30200	肥料開発課	雑費	13337.0	14000.0	95.2	61.6
220D30200	肥料開発課	福利消耗品費	212.0	200.0	106.0	0.6
220D30200	肥料開発課	教育研修費	4854.0	4800.0	101.1	22.0
220D30200	肥料開発課	廃棄損・減耗損	0.0	0.0		
220D30200	肥料開発課	雑給	0.0	0.0		
220D30200	肥料開発課	社内金利（固定資産）	10014.0	11300.0	88.6	4.5
220D30200	肥料開発課	社内金利（売掛金）	0.0	0.0		
220D30200	肥料開発課	社内金利（在庫）	0.0	0.0		
220D30200	肥料開発課	部門共通（経費）	-4564085.0	-4817791.0		
220D30200	肥料開発課	全社共通（経費）	0.0	0.0		
220D30200	肥料開発課	グループ共通	246000.0	246000.0	100.0	49.5
220D30200	肥料開発課	差引収益	0.0	0.0		
220D30200	肥料開発課	差引比率	0.0	0.0		
220D30200	肥料開発課	総時間	0.0	0.0		
220D30200	肥料開発課	定時間	1860.75	1864.0	99.8	33.2
220D30200	肥料開発課	残業時間	222.25	233.0	95.3	35.8
220D30200	肥料開発課	移動時間	672.0	767.0	87.6	115.1
220D30200	肥料開発課	部門共通（時間）	-2755.0	-2864.0		
220D30200	肥料開発課	全社共通（時間）	0.0	0.0		
220D30200	肥料開発課	当月時間当り	0.0	0.0		
220D30200	肥料開発課	人員	1.0	1.0	100.0	33.3
