組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I10900	西日本営業課	総受注高	1050084441.0	975000000.0	107.7	114.4
230I10900	西日本営業課	受注高	1050084441.0	975000000.0	107.7	114.4
230I10900	西日本営業課	受注割戻高	0.0	0.0		
230I10900	西日本営業課	総売上高	1050537585.0	975000000.0	107.7	114.7
230I10900	西日本営業課	売上高	1050537585.0	975000000.0	107.7	114.7
230I10900	西日本営業課	売上割戻高	0.0	0.0		
230I10900	西日本営業課	売上原価	896643308.0	826000000.0	108.5	114.0
230I10900	西日本営業課	売上原価（割戻前）	896643308.0	826000000.0	108.5	114.0
230I10900	西日本営業課	仕入割戻高	0.0	0.0		
230I10900	西日本営業課	総収益	153894277.0	149000000.0	103.2	119.1
230I10900	西日本営業課	経費合計	80476348.0	75858807.0	106.0	102.2
230I10900	西日本営業課	減価償却費	37174.0	37200.0	99.9	90.8
230I10900	西日本営業課	車両費	2932345.0	3002304.0	97.6	114.9
230I10900	西日本営業課	旅費交通費	4780051.0	4870000.0	98.1	105.4
230I10900	西日本営業課	荷造運搬費	28162448.0	25100000.0	112.2	103.9
230I10900	西日本営業課	通信費	340655.0	235674.0	144.5	79.1
230I10900	西日本営業課	水道光熱費	300354.0	301017.0	99.7	98.8
230I10900	西日本営業課	事務用品費	85689.0	85380.0	100.3	67.4
230I10900	西日本営業課	消耗品費	38754.0	41013.0	94.4	65.1
230I10900	西日本営業課	廃棄物処理料	113477.0	119000.0	95.3	86.5
230I10900	西日本営業課	広告宣伝費	10000.0	20000.0	50.0	100.0
230I10900	西日本営業課	接待交際費	110000.0	130000.0	84.6	104.5
230I10900	西日本営業課	研究開発費	0.0	0.0		
230I10900	西日本営業課	賃借料	214200.0	214200.0	100.0	97.5
230I10900	西日本営業課	賃貸料収入	0.0	0.0		
230I10900	西日本営業課	修繕費	119000.0	142800.0	83.3	68.3
230I10900	西日本営業課	支払リース料	51046.0	51048.0	99.9	87.8
230I10900	西日本営業課	保険料	108338.0	108348.0	99.9	108.8
230I10900	西日本営業課	支払報酬	0.0	0.0		
230I10900	西日本営業課	販売手数料	20684540.0	19000600.0	108.8	109.9
230I10900	西日本営業課	支払手数料	1537648.0	1486248.0	103.4	95.6
230I10900	西日本営業課	診断料	0.0	0.0		
230I10900	西日本営業課	諸会費	31700.0	39700.0	79.8	68.6
230I10900	西日本営業課	会議費	5000.0	5000.0	100.0	158.1
230I10900	西日本営業課	寄付金	0.0	0.0		
230I10900	西日本営業課	租税公課	11433.0	3433.0	333.0	324.8
230I10900	西日本営業課	業務委託費	2257204.0	2190000.0	103.0	91.1
230I10900	西日本営業課	業務受託収入	0.0	0.0		
230I10900	西日本営業課	システム管理料	0.0	0.0		
230I10900	西日本営業課	情報機器利用料	3642264.0	3633000.0	100.2	111.0
230I10900	西日本営業課	貸倒金	0.0	0.0		
230I10900	西日本営業課	雑費	106580.0	110554.0	96.4	121.2
230I10900	西日本営業課	福利消耗品費	51175.0	51180.0	99.9	134.8
230I10900	西日本営業課	教育研修費	71580.0	59580.0	120.1	118.8
230I10900	西日本営業課	廃棄損・減耗損	1500000.0	1500000.0	100.0	81.0
230I10900	西日本営業課	雑給	0.0	0.0		
230I10900	西日本営業課	社内金利（固定資産）	19733.0	19700.0	100.1	87.5
230I10900	西日本営業課	社内金利（売掛金）	68.0	0.0		7.4
230I10900	西日本営業課	社内金利（在庫）	2901882.0	2996934.0	96.8	96.0
230I10900	西日本営業課	部門共通（経費）	950074.0	969495.0	97.9	116.2
230I10900	西日本営業課	全社共通（経費）	8326336.0	8359799.0	99.5	86.4
230I10900	西日本営業課	グループ共通	975600.0	975600.0	100.0	98.0
230I10900	西日本営業課	差引収益	73417929.0	73141193.0	100.3	145.3
230I10900	西日本営業課	差引比率	6.9	7.5	92.0	125.4
230I10900	西日本営業課	総時間	21647.0	21335.0	101.4	99.7
230I10900	西日本営業課	定時間	9299.75	9400.0	98.9	102.6
230I10900	西日本営業課	残業時間	276.75	240.0	115.3	65.8
230I10900	西日本営業課	移動時間	5791.0	5791.0	100.0	135.8
230I10900	西日本営業課	部門共通（時間）	368.25	386.25	95.3	119.3
230I10900	西日本営業課	全社共通（時間）	5911.25	5517.75	107.1	77.1
230I10900	西日本営業課	当月時間当り	3391.5	3428.2	98.9	145.7
230I10900	西日本営業課	人員	5.0	5.0	100.0	100.0
