組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230I10700	豊橋営業課	総受注高	1267315969.0	1243000000.0	101.9	104.6
230I10700	豊橋営業課	受注高	1273674035.0	1250000000.0	101.8	104.7
230I10700	豊橋営業課	受注割戻高	-6358066.0	-7000000.0		
230I10700	豊橋営業課	総売上高	1265614862.0	1243000000.0	101.8	104.6
230I10700	豊橋営業課	売上高	1271959143.0	1250000000.0	101.7	104.6
230I10700	豊橋営業課	売上割戻高	-6344281.0	-7000000.0		
230I10700	豊橋営業課	売上原価	1049835606.0	1031000000.0	101.8	104.7
230I10700	豊橋営業課	売上原価（割戻前）	1049835606.0	1031000000.0	101.8	104.7
230I10700	豊橋営業課	仕入割戻高	0.0	0.0		
230I10700	豊橋営業課	総収益	215779256.0	212000000.0	101.7	103.9
230I10700	豊橋営業課	経費合計	48953930.0	48727457.0	100.4	105.5
230I10700	豊橋営業課	減価償却費	51732.0	51600.0	100.2	106.1
230I10700	豊橋営業課	車両費	5107534.0	5500000.0	92.8	129.1
230I10700	豊橋営業課	旅費交通費	4172508.0	4310000.0	96.8	137.3
230I10700	豊橋営業課	荷造運搬費	919416.0	885000.0	103.8	114.5
230I10700	豊橋営業課	通信費	473220.0	505000.0	93.7	114.4
230I10700	豊橋営業課	水道光熱費	423509.0	422000.0	100.3	117.2
230I10700	豊橋営業課	事務用品費	199090.0	156000.0	127.6	111.8
230I10700	豊橋営業課	消耗品費	28143.0	25000.0	112.5	63.7
230I10700	豊橋営業課	廃棄物処理料	179943.0	166000.0	108.3	115.4
230I10700	豊橋営業課	広告宣伝費	33020.0	95000.0	34.7	28.4
230I10700	豊橋営業課	接待交際費	617538.0	730000.0	84.5	113.4
230I10700	豊橋営業課	研究開発費	0.0	0.0		
230I10700	豊橋営業課	賃借料	3960200.0	3960000.0	100.0	100.9
230I10700	豊橋営業課	賃貸料収入	0.0	0.0		
230I10700	豊橋営業課	修繕費	1350855.0	204000.0	662.1	652.4
230I10700	豊橋営業課	支払リース料	42357.0	41900.0	101.0	111.5
230I10700	豊橋営業課	保険料	3764.0	3600.0	104.5	113.1
230I10700	豊橋営業課	支払報酬	0.0	0.0		
230I10700	豊橋営業課	販売手数料	0.0	0.0		
230I10700	豊橋営業課	支払手数料	136250.0	131000.0	104.0	139.9
230I10700	豊橋営業課	診断料	1532010.0	1565000.0	97.8	107.7
230I10700	豊橋営業課	諸会費	24046.0	26000.0	92.4	84.4
230I10700	豊橋営業課	会議費	0.0	0.0		
230I10700	豊橋営業課	寄付金	10000.0	10000.0	100.0	100.0
230I10700	豊橋営業課	租税公課	9901.0	12100.0	81.8	49.1
230I10700	豊橋営業課	業務委託費	4666700.0	4600000.0	101.4	119.1
230I10700	豊橋営業課	業務受託収入	-341816.0	-341816.0		
230I10700	豊橋営業課	システム管理料	7800.0	0.0		
230I10700	豊橋営業課	情報機器利用料	4929000.0	5086200.0	96.9	126.0
230I10700	豊橋営業課	貸倒金	0.0	0.0		
230I10700	豊橋営業課	雑費	126845.0	128000.0	99.0	118.7
230I10700	豊橋営業課	福利消耗品費	31144.0	19600.0	158.8	153.8
230I10700	豊橋営業課	教育研修費	60126.0	53800.0	111.7	29.7
230I10700	豊橋営業課	廃棄損・減耗損	400000.0	400000.0	100.0	75.4
230I10700	豊橋営業課	雑給	0.0	0.0		
230I10700	豊橋営業課	社内金利（固定資産）	27551.0	27600.0	99.8	102.6
230I10700	豊橋営業課	社内金利（売掛金）	701432.0	615000.0	114.0	113.2
230I10700	豊橋営業課	社内金利（在庫）	1720124.0	1860000.0	92.4	95.8
230I10700	豊橋営業課	部門共通（経費）	3763079.0	3907836.0	96.2	104.8
230I10700	豊橋営業課	全社共通（経費）	12124109.0	12109237.0	100.1	79.9
230I10700	豊橋営業課	グループ共通	1462800.0	1462800.0	100.0	98.0
230I10700	豊橋営業課	差引収益	166825326.0	163272543.0	102.1	103.4
230I10700	豊橋営業課	差引比率	13.1	13.1	100.0	98.4
230I10700	豊橋営業課	総時間	24498.25	25932.75	94.4	95.6
230I10700	豊橋営業課	定時間	12757.0	13648.0	93.4	123.7
230I10700	豊橋営業課	残業時間	1460.5	1380.0	105.8	108.9
230I10700	豊橋営業課	移動時間	3642.75	3605.0	101.0	74.7
230I10700	豊橋営業課	部門共通（時間）	1282.25	1340.5	95.6	103.2
230I10700	豊橋営業課	全社共通（時間）	5355.75	5959.25	89.8	68.2
230I10700	豊橋営業課	当月時間当り	6809.6	6295.9	108.1	108.1
230I10700	豊橋営業課	人員	7.0	7.0	100.0	116.6
