組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
220A10100	静岡営業課	総受注高	265514200.0	281700000.0	94.2	88.3
220A10100	静岡営業課	受注高	284895522.0	302489000.0	94.1	88.3
220A10100	静岡営業課	受注割戻高	-19381322.0	-20789000.0		
220A10100	静岡営業課	総売上高	263310342.0	281700000.0	93.4	87.8
220A10100	静岡営業課	売上高	282566108.0	302489000.0	93.4	87.9
220A10100	静岡営業課	売上割戻高	-19255766.0	-20789000.0		
220A10100	静岡営業課	売上原価	227989081.0	243400000.0	93.6	86.5
220A10100	静岡営業課	売上原価（割戻前）	227989081.0	243400000.0	93.6	86.5
220A10100	静岡営業課	仕入割戻高	0.0	0.0		
220A10100	静岡営業課	総収益	35321261.0	38300000.0	92.2	96.9
220A10100	静岡営業課	経費合計	20648938.0	20971994.0	98.4	100.0
220A10100	静岡営業課	減価償却費	791455.0	791455.0	100.0	99.2
220A10100	静岡営業課	車両費	3094341.0	3221076.0	96.0	97.2
220A10100	静岡営業課	旅費交通費	646757.0	581500.0	111.2	137.8
220A10100	静岡営業課	荷造運搬費	345382.0	310000.0	111.4	115.2
220A10100	静岡営業課	通信費	409236.0	417696.0	97.9	98.0
220A10100	静岡営業課	水道光熱費	433734.0	443900.0	97.7	97.2
220A10100	静岡営業課	事務用品費	109127.0	144526.0	75.5	76.1
220A10100	静岡営業課	消耗品費	69443.0	75000.0	92.5	87.4
220A10100	静岡営業課	廃棄物処理料	0.0	30000.0	0.0	0.0
220A10100	静岡営業課	広告宣伝費	6000.0	6000.0	100.0	59.7
220A10100	静岡営業課	接待交際費	80000.0	120000.0	66.6	
220A10100	静岡営業課	研究開発費	0.0	0.0		
220A10100	静岡営業課	賃借料	835400.0	830400.0	100.6	100.6
220A10100	静岡営業課	賃貸料収入	-128960.0	-123960.0		
220A10100	静岡営業課	修繕費	0.0	100000.0	0.0	0.0
220A10100	静岡営業課	支払リース料	0.0	0.0		
220A10100	静岡営業課	保険料	149604.0	149604.0	100.0	124.1
220A10100	静岡営業課	支払報酬	16200.0	0.0		
220A10100	静岡営業課	販売手数料	0.0	0.0		
220A10100	静岡営業課	支払手数料	325316.0	339900.0	95.7	82.9
220A10100	静岡営業課	診断料	529400.0	492000.0	107.6	148.6
220A10100	静岡営業課	諸会費	58025.0	60025.0	96.6	93.5
220A10100	静岡営業課	会議費	0.0	0.0		
220A10100	静岡営業課	寄付金	0.0	0.0		
220A10100	静岡営業課	租税公課	1630200.0	1631200.0	99.9	99.3
220A10100	静岡営業課	業務委託費	0.0	0.0		
220A10100	静岡営業課	業務受託収入	-152726.0	-152726.0		
220A10100	静岡営業課	システム管理料	0.0	0.0		
220A10100	静岡営業課	情報機器利用料	2906400.0	2906400.0	100.0	112.6
220A10100	静岡営業課	貸倒金	0.0	0.0		
220A10100	静岡営業課	雑費	270981.0	250000.0	108.3	145.2
220A10100	静岡営業課	福利消耗品費	22300.0	27000.0	82.5	103.8
220A10100	静岡営業課	教育研修費	163954.0	143772.0	114.0	208.2
220A10100	静岡営業課	廃棄損・減耗損	700000.0	700000.0	100.0	77.7
220A10100	静岡営業課	雑給	0.0	0.0		
220A10100	静岡営業課	社内金利（固定資産）	581733.0	581733.0	100.0	92.4
220A10100	静岡営業課	社内金利（売掛金）	449568.0	543900.0	82.6	85.4
220A10100	静岡営業課	社内金利（在庫）	1066348.0	986000.0	108.1	110.6
220A10100	静岡営業課	部門共通（経費）	2913773.0	3023891.0	96.3	92.9
220A10100	静岡営業課	全社共通（経費）	1350347.0	1366102.0	98.8	66.7
220A10100	静岡営業課	グループ共通	975600.0	975600.0	100.0	98.0
220A10100	静岡営業課	差引収益	14672323.0	17328006.0	84.6	92.8
220A10100	静岡営業課	差引比率	5.5	6.1	90.1	105.7
220A10100	静岡営業課	総時間	9717.5	9909.25	98.0	92.8
220A10100	静岡営業課	定時間	7677.75	7784.0	98.6	109.1
220A10100	静岡営業課	残業時間	526.25	550.0	95.6	128.9
220A10100	静岡営業課	移動時間	-413.0	-414.5		
220A10100	静岡営業課	部門共通（時間）	1048.0	1098.5	95.4	93.7
220A10100	静岡営業課	全社共通（時間）	878.5	891.25	98.5	48.9
220A10100	静岡営業課	当月時間当り	1509.8	1748.6	86.3	100.0
220A10100	静岡営業課	人員	4.0	4.0	100.0	100.0
