組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H60700	GSO	総受注高	5940000.0	5940000.0	100.0	
230H60700	GSO	総売上高	5940000.0	5940000.0	100.0	
230H60700	GSO	売上高	0.0	0.0		
230H60700	GSO	グループ売上高	5940000.0	5940000.0	100.0	
230H60700	GSO	売上原価	0.0	0.0		
230H60700	GSO	仕入高	0.0	0.0		
230H60700	GSO	グループ仕入高	0.0	0.0		
230H60700	GSO	総収益	5940000.0	5940000.0	100.0	
230H60700	GSO	経費合計	17307686.0	18223544.0	94.9	
230H60700	GSO	減価償却費	136660.0	0.0		
230H60700	GSO	車両費	149485.0	179688.0	83.1	
230H60700	GSO	旅費交通費	1799018.0	2685000.0	67.0	
230H60700	GSO	荷造運搬費	20462.0	12000.0	170.5	
230H60700	GSO	通信費	214547.0	173729.0	123.4	
230H60700	GSO	水道光熱費	370160.0	392139.0	94.3	
230H60700	GSO	動力費	0.0	0.0		
230H60700	GSO	事務用品費	229698.0	180960.0	126.9	
230H60700	GSO	消耗品費	69522.0	59779.0	116.2	
230H60700	GSO	廃棄物処理料	32041.0	34369.0	93.2	
230H60700	GSO	広告宣伝費	2455785.0	2524102.0	97.2	
230H60700	GSO	接待交際費	171025.0	120000.0	142.5	
230H60700	GSO	研究開発費	0.0	0.0		
230H60700	GSO	賃借料	5899800.0	6416400.0	91.9	
230H60700	GSO	賃貸料収入	396600.0	-120000.0		
230H60700	GSO	修繕費	0.0	4304.0	0.0	
230H60700	GSO	支払リース料	150171.0	150696.0	99.6	
230H60700	GSO	保険料	0.0	0.0		
230H60700	GSO	支払報酬	1400000.0	1200000.0	116.6	
230H60700	GSO	支払手数料	218580.0	218580.0	100.0	
230H60700	GSO	診断料	0.0	0.0		
230H60700	GSO	諸会費	0.0	50000.0	0.0	
230H60700	GSO	会議費	23108.0	24000.0	96.2	
230H60700	GSO	寄付金	0.0	0.0		
230H60700	GSO	租税公課	0.0	0.0		
230H60700	GSO	業務委託費	0.0	0.0		
230H60700	GSO	業務受託収入	0.0	0.0		
230H60700	GSO	システム管理料	0.0	0.0		
230H60700	GSO	情報機器利用料	2619432.0	2560392.0	102.3	
230H60700	GSO	雑費	531260.0	565021.0	94.0	
230H60700	GSO	福利消耗品費	59559.0	291418.0	20.4	
230H60700	GSO	教育研修費	320531.0	500967.0	63.9	
230H60700	GSO	雑給	0.0	0.0		
230H60700	GSO	社内金利（固定資産）	40242.0	0.0		
230H60700	GSO	差引収益	-11367686.0	-12283544.0		
230H60700	GSO	差引比率	-191.3	-206.7		
230H60700	GSO	総時間	12166.0	12405.0	98.0	
230H60700	GSO	定時間	16648.75	16870.0	98.6	
230H60700	GSO	残業時間	1505.25	1523.0	98.8	
230H60700	GSO	移動時間	-5988.0	-5988.0		
230H60700	GSO	当月時間当り	-934.3	-990.2		
230H60700	GSO	人員	9.0	9.0	100.0	
