組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230G50300	R&Dチーム	総受注高	4008864.0	3850000.0	104.1	
230G50300	R&Dチーム	総売上高	4008864.0	3850000.0	104.1	
230G50300	R&Dチーム	売上高	2399400.0	2240000.0	107.1	
230G50300	R&Dチーム	グループ売上高	1609464.0	1610000.0	99.9	
230G50300	R&Dチーム	売上原価	0.0	0.0		
230G50300	R&Dチーム	仕入高	0.0	0.0		
230G50300	R&Dチーム	グループ仕入高	0.0	0.0		
230G50300	R&Dチーム	総収益	4008864.0	3850000.0	104.1	
230G50300	R&Dチーム	経費合計	32193079.0	33589207.0	95.8	118.0
230G50300	R&Dチーム	減価償却費	3906461.0	2955340.0	132.1	267.6
230G50300	R&Dチーム	車両費	1770791.0	1741452.0	101.6	127.2
230G50300	R&Dチーム	旅費交通費	1667602.0	1207500.0	138.1	124.7
230G50300	R&Dチーム	荷造運搬費	16000.0	24000.0	66.6	553.4
230G50300	R&Dチーム	通信費	322034.0	320568.0	100.4	90.2
230G50300	R&Dチーム	水道光熱費	1956974.0	2230000.0	87.7	89.4
230G50300	R&Dチーム	動力費	880000.0	880000.0	100.0	260.2
230G50300	R&Dチーム	事務用品費	26378.0	27000.0	97.6	40.2
230G50300	R&Dチーム	消耗品費	452779.0	140000.0	323.4	48.2
230G50300	R&Dチーム	廃棄物処理料	512550.0	416000.0	123.2	97.2
230G50300	R&Dチーム	広告宣伝費	26248.0	0.0		7.7
230G50300	R&Dチーム	接待交際費	272306.0	261000.0	104.3	148.0
230G50300	R&Dチーム	研究開発費	7084266.0	8994000.0	78.7	107.7
230G50300	R&Dチーム	賃借料	8400000.0	8400000.0	100.0	101.2
230G50300	R&Dチーム	賃貸料収入	0.0	0.0		
230G50300	R&Dチーム	修繕費	794128.0	2017000.0	39.3	142.5
230G50300	R&Dチーム	支払リース料	26400.0	26400.0	100.0	83.4
230G50300	R&Dチーム	保険料	0.0	0.0		
230G50300	R&Dチーム	支払報酬	0.0	0.0		
230G50300	R&Dチーム	支払手数料	15640.0	24000.0	65.1	28.8
230G50300	R&Dチーム	診断料	626503.0	365000.0	171.6	
230G50300	R&Dチーム	諸会費	112100.0	98000.0	114.3	109.9
230G50300	R&Dチーム	会議費	18491.0	25000.0	73.9	73.0
230G50300	R&Dチーム	寄付金	5500.0	5500.0	100.0	
230G50300	R&Dチーム	租税公課	34087.0	42500.0	80.2	60.2
230G50300	R&Dチーム	業務委託費	0.0	0.0		
230G50300	R&Dチーム	業務受託収入	0.0	0.0		
230G50300	R&Dチーム	システム管理料	0.0	0.0		
230G50300	R&Dチーム	情報機器利用料	1877460.0	1818960.0	103.2	107.1
230G50300	R&Dチーム	雑費	378276.0	376336.0	100.5	98.0
230G50300	R&Dチーム	福利消耗品費	39275.0	39000.0	100.7	65.9
230G50300	R&Dチーム	教育研修費	152357.0	239574.0	63.5	103.6
230G50300	R&Dチーム	雑給	0.0	0.0		
230G50300	R&Dチーム	社内金利（固定資産）	818473.0	915077.0	89.4	761.8
230G50300	R&Dチーム	差引収益	-28184215.0	-29739207.0		
230G50300	R&Dチーム	差引比率	-703.0	-772.4		
230G50300	R&Dチーム	総時間	15091.0	14894.5	101.3	101.6
230G50300	R&Dチーム	定時間	13063.75	13218.0	98.8	99.5
230G50300	R&Dチーム	残業時間	1346.75	1163.0	115.7	153.1
230G50300	R&Dチーム	移動時間	680.5	513.5	132.5	80.5
230G50300	R&Dチーム	当月時間当り	-1867.6	-1996.6		
230G50300	R&Dチーム	人員	8.0	8.0	100.0	100.0
