組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
001000000	イノチオホールディングス㈱	総受注高	357564499.0	358200000.0	99.8	97.6
001000000	イノチオホールディングス㈱	総売上高	357550499.0	358200000.0	99.8	97.6
001000000	イノチオホールディングス㈱	売上高	61118474.0	58663875.0	104.1	97.3
001000000	イノチオホールディングス㈱	グループ売上高	296432025.0	299536125.0	98.9	97.7
001000000	イノチオホールディングス㈱	売上原価	0.0	0.0		
001000000	イノチオホールディングス㈱	仕入高	0.0	0.0		
001000000	イノチオホールディングス㈱	グループ仕入高	0.0	0.0		
001000000	イノチオホールディングス㈱	総収益	357550499.0	358200000.0	99.8	97.6
001000000	イノチオホールディングス㈱	経費合計	296567735.0	338380000.0	87.6	95.4
001000000	イノチオホールディングス㈱	減価償却費	92632849.0	91529877.0	101.2	99.5
001000000	イノチオホールディングス㈱	車両費	3398027.0	3426076.0	99.1	100.2
001000000	イノチオホールディングス㈱	旅費交通費	9209070.0	10541668.0	87.3	102.1
001000000	イノチオホールディングス㈱	荷造運搬費	406919.0	340600.0	119.4	128.5
001000000	イノチオホールディングス㈱	通信費	2583952.0	2378422.0	108.6	99.7
001000000	イノチオホールディングス㈱	水道光熱費	8112975.0	8375182.0	96.8	105.4
001000000	イノチオホールディングス㈱	動力費	880000.0	880000.0	100.0	105.2
001000000	イノチオホールディングス㈱	事務用品費	631211.0	657792.0	95.9	106.3
001000000	イノチオホールディングス㈱	消耗品費	4469322.0	4358604.0	102.5	148.8
001000000	イノチオホールディングス㈱	廃棄物処理料	708869.0	1102373.0	64.3	60.7
001000000	イノチオホールディングス㈱	広告宣伝費	3214330.0	3230102.0	99.5	158.8
001000000	イノチオホールディングス㈱	接待交際費	13927527.0	13890000.0	100.2	553.6
001000000	イノチオホールディングス㈱	研究開発費	8312667.0	8994000.0	92.4	126.4
001000000	イノチオホールディングス㈱	賃借料	22051588.0	22151588.0	99.5	101.3
001000000	イノチオホールディングス㈱	賃貸料収入	-8970629.0	-8610629.0		
001000000	イノチオホールディングス㈱	修繕費	9520346.0	15127239.0	62.9	51.1
001000000	イノチオホールディングス㈱	支払リース料	1202552.0	1260868.0	95.3	108.8
001000000	イノチオホールディングス㈱	保険料	5575236.0	5492256.0	101.5	101.8
001000000	イノチオホールディングス㈱	支払報酬	55872328.0	55262794.0	101.1	131.4
001000000	イノチオホールディングス㈱	支払手数料	9996193.0	9979610.0	100.1	97.5
001000000	イノチオホールディングス㈱	診断料	9198739.0	8970170.0	102.5	105.6
001000000	イノチオホールディングス㈱	諸会費	3462483.0	3263700.0	106.0	122.0
001000000	イノチオホールディングス㈱	会議費	2749969.0	2775000.0	99.0	113.1
001000000	イノチオホールディングス㈱	寄付金	5050500.0	5050500.0	100.0	94.0
001000000	イノチオホールディングス㈱	租税公課	2814840.0	32383984.0	8.6	8.4
001000000	イノチオホールディングス㈱	業務委託費	0.0	0.0		
001000000	イノチオホールディングス㈱	業務受託収入	-2537390.0	-2400000.0		
001000000	イノチオホールディングス㈱	システム管理料	187023974.0	187663685.0	99.6	107.6
001000000	イノチオホールディングス㈱	情報機器利用料	-176338564.0	-173157550.0		
001000000	イノチオホールディングス㈱	雑費	7684655.0	7695137.0	99.8	121.1
001000000	イノチオホールディングス㈱	福利消耗品費	833311.0	1287240.0	64.7	48.4
001000000	イノチオホールディングス㈱	教育研修費	12889886.0	14479712.0	89.0	205.7
001000000	イノチオホールディングス㈱	雑給	0.0	0.0		0.0
001000000	イノチオホールディングス㈱	社内金利（固定資産）	0.0	0.0		
001000000	イノチオホールディングス㈱	差引収益	60982764.0	19820000.0	307.6	109.9
001000000	イノチオホールディングス㈱	差引比率	17.0	5.5	309.0	112.5
001000000	イノチオホールディングス㈱	総時間	121171.75	122399.5	98.9	103.1
001000000	イノチオホールディングス㈱	定時間	122336.75	123418.5	99.1	101.4
001000000	イノチオホールディングス㈱	残業時間	7878.0	8019.0	98.2	109.8
001000000	イノチオホールディングス㈱	移動時間	-9043.0	-9038.0		
001000000	イノチオホールディングス㈱	当月時間当り	503.2	161.9	310.8	106.6
001000000	イノチオホールディングス㈱	人員	72.0	72.0	100.0	100.0
