組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
001090100	イノチオホールディングス本社	総受注高	0.0	0.0		
001090100	イノチオホールディングス本社	総売上高	0.0	0.0		
001090100	イノチオホールディングス本社	売上高	0.0	0.0		
001090100	イノチオホールディングス本社	グループ売上高	0.0	0.0		
001090100	イノチオホールディングス本社	売上原価	0.0	0.0		
001090100	イノチオホールディングス本社	仕入高	0.0	0.0		
001090100	イノチオホールディングス本社	グループ仕入高	0.0	0.0		
001090100	イノチオホールディングス本社	総収益	0.0	0.0		
001090100	イノチオホールディングス本社	経費合計	63863021.0	65634291.0	97.3	138.7
001090100	イノチオホールディングス本社	減価償却費	542828.0	542828.0	100.0	14.0
001090100	イノチオホールディングス本社	車両費	43764.0	60000.0	72.9	79.3
001090100	イノチオホールディングス本社	旅費交通費	3103579.0	3248448.0	95.5	89.7
001090100	イノチオホールディングス本社	荷造運搬費	559265.0	300000.0	186.4	186.5
001090100	イノチオホールディングス本社	通信費	622203.0	396000.0	157.1	126.4
001090100	イノチオホールディングス本社	水道光熱費	0.0	0.0		
001090100	イノチオホールディングス本社	動力費	0.0	0.0		
001090100	イノチオホールディングス本社	事務用品費	39089.0	36000.0	108.5	385.1
001090100	イノチオホールディングス本社	消耗品費	140847.0	60000.0	234.7	225.1
001090100	イノチオホールディングス本社	廃棄物処理料	0.0	0.0		
001090100	イノチオホールディングス本社	広告宣伝費	793388.0	680000.0	116.6	296.5
001090100	イノチオホールディングス本社	接待交際費	11079437.0	13260000.0	83.5	580.4
001090100	イノチオホールディングス本社	研究開発費	0.0	0.0		
001090100	イノチオホールディングス本社	賃借料	0.0	0.0		
001090100	イノチオホールディングス本社	賃貸料収入	0.0	0.0		
001090100	イノチオホールディングス本社	修繕費	0.0	0.0		0.0
001090100	イノチオホールディングス本社	支払リース料	0.0	0.0		
001090100	イノチオホールディングス本社	保険料	2428226.0	2381016.0	101.9	100.6
001090100	イノチオホールディングス本社	支払報酬	30102820.0	29941000.0	100.5	166.6
001090100	イノチオホールディングス本社	支払手数料	770310.0	763000.0	100.9	148.7
001090100	イノチオホールディングス本社	診断料	0.0	0.0		
001090100	イノチオホールディングス本社	諸会費	2771183.0	2750400.0	100.7	117.3
001090100	イノチオホールディングス本社	会議費	2547420.0	2620000.0	97.2	109.6
001090100	イノチオホールディングス本社	寄付金	5045000.0	5045000.0	100.0	99.5
001090100	イノチオホールディングス本社	租税公課	1552121.0	1619799.0	95.8	59.8
001090100	イノチオホールディングス本社	業務委託費	0.0	0.0		
001090100	イノチオホールディングス本社	業務受託収入	0.0	0.0		
001090100	イノチオホールディングス本社	システム管理料	0.0	0.0		
001090100	イノチオホールディングス本社	情報機器利用料	609096.0	661200.0	92.1	95.4
001090100	イノチオホールディングス本社	雑費	350312.0	349600.0	100.2	91.1
001090100	イノチオホールディングス本社	福利消耗品費	551340.0	520000.0	106.0	48.8
001090100	イノチオホールディングス本社	教育研修費	210793.0	400000.0	52.6	223.2
001090100	イノチオホールディングス本社	雑給	0.0	0.0		
001090100	イノチオホールディングス本社	社内金利（固定資産）	0.0	0.0		
001090100	イノチオホールディングス本社	差引収益	-63863021.0	-65634291.0		
001090100	イノチオホールディングス本社	差引比率	0.0	0.0		
001090100	イノチオホールディングス本社	総時間	507.5	936.0	54.2	931.1
001090100	イノチオホールディングス本社	定時間	1984.0	1992.0	99.5	100.0
001090100	イノチオホールディングス本社	残業時間	248.0	249.0	99.5	100.0
001090100	イノチオホールディングス本社	移動時間	-1724.5	-1305.0		
001090100	イノチオホールディングス本社	当月時間当り	-125838.4	-70122.1		
001090100	イノチオホールディングス本社	人員	1.0	1.0	100.0	100.0
