組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H60400	コーポレート統括部	総受注高	75120000.0	75120000.0	100.0	92.3
230H60400	コーポレート統括部	総売上高	75120000.0	75120000.0	100.0	92.3
230H60400	コーポレート統括部	売上高	0.0	0.0		
230H60400	コーポレート統括部	グループ売上高	75120000.0	75120000.0	100.0	92.3
230H60400	コーポレート統括部	売上原価	0.0	0.0		
230H60400	コーポレート統括部	仕入高	0.0	0.0		
230H60400	コーポレート統括部	グループ仕入高	0.0	0.0		
230H60400	コーポレート統括部	総収益	75120000.0	75120000.0	100.0	92.3
230H60400	コーポレート統括部	経費合計	49633760.0	49285466.0	100.7	131.2
230H60400	コーポレート統括部	減価償却費	0.0	0.0		
230H60400	コーポレート統括部	車両費	808602.0	822404.0	98.3	276.7
230H60400	コーポレート統括部	旅費交通費	1149012.0	1150480.0	99.8	123.7
230H60400	コーポレート統括部	荷造運搬費	5040.0	4600.0	109.5	998.0
230H60400	コーポレート統括部	通信費	532980.0	518916.0	102.7	106.8
230H60400	コーポレート統括部	水道光熱費	1087167.0	1176399.0	92.4	118.8
230H60400	コーポレート統括部	動力費	0.0	0.0		
230H60400	コーポレート統括部	事務用品費	240841.0	244820.0	98.3	147.7
230H60400	コーポレート統括部	消耗品費	331755.0	361147.0	91.8	127.1
230H60400	コーポレート統括部	廃棄物処理料	101580.0	118095.0	86.0	104.1
230H60400	コーポレート統括部	広告宣伝費	0.0	0.0		
230H60400	コーポレート統括部	接待交際費	72000.0	80000.0	90.0	82.6
230H60400	コーポレート統括部	研究開発費	0.0	0.0		
230H60400	コーポレート統括部	賃借料	15153600.0	15153600.0	100.0	93.6
230H60400	コーポレート統括部	賃貸料収入	0.0	0.0		
230H60400	コーポレート統括部	修繕費	0.0	20659.0	0.0	0.0
230H60400	コーポレート統括部	支払リース料	86929.0	88776.0	97.9	101.1
230H60400	コーポレート統括部	保険料	0.0	0.0		
230H60400	コーポレート統括部	支払報酬	19035637.0	18511794.0	102.8	267.6
230H60400	コーポレート統括部	支払手数料	3877338.0	3858958.0	100.4	124.3
230H60400	コーポレート統括部	診断料	0.0	0.0		
230H60400	コーポレート統括部	諸会費	191200.0	161200.0	118.6	123.8
230H60400	コーポレート統括部	会議費	14111.0	22000.0	64.1	52.5
230H60400	コーポレート統括部	寄付金	0.0	0.0		
230H60400	コーポレート統括部	租税公課	22215.0	6598.0	336.6	411.3
230H60400	コーポレート統括部	業務委託費	0.0	0.0		
230H60400	コーポレート統括部	業務受託収入	0.0	0.0		
230H60400	コーポレート統括部	システム管理料	0.0	0.0		
230H60400	コーポレート統括部	情報機器利用料	6560884.0	6588428.0	99.5	92.7
230H60400	コーポレート統括部	雑費	48865.0	81396.0	60.0	13.8
230H60400	コーポレート統括部	福利消耗品費	91151.0	113016.0	80.6	100.3
230H60400	コーポレート統括部	教育研修費	218273.0	197600.0	110.4	28.6
230H60400	コーポレート統括部	雑給	0.0	0.0		
230H60400	コーポレート統括部	社内金利（固定資産）	4580.0	4580.0	100.0	27.7
230H60400	コーポレート統括部	差引収益	25486240.0	25834534.0	98.6	58.5
230H60400	コーポレート統括部	差引比率	33.9	34.3	98.8	63.4
230H60400	コーポレート統括部	総時間	38327.75	39299.5	97.5	92.0
230H60400	コーポレート統括部	定時間	37046.25	37584.5	98.5	92.1
230H60400	コーポレート統括部	残業時間	1849.0	2089.0	88.5	98.0
230H60400	コーポレート統括部	移動時間	-567.5	-374.0		
230H60400	コーポレート統括部	当月時間当り	664.9	657.3	101.1	63.6
230H60400	コーポレート統括部	人員	22.0	22.0	100.0	91.6
