組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H60900	デジタルソリューション課	総受注高	28092000.0	28092000.0	100.0	97.2
230H60900	デジタルソリューション課	総売上高	28092000.0	28092000.0	100.0	97.2
230H60900	デジタルソリューション課	売上高	0.0	0.0		
230H60900	デジタルソリューション課	グループ売上高	28092000.0	28092000.0	100.0	97.2
230H60900	デジタルソリューション課	売上原価	0.0	0.0		
230H60900	デジタルソリューション課	仕入高	0.0	0.0		
230H60900	デジタルソリューション課	グループ仕入高	0.0	0.0		
230H60900	デジタルソリューション課	総収益	28092000.0	28092000.0	100.0	97.2
230H60900	デジタルソリューション課	経費合計	11992061.0	12066126.0	99.3	122.5
230H60900	デジタルソリューション課	減価償却費	0.0	0.0		
230H60900	デジタルソリューション課	車両費	110684.0	107436.0	103.0	98.2
230H60900	デジタルソリューション課	旅費交通費	1373424.0	1455240.0	94.3	291.0
230H60900	デジタルソリューション課	荷造運搬費	0.0	0.0		0.0
230H60900	デジタルソリューション課	通信費	201293.0	195306.0	103.0	97.3
230H60900	デジタルソリューション課	水道光熱費	426721.0	441145.0	96.7	133.2
230H60900	デジタルソリューション課	動力費	0.0	0.0		
230H60900	デジタルソリューション課	事務用品費	25938.0	27444.0	94.5	90.6
230H60900	デジタルソリューション課	消耗品費	108979.0	119417.0	91.2	299.4
230H60900	デジタルソリューション課	廃棄物処理料	34613.0	38659.0	89.5	125.0
230H60900	デジタルソリューション課	広告宣伝費	0.0	0.0		
230H60900	デジタルソリューション課	接待交際費	0.0	0.0		0.0
230H60900	デジタルソリューション課	研究開発費	0.0	0.0		
230H60900	デジタルソリューション課	賃借料	7060200.0	7060200.0	100.0	118.3
230H60900	デジタルソリューション課	賃貸料収入	-861000.0	-861000.0		
230H60900	デジタルソリューション課	修繕費	7747.0	7747.0	100.0	32.0
230H60900	デジタルソリューション課	支払リース料	5673.0	0.0		18.8
230H60900	デジタルソリューション課	保険料	0.0	0.0		
230H60900	デジタルソリューション課	支払報酬	0.0	0.0		
230H60900	デジタルソリューション課	支払手数料	0.0	0.0		
230H60900	デジタルソリューション課	診断料	0.0	0.0		
230H60900	デジタルソリューション課	諸会費	0.0	0.0		
230H60900	デジタルソリューション課	会議費	0.0	0.0		
230H60900	デジタルソリューション課	寄付金	0.0	0.0		
230H60900	デジタルソリューション課	租税公課	0.0	0.0		0.0
230H60900	デジタルソリューション課	業務委託費	0.0	0.0		
230H60900	デジタルソリューション課	業務受託収入	0.0	0.0		
230H60900	デジタルソリューション課	システム管理料	0.0	0.0		
230H60900	デジタルソリューション課	情報機器利用料	2931894.0	2886594.0	101.5	124.7
230H60900	デジタルソリューション課	雑費	17472.0	17472.0	100.0	124.2
230H60900	デジタルソリューション課	福利消耗品費	51185.0	71126.0	71.9	330.6
230H60900	デジタルソリューション課	教育研修費	497238.0	499340.0	99.5	78.3
230H60900	デジタルソリューション課	雑給	0.0	0.0		
230H60900	デジタルソリューション課	社内金利（固定資産）	0.0	0.0		
230H60900	デジタルソリューション課	差引収益	16099939.0	16025874.0	100.4	84.2
230H60900	デジタルソリューション課	差引比率	57.3	57.0	100.5	86.6
230H60900	デジタルソリューション課	総時間	15873.75	15997.0	99.2	122.1
230H60900	デジタルソリューション課	定時間	15166.5	15277.0	99.2	123.6
230H60900	デジタルソリューション課	残業時間	707.25	720.0	98.2	116.1
230H60900	デジタルソリューション課	移動時間	0.0	0.0		0.0
230H60900	デジタルソリューション課	当月時間当り	1014.2	1001.8	101.2	68.9
230H60900	デジタルソリューション課	人員	9.0	9.0	100.0	112.5
