組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H62200	デジタル変革推進部	総受注高	28092000.0	28092000.0	100.0	
230H62200	デジタル変革推進部	総売上高	28092000.0	28092000.0	100.0	
230H62200	デジタル変革推進部	売上高	0.0	0.0		
230H62200	デジタル変革推進部	グループ売上高	28092000.0	28092000.0	100.0	
230H62200	デジタル変革推進部	売上原価	0.0	0.0		
230H62200	デジタル変革推進部	仕入高	0.0	0.0		
230H62200	デジタル変革推進部	グループ仕入高	0.0	0.0		
230H62200	デジタル変革推進部	総収益	28092000.0	28092000.0	100.0	
230H62200	デジタル変革推進部	経費合計	11680710.0	12066126.0	96.8	
230H62200	デジタル変革推進部	減価償却費	0.0	0.0		
230H62200	デジタル変革推進部	車両費	116055.0	107436.0	108.0	
230H62200	デジタル変革推進部	旅費交通費	1111179.0	1455240.0	76.3	
230H62200	デジタル変革推進部	荷造運搬費	0.0	0.0		
230H62200	デジタル変革推進部	通信費	210114.0	195306.0	107.5	
230H62200	デジタル変革推進部	水道光熱費	416413.0	441145.0	94.3	
230H62200	デジタル変革推進部	動力費	0.0	0.0		
230H62200	デジタル変革推進部	事務用品費	27038.0	27444.0	98.5	
230H62200	デジタル変革推進部	消耗品費	97754.0	119417.0	81.8	
230H62200	デジタル変革推進部	廃棄物処理料	34163.0	38659.0	88.3	
230H62200	デジタル変革推進部	広告宣伝費	0.0	0.0		
230H62200	デジタル変革推進部	接待交際費	0.0	0.0		
230H62200	デジタル変革推進部	研究開発費	0.0	0.0		
230H62200	デジタル変革推進部	賃借料	7039100.0	7060200.0	99.7	
230H62200	デジタル変革推進部	賃貸料収入	-836000.0	-861000.0		
230H62200	デジタル変革推進部	修繕費	0.0	7747.0	0.0	
230H62200	デジタル変革推進部	支払リース料	11345.0	0.0		
230H62200	デジタル変革推進部	保険料	0.0	0.0		
230H62200	デジタル変革推進部	支払報酬	0.0	0.0		
230H62200	デジタル変革推進部	支払手数料	440.0	0.0		
230H62200	デジタル変革推進部	診断料	0.0	0.0		
230H62200	デジタル変革推進部	諸会費	0.0	0.0		
230H62200	デジタル変革推進部	会議費	0.0	0.0		
230H62200	デジタル変革推進部	寄付金	0.0	0.0		
230H62200	デジタル変革推進部	租税公課	0.0	0.0		
230H62200	デジタル変革推進部	業務委託費	0.0	0.0		
230H62200	デジタル変革推進部	業務受託収入	0.0	0.0		
230H62200	デジタル変革推進部	システム管理料	0.0	0.0		
230H62200	デジタル変革推進部	情報機器利用料	2901680.0	2886594.0	100.5	
230H62200	デジタル変革推進部	雑費	17472.0	17472.0	100.0	
230H62200	デジタル変革推進部	福利消耗品費	36721.0	71126.0	51.6	
230H62200	デジタル変革推進部	教育研修費	497236.0	499340.0	99.5	
230H62200	デジタル変革推進部	雑給	0.0	0.0		
230H62200	デジタル変革推進部	社内金利（固定資産）	0.0	0.0		
230H62200	デジタル変革推進部	差引収益	16411290.0	16025874.0	102.4	
230H62200	デジタル変革推進部	差引比率	58.4	57.0	102.4	
230H62200	デジタル変革推進部	総時間	15634.0	15997.0	97.7	
230H62200	デジタル変革推進部	定時間	14947.25	15277.0	97.8	
230H62200	デジタル変革推進部	残業時間	694.75	720.0	96.4	
230H62200	デジタル変革推進部	移動時間	-8.0	0.0		
230H62200	デジタル変革推進部	当月時間当り	1049.7	1001.8	104.7	
230H62200	デジタル変革推進部	人員	9.0	9.0	100.0	
