組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H60220	ブランドマネジメント課	総受注高	2892000.0	2892000.0	100.0	
230H60220	ブランドマネジメント課	総売上高	2892000.0	2892000.0	100.0	
230H60220	ブランドマネジメント課	売上高	0.0	0.0		
230H60220	ブランドマネジメント課	グループ売上高	2892000.0	2892000.0	100.0	
230H60220	ブランドマネジメント課	売上原価	0.0	0.0		
230H60220	ブランドマネジメント課	仕入高	0.0	0.0		
230H60220	ブランドマネジメント課	グループ仕入高	0.0	0.0		
230H60220	ブランドマネジメント課	総収益	2892000.0	2892000.0	100.0	
230H60220	ブランドマネジメント課	経費合計	8255902.0	8191750.0	100.7	
230H60220	ブランドマネジメント課	減価償却費	136660.0	0.0		
230H60220	ブランドマネジメント課	車両費	34265.0	35808.0	95.6	
230H60220	ブランドマネジメント課	旅費交通費	112382.0	175000.0	64.2	
230H60220	ブランドマネジメント課	荷造運搬費	12462.0	0.0		
230H60220	ブランドマネジメント課	通信費	63549.0	21864.0	290.6	
230H60220	ブランドマネジメント課	水道光熱費	138809.0	147056.0	94.3	
230H60220	ブランドマネジメント課	動力費	0.0	0.0		
230H60220	ブランドマネジメント課	事務用品費	169155.0	152052.0	111.2	
230H60220	ブランドマネジメント課	消耗品費	39853.0	25807.0	154.4	
230H60220	ブランドマネジメント課	廃棄物処理料	12328.0	12889.0	95.6	
230H60220	ブランドマネジメント課	広告宣伝費	2455785.0	2524102.0	97.2	
230H60220	ブランドマネジメント課	接待交際費	0.0	0.0		
230H60220	ブランドマネジメント課	研究開発費	0.0	0.0		
230H60220	ブランドマネジメント課	賃借料	1549800.0	2066400.0	75.0	
230H60220	ブランドマネジメント課	賃貸料収入	516600.0	0.0		
230H60220	ブランドマネジメント課	修繕費	0.0	0.0		
230H60220	ブランドマネジメント課	支払リース料	130987.0	131064.0	99.9	
230H60220	ブランドマネジメント課	保険料	0.0	0.0		
230H60220	ブランドマネジメント課	支払報酬	1400000.0	1200000.0	116.6	
230H60220	ブランドマネジメント課	支払手数料	218580.0	218580.0	100.0	
230H60220	ブランドマネジメント課	診断料	0.0	0.0		
230H60220	ブランドマネジメント課	諸会費	0.0	50000.0	0.0	
230H60220	ブランドマネジメント課	会議費	0.0	0.0		
230H60220	ブランドマネジメント課	寄付金	0.0	0.0		
230H60220	ブランドマネジメント課	租税公課	0.0	0.0		
230H60220	ブランドマネジメント課	業務委託費	0.0	0.0		
230H60220	ブランドマネジメント課	業務受託収入	0.0	0.0		
230H60220	ブランドマネジメント課	システム管理料	0.0	0.0		
230H60220	ブランドマネジメント課	情報機器利用料	898200.0	862200.0	104.1	
230H60220	ブランドマネジメント課	雑費	5820.0	5820.0	100.0	
230H60220	ブランドマネジメント課	福利消耗品費	8185.0	222932.0	3.6	
230H60220	ブランドマネジメント課	教育研修費	312240.0	340176.0	91.7	
230H60220	ブランドマネジメント課	雑給	0.0	0.0		
230H60220	ブランドマネジメント課	社内金利（固定資産）	40242.0	0.0		
230H60220	ブランドマネジメント課	差引収益	-5363902.0	-5299750.0		
230H60220	ブランドマネジメント課	差引比率	-185.4	-183.2		
230H60220	ブランドマネジメント課	総時間	5035.25	5272.0	95.5	
230H60220	ブランドマネジメント課	定時間	5009.5	5222.0	95.9	
230H60220	ブランドマネジメント課	残業時間	75.75	82.0	92.3	
230H60220	ブランドマネジメント課	移動時間	-50.0	-32.0		
230H60220	ブランドマネジメント課	当月時間当り	-1065.2	-1005.2		
230H60220	ブランドマネジメント課	人員	3.0	3.0	100.0	
