組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H60310	人事課	総受注高	24852000.0	24852000.0	100.0	91.8
230H60310	人事課	総売上高	24852000.0	24852000.0	100.0	91.8
230H60310	人事課	売上高	2071000.0	0.0		
230H60310	人事課	グループ売上高	22781000.0	24852000.0	91.6	84.1
230H60310	人事課	売上原価	0.0	0.0		
230H60310	人事課	仕入高	0.0	0.0		
230H60310	人事課	グループ仕入高	0.0	0.0		
230H60310	人事課	総収益	24852000.0	24852000.0	100.0	91.8
230H60310	人事課	経費合計	12737994.0	13028414.0	97.7	85.5
230H60310	人事課	減価償却費	0.0	0.0		
230H60310	人事課	車両費	70455.0	71628.0	98.3	84.8
230H60310	人事課	旅費交通費	290000.0	305000.0	95.0	49.2
230H60310	人事課	荷造運搬費	0.0	0.0		
230H60310	人事課	通信費	190519.0	193546.0	98.4	91.8
230H60310	人事課	水道光熱費	284476.0	294092.0	96.7	103.6
230H60310	人事課	動力費	0.0	0.0		
230H60310	人事課	事務用品費	53964.0	55492.0	97.2	89.4
230H60310	人事課	消耗品費	33369.0	39613.0	84.2	119.7
230H60310	人事課	廃棄物処理料	24150.0	25770.0	93.7	91.9
230H60310	人事課	広告宣伝費	0.0	0.0		
230H60310	人事課	接待交際費	21000.0	24000.0	87.5	61.3
230H60310	人事課	研究開発費	0.0	0.0		
230H60310	人事課	賃借料	4132800.0	4132800.0	100.0	87.6
230H60310	人事課	賃貸料収入	0.0	0.0		
230H60310	人事課	修繕費	5165.0	5165.0	100.0	24.9
230H60310	人事課	支払リース料	23412.0	23556.0	99.3	90.7
230H60310	人事課	保険料	0.0	0.0		0.0
230H60310	人事課	支払報酬	5610000.0	5610000.0	100.0	86.1
230H60310	人事課	支払手数料	790.0	0.0		
230H60310	人事課	診断料	0.0	0.0		
230H60310	人事課	諸会費	34700.0	34700.0	100.0	100.0
230H60310	人事課	会議費	0.0	0.0		0.0
230H60310	人事課	寄付金	0.0	0.0		
230H60310	人事課	租税公課	0.0	0.0		0.0
230H60310	人事課	業務委託費	0.0	0.0		
230H60310	人事課	業務受託収入	0.0	0.0		
230H60310	人事課	システム管理料	0.0	0.0		
230H60310	人事課	情報機器利用料	1711124.0	1920984.0	89.0	87.8
230H60310	人事課	雑費	11652.0	11652.0	100.0	96.6
230H60310	人事課	福利消耗品費	40366.0	65864.0	61.2	67.3
230H60310	人事課	教育研修費	200052.0	214552.0	93.2	81.1
230H60310	人事課	雑給	0.0	0.0		
230H60310	人事課	社内金利（固定資産）	0.0	0.0		
230H60310	人事課	差引収益	12114006.0	11823586.0	102.4	99.5
230H60310	人事課	差引比率	48.7	47.5	102.5	108.4
230H60310	人事課	総時間	10633.25	11138.0	95.4	83.1
230H60310	人事課	定時間	10138.25	10649.0	95.2	82.7
230H60310	人事課	残業時間	495.0	489.0	101.2	92.9
230H60310	人事課	移動時間	0.0	0.0		
230H60310	人事課	当月時間当り	1139.2	1061.5	107.3	119.7
230H60310	人事課	人員	6.0	6.0	100.0	75.0
