組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230G50210	土壌・肥料チーム	総受注高	24996125.0	25381125.0	98.4	64.0
230G50210	土壌・肥料チーム	総売上高	24996125.0	25381125.0	98.4	64.0
230G50210	土壌・肥料チーム	売上高	7324900.0	6695000.0	109.4	56.2
230G50210	土壌・肥料チーム	グループ売上高	17671225.0	18686125.0	94.5	68.0
230G50210	土壌・肥料チーム	売上原価	0.0	0.0		
230G50210	土壌・肥料チーム	仕入高	0.0	0.0		
230G50210	土壌・肥料チーム	グループ仕入高	0.0	0.0		
230G50210	土壌・肥料チーム	総収益	24996125.0	25381125.0	98.4	64.0
230G50210	土壌・肥料チーム	経費合計	14170346.0	13536143.0	104.6	82.1
230G50210	土壌・肥料チーム	減価償却費	803010.0	783336.0	102.5	93.5
230G50210	土壌・肥料チーム	車両費	7584.0	8940.0	84.8	89.9
230G50210	土壌・肥料チーム	旅費交通費	92654.0	30000.0	308.8	355.3
230G50210	土壌・肥料チーム	荷造運搬費	1720.0	0.0		76.7
230G50210	土壌・肥料チーム	通信費	177863.0	171696.0	103.5	73.7
230G50210	土壌・肥料チーム	水道光熱費	1057233.0	1115000.0	94.8	96.6
230G50210	土壌・肥料チーム	動力費	0.0	0.0		0.0
230G50210	土壌・肥料チーム	事務用品費	14571.0	13500.0	107.9	36.0
230G50210	土壌・肥料チーム	消耗品費	206430.0	70000.0	294.9	53.1
230G50210	土壌・肥料チーム	廃棄物処理料	131075.0	208000.0	63.0	148.9
230G50210	土壌・肥料チーム	広告宣伝費	8000.0	16000.0	50.0	
230G50210	土壌・肥料チーム	接待交際費	12200.0	20000.0	61.0	
230G50210	土壌・肥料チーム	研究開発費	0.0	0.0		
230G50210	土壌・肥料チーム	賃借料	4200000.0	4200000.0	100.0	101.2
230G50210	土壌・肥料チーム	賃貸料収入	0.0	0.0		
230G50210	土壌・肥料チーム	修繕費	251211.0	25000.0		162.5
230G50210	土壌・肥料チーム	支払リース料	239023.0	239023.0	100.0	108.4
230G50210	土壌・肥料チーム	保険料	0.0	0.0		
230G50210	土壌・肥料チーム	支払報酬	0.0	0.0		
230G50210	土壌・肥料チーム	支払手数料	31610.0	0.0		
230G50210	土壌・肥料チーム	診断料	7844916.0	7215170.0	108.7	90.2
230G50210	土壌・肥料チーム	諸会費	20000.0	12500.0	160.0	49.2
230G50210	土壌・肥料チーム	会議費	8994.0	12000.0	74.9	
230G50210	土壌・肥料チーム	寄付金	0.0	0.0		
230G50210	土壌・肥料チーム	租税公課	18987.0	35000.0	54.2	70.4
230G50210	土壌・肥料チーム	業務委託費	0.0	0.0		
230G50210	土壌・肥料チーム	業務受託収入	-2470470.0	-2400000.0		
230G50210	土壌・肥料チーム	システム管理料	0.0	0.0		
230G50210	土壌・肥料チーム	情報機器利用料	1257240.0	1484760.0	84.6	65.4
230G50210	土壌・肥料チーム	雑費	54233.0	53468.0	101.4	157.2
230G50210	土壌・肥料チーム	福利消耗品費	45077.0	74020.0	60.8	146.4
230G50210	土壌・肥料チーム	教育研修費	43286.0	35286.0	122.6	82.8
230G50210	土壌・肥料チーム	雑給	0.0	0.0		
230G50210	土壌・肥料チーム	社内金利（固定資産）	113899.0	113444.0	100.4	75.2
230G50210	土壌・肥料チーム	差引収益	10825779.0	11844982.0	91.3	49.7
230G50210	土壌・肥料チーム	差引比率	43.3	46.6	92.9	77.7
230G50210	土壌・肥料チーム	総時間	9049.75	9137.5	99.0	66.2
230G50210	土壌・肥料チーム	定時間	8847.5	9016.0	98.1	70.8
230G50210	土壌・肥料チーム	残業時間	775.75	695.0	111.6	79.7
230G50210	土壌・肥料チーム	移動時間	-573.5	-573.5		
230G50210	土壌・肥料チーム	当月時間当り	1196.2	1296.3	92.2	75.0
230G50210	土壌・肥料チーム	人員	6.0	6.0	100.0	75.0
