組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H60800	投資企画課	総受注高	1500000.0	1500000.0	100.0	
230H60800	投資企画課	総売上高	1500000.0	1500000.0	100.0	
230H60800	投資企画課	売上高	0.0	0.0		
230H60800	投資企画課	グループ売上高	1500000.0	1500000.0	100.0	
230H60800	投資企画課	売上原価	0.0	0.0		
230H60800	投資企画課	仕入高	0.0	0.0		
230H60800	投資企画課	グループ仕入高	0.0	0.0		
230H60800	投資企画課	総収益	1500000.0	1500000.0	100.0	
230H60800	投資企画課	経費合計	3510119.0	4340000.0	80.8	
230H60800	投資企画課	減価償却費	0.0	0.0		
230H60800	投資企画課	車両費	68498.0	83880.0	81.6	
230H60800	投資企画課	旅費交通費	639984.0	1400000.0	45.7	
230H60800	投資企画課	荷造運搬費	10000.0	12000.0	83.3	
230H60800	投資企画課	通信費	41244.0	42721.0	96.5	
230H60800	投資企画課	水道光熱費	94527.0	98027.0	96.4	
230H60800	投資企画課	動力費	0.0	0.0		
230H60800	投資企画課	事務用品費	17807.0	16908.0	105.3	
230H60800	投資企画課	消耗品費	11572.0	13208.0	87.6	
230H60800	投資企画課	廃棄物処理料	7609.0	8591.0	88.5	
230H60800	投資企画課	広告宣伝費	0.0	0.0		
230H60800	投資企画課	接待交際費	103450.0	120000.0	86.2	
230H60800	投資企画課	研究開発費	0.0	0.0		
230H60800	投資企画課	賃借料	1377600.0	1377600.0	100.0	
230H60800	投資企画課	賃貸料収入	0.0	0.0		
230H60800	投資企画課	修繕費	1722.0	1722.0	100.0	
230H60800	投資企画課	支払リース料	8258.0	7848.0	105.2	
230H60800	投資企画課	保険料	0.0	0.0		
230H60800	投資企画課	支払報酬	0.0	0.0		
230H60800	投資企画課	支払手数料	0.0	0.0		
230H60800	投資企画課	診断料	0.0	0.0		
230H60800	投資企画課	諸会費	0.0	0.0		
230H60800	投資企画課	会議費	10370.0	12000.0	86.4	
230H60800	投資企画課	寄付金	0.0	0.0		
230H60800	投資企画課	租税公課	0.0	0.0		
230H60800	投資企画課	業務委託費	0.0	0.0		
230H60800	投資企画課	業務受託収入	0.0	0.0		
230H60800	投資企画課	システム管理料	0.0	0.0		
230H60800	投資企画課	情報機器利用料	558384.0	558384.0	100.0	
230H60800	投資企画課	雑費	549629.0	553381.0	99.3	
230H60800	投資企画課	福利消耗品費	5289.0	29554.0	17.8	
230H60800	投資企画課	教育研修費	4176.0	4176.0	100.0	
230H60800	投資企画課	雑給	0.0	0.0		
230H60800	投資企画課	社内金利（固定資産）	0.0	0.0		
230H60800	投資企画課	差引収益	-2010119.0	-2840000.0		
230H60800	投資企画課	差引比率	-134.0	-189.3		
230H60800	投資企画課	総時間	2325.5	2336.0	99.5	
230H60800	投資企画課	定時間	3880.75	3872.0	100.2	
230H60800	投資企画課	残業時間	518.75	538.0	96.4	
230H60800	投資企画課	移動時間	-2074.0	-2074.0		
230H60800	投資企画課	当月時間当り	-864.3	-1215.7		
230H60800	投資企画課	人員	2.0	2.0	100.0	
