組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230G50220	病害虫・防除チーム	総受注高	7245900.0	7767000.0	93.2	
230G50220	病害虫・防除チーム	総売上高	7245900.0	7767000.0	93.2	
230G50220	病害虫・防除チーム	売上高	330000.0	375000.0	88.0	
230G50220	病害虫・防除チーム	グループ売上高	6915900.0	7392000.0	93.5	
230G50220	病害虫・防除チーム	売上原価	0.0	0.0		
230G50220	病害虫・防除チーム	仕入高	0.0	0.0		
230G50220	病害虫・防除チーム	グループ仕入高	0.0	0.0		
230G50220	病害虫・防除チーム	総収益	7245900.0	7767000.0	93.2	
230G50220	病害虫・防除チーム	経費合計	10362673.0	10507671.0	98.6	124.6
230G50220	病害虫・防除チーム	減価償却費	186232.0	446424.0	41.7	144.3
230G50220	病害虫・防除チーム	車両費	358612.0	374840.0	95.6	43.8
230G50220	病害虫・防除チーム	旅費交通費	211418.0	210000.0	100.6	219.7
230G50220	病害虫・防除チーム	荷造運搬費	0.0	0.0		
230G50220	病害虫・防除チーム	通信費	216101.0	216144.0	99.9	128.2
230G50220	病害虫・防除チーム	水道光熱費	1090991.0	1115000.0	97.8	99.7
230G50220	病害虫・防除チーム	動力費	0.0	0.0		0.0
230G50220	病害虫・防除チーム	事務用品費	14189.0	13500.0	105.1	55.0
230G50220	病害虫・防除チーム	消耗品費	361178.0	254000.0	142.1	81.0
230G50220	病害虫・防除チーム	廃棄物処理料	158000.0	208000.0	75.9	179.5
230G50220	病害虫・防除チーム	広告宣伝費	10000.0	10000.0	100.0	
230G50220	病害虫・防除チーム	接待交際費	20000.0	20000.0	100.0	
230G50220	病害虫・防除チーム	研究開発費	0.0	0.0		
230G50220	病害虫・防除チーム	賃借料	4740000.0	4740000.0	100.0	101.1
230G50220	病害虫・防除チーム	賃貸料収入	-540000.0	-540000.0		
230G50220	病害虫・防除チーム	修繕費	389849.0	175000.0	222.7	372.8
230G50220	病害虫・防除チーム	支払リース料	15825.0	15825.0	100.0	100.0
230G50220	病害虫・防除チーム	保険料	0.0	0.0		
230G50220	病害虫・防除チーム	支払報酬	0.0	0.0		
230G50220	病害虫・防除チーム	支払手数料	2985.0	4000.0	74.6	162.3
230G50220	病害虫・防除チーム	診断料	1365619.0	1390000.0	98.2	
230G50220	病害虫・防除チーム	諸会費	54500.0	48500.0	112.3	145.3
230G50220	病害虫・防除チーム	会議費	8994.0	12000.0	74.9	
230G50220	病害虫・防除チーム	寄付金	0.0	0.0		
230G50220	病害虫・防除チーム	租税公課	10000.0	30000.0	33.3	192.6
230G50220	病害虫・防除チーム	業務委託費	0.0	0.0		
230G50220	病害虫・防除チーム	業務受託収入	0.0	0.0		
230G50220	病害虫・防除チーム	システム管理料	0.0	0.0		
230G50220	病害虫・防除チーム	情報機器利用料	1261032.0	1261032.0	100.0	187.2
230G50220	病害虫・防除チーム	雑費	325313.0	325396.0	99.9	361.7
230G50220	病害虫・防除チーム	福利消耗品費	17037.0	84060.0	20.2	70.6
230G50220	病害虫・防除チーム	教育研修費	64979.0	74929.0	86.7	105.9
230G50220	病害虫・防除チーム	雑給	0.0	0.0		
230G50220	病害虫・防除チーム	社内金利（固定資産）	19819.0	19021.0	104.1	118.5
230G50220	病害虫・防除チーム	差引収益	-3116773.0	-2740671.0		
230G50220	病害虫・防除チーム	差引比率	-43.0	-35.2		
230G50220	病害虫・防除チーム	総時間	8750.25	8882.0	98.5	171.3
230G50220	病害虫・防除チーム	定時間	9282.0	9372.0	99.0	143.9
230G50220	病害虫・防除チーム	残業時間	492.75	527.0	93.5	194.5
230G50220	病害虫・防除チーム	移動時間	-1024.5	-1017.0		
230G50220	病害虫・防除チーム	当月時間当り	-356.1	-308.5		
230G50220	病害虫・防除チーム	人員	6.0	6.0	100.0	150.0
