組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
001060100	経営支援本部	総受注高	172932000.0	172932000.0	100.0	97.6
001060100	経営支援本部	総売上高	172932000.0	172932000.0	100.0	97.6
001060100	経営支援本部	売上高	2071000.0	0.0		
001060100	経営支援本部	グループ売上高	170861000.0	172932000.0	98.8	96.4
001060100	経営支援本部	売上原価	0.0	0.0		
001060100	経営支援本部	仕入高	0.0	0.0		
001060100	経営支援本部	グループ仕入高	0.0	0.0		
001060100	経営支援本部	総収益	172932000.0	172932000.0	100.0	97.6
001060100	経営支援本部	経費合計	108006897.0	110818159.0	97.4	110.0
001060100	経営支援本部	減価償却費	136670.0	0.0		
001060100	経営支援本部	車両費	1219991.0	1240844.0	98.3	109.1
001060100	経営支援本部	旅費交通費	4730141.0	5845720.0	80.9	115.5
001060100	経営支援本部	荷造運搬費	25238.0	16600.0	152.0	219.2
001060100	経営支援本部	通信費	1303893.0	1244350.0	104.7	100.2
001060100	経営支援本部	水道光熱費	2407542.0	2548859.0	94.4	119.6
001060100	経営支援本部	動力費	0.0	0.0		
001060100	経営支援本部	事務用品費	539096.0	557792.0	96.6	119.4
001060100	経営支援本部	消耗品費	589865.0	612968.0	96.2	115.7
001060100	経営支援本部	廃棄物処理料	219869.0	238373.0	92.2	111.4
001060100	経営支援本部	広告宣伝費	2375206.0	2524102.0	94.1	167.6
001060100	経営支援本部	接待交際費	362151.0	329000.0	110.0	85.6
001060100	経営支援本部	研究開発費	0.0	0.0		
001060100	経営支援本部	賃借料	36207000.0	36207000.0	100.0	100.6
001060100	経営支援本部	賃貸料収入	-981000.0	-981000.0		
001060100	経営支援本部	修繕費	37893.0	42179.0	89.8	24.9
001060100	経営支援本部	支払リース料	287704.0	282660.0	101.7	93.2
001060100	経営支援本部	保険料	0.0	0.0		0.0
001060100	経営支援本部	支払報酬	25834236.0	25321794.0	102.0	105.7
001060100	経営支援本部	支払手数料	4133448.0	4165950.0	99.2	93.1
001060100	経営支援本部	診断料	0.0	0.0		0.0
001060100	経営支援本部	諸会費	195900.0	245900.0	79.6	99.9
001060100	経営支援本部	会議費	105108.0	106000.0	99.1	126.5
001060100	経営支援本部	寄付金	0.0	0.0		0.0
001060100	経営支援本部	租税公課	24900.0	6598.0	377.3	163.8
001060100	経営支援本部	業務委託費	0.0	0.0		
001060100	経営支援本部	業務受託収入	0.0	0.0		
001060100	経営支援本部	システム管理料	0.0	0.0		
001060100	経営支援本部	情報機器利用料	15153594.0	15272558.0	99.2	106.1
001060100	経営支援本部	雑費	679927.0	685249.0	99.2	129.4
001060100	経営支援本部	福利消耗品費	223018.0	570160.0	39.1	46.6
001060100	経営支援本部	教育研修費	12150617.0	13729923.0	88.4	205.6
001060100	経営支援本部	雑給	0.0	0.0		0.0
001060100	経営支援本部	社内金利（固定資産）	44890.0	4580.0	980.1	156.6
001060100	経営支援本部	差引収益	64925103.0	62113841.0	104.5	82.3
001060100	経営支援本部	差引比率	37.5	35.9	104.4	84.2
001060100	経営支援本部	総時間	87370.75	88549.5	98.6	104.2
001060100	経営支援本部	定時間	88870.75	89820.5	98.9	102.7
001060100	経営支援本部	残業時間	5243.0	5385.0	97.3	108.8
001060100	経営支援本部	移動時間	-6743.0	-6656.0		
001060100	経営支援本部	当月時間当り	743.0	701.4	105.9	78.9
001060100	経営支援本部	人員	51.0	51.0	100.0	100.0
