組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H60600	経営管理チーム	総受注高	11016000.0	11016000.0	100.0	103.7
230H60600	経営管理チーム	総売上高	11016000.0	11016000.0	100.0	103.7
230H60600	経営管理チーム	売上高	0.0	0.0		
230H60600	経営管理チーム	グループ売上高	11016000.0	11016000.0	100.0	103.7
230H60600	経営管理チーム	売上原価	0.0	0.0		
230H60600	経営管理チーム	仕入高	0.0	0.0		
230H60600	経営管理チーム	グループ仕入高	0.0	0.0		
230H60600	経営管理チーム	総収益	11016000.0	11016000.0	100.0	103.7
230H60600	経営管理チーム	経費合計	3375288.0	3377354.0	99.9	95.0
230H60600	経営管理チーム	減価償却費	0.0	0.0		
230H60600	経営管理チーム	車両費	35222.0	35808.0	98.3	78.1
230H60600	経営管理チーム	旅費交通費	63500.0	63500.0	100.0	902.3
230H60600	経営管理チーム	荷造運搬費	0.0	0.0		
230H60600	経営管理チーム	通信費	26538.0	26848.0	98.8	100.2
230H60600	経営管理チーム	水道光熱費	142246.0	147056.0	96.7	103.6
230H60600	経営管理チーム	動力費	0.0	0.0		
230H60600	経営管理チーム	事務用品費	6727.0	7368.0	91.3	71.9
230H60600	経営管理チーム	消耗品費	17291.0	19807.0	87.2	141.0
230H60600	経営管理チーム	廃棄物処理料	11456.0	12889.0	88.8	96.6
230H60600	経営管理チーム	広告宣伝費	0.0	0.0		
230H60600	経営管理チーム	接待交際費	0.0	0.0		
230H60600	経営管理チーム	研究開発費	0.0	0.0		
230H60600	経営管理チーム	賃借料	2066400.0	2066400.0	100.0	87.6
230H60600	経営管理チーム	賃貸料収入	0.0	0.0		
230H60600	経営管理チーム	修繕費	2582.0	2582.0	100.0	24.9
230H60600	経営管理チーム	支払リース料	11711.0	11784.0	99.3	90.8
230H60600	経営管理チーム	保険料	0.0	0.0		
230H60600	経営管理チーム	支払報酬	0.0	0.0		
230H60600	経営管理チーム	支払手数料	0.0	0.0		
230H60600	経営管理チーム	診断料	0.0	0.0		
230H60600	経営管理チーム	諸会費	0.0	0.0		
230H60600	経営管理チーム	会議費	0.0	0.0		
230H60600	経営管理チーム	寄付金	0.0	0.0		
230H60600	経営管理チーム	租税公課	20000.0	0.0		
230H60600	経営管理チーム	業務委託費	0.0	0.0		
230H60600	経営管理チーム	業務受託収入	0.0	0.0		
230H60600	経営管理チーム	システム管理料	0.0	0.0		
230H60600	経営管理チーム	情報機器利用料	891984.0	891984.0	100.0	112.6
230H60600	経営管理チーム	雑費	5820.0	5820.0	100.0	8.1
230H60600	経営管理チーム	福利消耗品費	2535.0	14232.0	17.8	94.3
230H60600	経営管理チーム	教育研修費	71276.0	71276.0	100.0	127.3
230H60600	経営管理チーム	雑給	0.0	0.0		
230H60600	経営管理チーム	社内金利（固定資産）	0.0	0.0		
230H60600	経営管理チーム	差引収益	7640712.0	7638646.0	100.0	108.1
230H60600	経営管理チーム	差引比率	69.3	69.3	100.0	104.2
230H60600	経営管理チーム	総時間	6019.5	6036.0	99.7	94.0
230H60600	経営管理チーム	定時間	5577.5	5576.0	100.0	100.0
230H60600	経営管理チーム	残業時間	216.5	224.0	96.6	105.3
230H60600	経営管理チーム	移動時間	225.5	236.0	95.5	36.4
230H60600	経営管理チーム	当月時間当り	1269.3	1265.5	100.3	114.9
230H60600	経営管理チーム	人員	3.0	3.0	100.0	100.0
