組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230H60500	財務・経理チーム	総受注高	36900000.0	36900000.0	100.0	88.2
230H60500	財務・経理チーム	総売上高	36900000.0	36900000.0	100.0	88.2
230H60500	財務・経理チーム	売上高	0.0	0.0		
230H60500	財務・経理チーム	グループ売上高	36900000.0	36900000.0	100.0	88.2
230H60500	財務・経理チーム	売上原価	0.0	0.0		
230H60500	財務・経理チーム	仕入高	0.0	0.0		
230H60500	財務・経理チーム	グループ仕入高	0.0	0.0		
230H60500	財務・経理チーム	総収益	36900000.0	36900000.0	100.0	88.2
230H60500	財務・経理チーム	経費合計	24811227.0	24874592.0	99.7	101.2
230H60500	財務・経理チーム	減価償却費	0.0	0.0		
230H60500	財務・経理チーム	車両費	211917.0	214256.0	98.9	157.5
230H60500	財務・経理チーム	旅費交通費	873844.0	880980.0	99.1	194.5
230H60500	財務・経理チーム	荷造運搬費	0.0	0.0		
230H60500	財務・経理チーム	通信費	242012.0	236306.0	102.4	91.0
230H60500	財務・経理チーム	水道光熱費	568974.0	588198.0	96.7	124.3
230H60500	財務・経理チーム	動力費	0.0	0.0		
230H60500	財務・経理チーム	事務用品費	127761.0	131960.0	96.8	102.1
230H60500	財務・経理チーム	消耗品費	263372.0	269923.0	97.5	124.1
230H60500	財務・経理チーム	廃棄物処理料	54199.0	59547.0	91.0	93.4
230H60500	財務・経理チーム	広告宣伝費	0.0	0.0		
230H60500	財務・経理チーム	接待交際費	70000.0	74000.0	94.5	87.7
230H60500	財務・経理チーム	研究開発費	0.0	0.0		
230H60500	財務・経理チーム	賃借料	8265600.0	8265600.0	100.0	105.1
230H60500	財務・経理チーム	賃貸料収入	0.0	0.0		
230H60500	財務・経理チーム	修繕費	10330.0	10330.0	100.0	29.8
230H60500	財務・経理チーム	支払リース料	46828.0	47112.0	99.3	108.9
230H60500	財務・経理チーム	保険料	0.0	0.0		
230H60500	財務・経理チーム	支払報酬	7100000.0	7100000.0	100.0	99.8
230H60500	財務・経理チーム	支払手数料	3061994.0	3064994.0	99.9	98.1
230H60500	財務・経理チーム	診断料	0.0	0.0		
230H60500	財務・経理チーム	諸会費	156200.0	156200.0	100.0	101.1
230H60500	財務・経理チーム	会議費	19000.0	22000.0	86.3	70.8
230H60500	財務・経理チーム	寄付金	0.0	0.0		
230H60500	財務・経理チーム	租税公課	900.0	1000.0	90.0	18.0
230H60500	財務・経理チーム	業務委託費	0.0	0.0		
230H60500	財務・経理チーム	業務受託収入	0.0	0.0		
230H60500	財務・経理チーム	システム管理料	0.0	0.0		
230H60500	財務・経理チーム	情報機器利用料	3570500.0	3570500.0	100.0	90.8
230H60500	財務・経理チーム	雑費	53312.0	53304.0	100.0	19.9
230H60500	財務・経理チーム	福利消耗品費	10144.0	27228.0	37.2	13.9
230H60500	財務・経理チーム	教育研修費	99760.0	96574.0	103.2	139.2
230H60500	財務・経理チーム	雑給	0.0	0.0		
230H60500	財務・経理チーム	社内金利（固定資産）	4580.0	4580.0	100.0	27.7
230H60500	財務・経理チーム	差引収益	12088773.0	12025408.0	100.5	69.7
230H60500	財務・経理チーム	差引比率	32.7	32.5	100.6	78.9
230H60500	財務・経理チーム	総時間	19792.5	20067.5	98.6	88.9
230H60500	財務・経理チーム	定時間	19248.5	19316.5	99.6	86.0
230H60500	財務・経理チーム	残業時間	1227.5	1361.0	90.1	114.5
230H60500	財務・経理チーム	移動時間	-683.5	-610.0		
230H60500	財務・経理チーム	当月時間当り	610.7	599.2	101.9	78.4
230H60500	財務・経理チーム	人員	12.0	12.0	100.0	92.3
