組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
012000000	㈱ランドサイエンス	総受注高	3525508108.0	3560000000.0	99.0	102.7
012000000	㈱ランドサイエンス	総売上高	3525508108.0	3560000000.0	99.0	102.7
012000000	㈱ランドサイエンス	売上高	3556772754.0	3587900000.0	99.1	102.8
012000000	㈱ランドサイエンス	売上値引	-31264646.0	-27900000.0		
012000000	㈱ランドサイエンス	売上原価	2912143005.0	2934000000.0	99.2	103.6
012000000	㈱ランドサイエンス	総収益	613365103.0	626000000.0	97.9	98.7
012000000	㈱ランドサイエンス	経費合計	125657317.0	118874690.0	105.7	78.5
012000000	㈱ランドサイエンス	減価償却費	23411651.0	17366852.0	134.8	127.1
012000000	㈱ランドサイエンス	車両費	27221998.0	27901739.0	97.5	196.9
012000000	㈱ランドサイエンス	旅費交通費	4274445.0	4178179.0	102.3	109.3
012000000	㈱ランドサイエンス	荷造運搬費	3238286.0	3302020.0	98.0	92.2
012000000	㈱ランドサイエンス	通信費	3963372.0	3939148.0	100.6	92.9
012000000	㈱ランドサイエンス	水道光熱費	6099824.0	6183811.0	98.6	81.3
012000000	㈱ランドサイエンス	事務用品費	1442596.0	1617859.0	89.1	67.9
012000000	㈱ランドサイエンス	消耗品費	769071.0	780877.0	98.4	17.3
012000000	㈱ランドサイエンス	廃棄物処理料	1859821.0	1803129.0	103.1	
012000000	㈱ランドサイエンス	広告宣伝費	1985656.0	2092377.0	94.8	88.1
012000000	㈱ランドサイエンス	接待交際費	7241163.0	7262269.0	99.7	100.7
012000000	㈱ランドサイエンス	賃借料	18031862.0	18031860.0	100.0	68.2
012000000	㈱ランドサイエンス	賃貸料収入	-140000.0	0.0		
012000000	㈱ランドサイエンス	修繕費	632950.0	600000.0	105.4	61.9
012000000	㈱ランドサイエンス	支払リース料	1607140.0	2508164.0	64.0	10.8
012000000	㈱ランドサイエンス	保険料	2617044.0	2601369.0	100.6	47.4
012000000	㈱ランドサイエンス	支払報酬	686420.0	686420.0	100.0	
012000000	㈱ランドサイエンス	販売手数料	0.0	0.0		
012000000	㈱ランドサイエンス	支払手数料	9527870.0	7575727.0	125.7	69.0
012000000	㈱ランドサイエンス	診断料	64877.0	53566.0	121.1	
012000000	㈱ランドサイエンス	諸会費	3024836.0	3036260.0	99.6	99.8
012000000	㈱ランドサイエンス	会議費	43214.0	38577.0	112.0	139.9
012000000	㈱ランドサイエンス	寄付金	92000.0	92000.0	100.0	100.0
012000000	㈱ランドサイエンス	租税公課	2836000.0	2894000.0	97.9	97.0
012000000	㈱ランドサイエンス	業務委託費	0.0	0.0		
012000000	㈱ランドサイエンス	業務受託収入	-24600000.0	0.0		
012000000	㈱ランドサイエンス	システム管理料	0.0	0.0		
012000000	㈱ランドサイエンス	情報機器利用料	13111810.0	12877800.0	101.8	107.3
012000000	㈱ランドサイエンス	貸倒金	0.0	0.0		0.0
012000000	㈱ランドサイエンス	雑費	1927231.0	1893777.0	101.7	36.8
012000000	㈱ランドサイエンス	福利消耗品費	85425.0	0.0		
012000000	㈱ランドサイエンス	教育研修費	898978.0	637281.0	141.0	
012000000	㈱ランドサイエンス	廃棄損・減耗損	4641777.0	4459629.0	104.0	209.2
012000000	㈱ランドサイエンス	雑給	0.0	0.0		
012000000	㈱ランドサイエンス	社内金利（固定資産）	0.0	0.0		
012000000	㈱ランドサイエンス	社内金利（売掛金）	0.0	0.0		
012000000	㈱ランドサイエンス	部門共通（経費）	0.0	0.0		
012000000	㈱ランドサイエンス	グループ共通	9060000.0	-15540000.0		
012000000	㈱ランドサイエンス	差引収益	487707786.0	507125310.0	96.1	105.7
012000000	㈱ランドサイエンス	差引比率	13.8	14.2	97.1	102.9
012000000	㈱ランドサイエンス	総時間	112276.0	115081.25	97.5	94.3
012000000	㈱ランドサイエンス	定時間	105737.5	108459.0	97.4	95.0
012000000	㈱ランドサイエンス	残業時間	5716.25	5791.0	98.7	84.1
012000000	㈱ランドサイエンス	移動時間	822.25	831.25	98.9	83.3
012000000	㈱ランドサイエンス	部門共通（時間）	0.0	0.0		
012000000	㈱ランドサイエンス	当月時間当り	4343.8	4406.6	98.5	112.0
012000000	㈱ランドサイエンス	人員	57.0	57.0	100.0	91.9
