組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310C10100	中部営業課	総受注高	827160224.0	845000000.0	97.8	98.5
310C10100	中部営業課	総売上高	827160224.0	845000000.0	97.8	98.5
310C10100	中部営業課	売上高	828172759.0	845700000.0	97.9	98.3
310C10100	中部営業課	売上値引	-1012535.0	-700000.0		
310C10100	中部営業課	売上原価	654660866.0	670500000.0	97.6	97.9
310C10100	中部営業課	総収益	172499358.0	174500000.0	98.8	100.9
310C10100	中部営業課	経費合計	31507676.0	32600585.0	96.6	101.9
310C10100	中部営業課	減価償却費	2017166.0	2017008.0	100.0	108.4
310C10100	中部営業課	車両費	5776550.0	6494635.0	88.9	218.6
310C10100	中部営業課	旅費交通費	223364.0	192000.0	116.3	112.2
310C10100	中部営業課	荷造運搬費	32630.0	32245.0	101.1	123.2
310C10100	中部営業課	通信費	726107.0	700696.0	103.6	87.7
310C10100	中部営業課	水道光熱費	780824.0	775486.0	100.6	78.2
310C10100	中部営業課	事務用品費	200612.0	217000.0	92.4	103.3
310C10100	中部営業課	消耗品費	146681.0	105000.0	139.6	4.9
310C10100	中部営業課	廃棄物処理料	251000.0	227000.0	110.5	
310C10100	中部営業課	広告宣伝費	147700.0	157700.0	93.6	68.1
310C10100	中部営業課	接待交際費	1273367.0	1279600.0	99.5	82.9
310C10100	中部営業課	賃借料	120000.0	120000.0	100.0	8.3
310C10100	中部営業課	賃貸料収入	0.0	0.0		
310C10100	中部営業課	修繕費	201073.0	200000.0	100.5	359.0
310C10100	中部営業課	支払リース料	447470.0	447469.0	100.0	12.3
310C10100	中部営業課	保険料	490519.0	490519.0	100.0	41.9
310C10100	中部営業課	支払報酬	0.0	0.0		
310C10100	中部営業課	販売手数料	0.0	0.0		
310C10100	中部営業課	支払手数料	693930.0	728440.0	95.2	97.2
310C10100	中部営業課	診断料	43027.0	31716.0	135.6	
310C10100	中部営業課	諸会費	169000.0	157000.0	107.6	142.0
310C10100	中部営業課	会議費	9273.0	4636.0	200.0	200.0
310C10100	中部営業課	寄付金	26000.0	26000.0	100.0	100.0
310C10100	中部営業課	租税公課	813000.0	818400.0	99.3	98.2
310C10100	中部営業課	業務委託費	0.0	0.0		
310C10100	中部営業課	業務受託収入	0.0	0.0		
310C10100	中部営業課	システム管理料	0.0	0.0		
310C10100	中部営業課	情報機器利用料	2772900.0	2784600.0	99.5	106.7
310C10100	中部営業課	貸倒金	0.0	0.0		
310C10100	中部営業課	雑費	131021.0	124401.0	105.3	35.6
310C10100	中部営業課	福利消耗品費	15000.0	0.0		
310C10100	中部営業課	教育研修費	127964.0	127964.0	100.0	
310C10100	中部営業課	廃棄損・減耗損	437356.0	400000.0	109.3	152.9
310C10100	中部営業課	雑給	0.0	0.0		
310C10100	中部営業課	社内金利（固定資産）	1514297.0	1336794.0	113.2	
310C10100	中部営業課	社内金利（売掛金）	3664290.0	4300000.0	85.2	
310C10100	中部営業課	部門共通（経費）	6300755.0	6349476.0	99.2	97.4
310C10100	中部営業課	グループ共通	1954800.0	1954800.0	100.0	125.0
310C10100	中部営業課	差引収益	140991682.0	141899415.0	99.3	100.7
310C10100	中部営業課	差引比率	17.0	16.7	101.7	102.4
310C10100	中部営業課	総時間	30132.5	31238.5	96.4	99.0
310C10100	中部営業課	定時間	23172.5	23808.0	97.3	100.7
310C10100	中部営業課	残業時間	831.25	864.0	96.2	135.8
310C10100	中部営業課	移動時間	0.0	0.0		0.0
310C10100	中部営業課	部門共通（時間）	6128.75	6566.5	93.3	90.0
310C10100	中部営業課	当月時間当り	4679.0	4542.4	103.0	101.7
310C10100	中部営業課	人員	12.0	12.0	100.0	92.3
