組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310A10600	第一営業部	総受注高	3215731143.0	3250500000.0	98.9	105.2
310A10600	第一営業部	総売上高	3215731143.0	3250500000.0	98.9	105.2
310A10600	第一営業部	売上高	3246388049.0	3278400000.0	99.0	105.3
310A10600	第一営業部	売上値引	-30656906.0	-27900000.0		
310A10600	第一営業部	売上原価	2664035252.0	2687500000.0	99.1	105.8
310A10600	第一営業部	総収益	551695891.0	563000000.0	97.9	102.7
310A10600	第一営業部	経費合計	118705147.0	119794913.0	99.0	103.5
310A10600	第一営業部	減価償却費	2988938.0	2990607.0	99.9	103.2
310A10600	第一営業部	車両費	21000658.0	21581019.0	97.3	207.2
310A10600	第一営業部	旅費交通費	815250.0	770601.0	105.7	103.7
310A10600	第一営業部	荷造運搬費	1144189.0	1146685.0	99.7	124.2
310A10600	第一営業部	通信費	2289083.0	2247597.0	101.8	98.7
310A10600	第一営業部	水道光熱費	3625322.0	3670916.0	98.7	92.7
310A10600	第一営業部	事務用品費	658347.0	748573.0	87.9	90.8
310A10600	第一営業部	消耗品費	557411.0	534976.0	104.1	15.7
310A10600	第一営業部	廃棄物処理料	1265784.0	1201455.0	105.3	
310A10600	第一営業部	広告宣伝費	1476718.0	1533658.0	96.2	99.4
310A10600	第一営業部	接待交際費	3973673.0	4077153.0	97.4	88.2
310A10600	第一営業部	賃借料	8901888.0	8901888.0	100.0	86.9
310A10600	第一営業部	賃貸料収入	0.0	0.0		
310A10600	第一営業部	修繕費	601073.0	600000.0	100.1	317.4
310A10600	第一営業部	支払リース料	1228194.0	1228189.0	100.0	11.5
310A10600	第一営業部	保険料	584919.0	584919.0	100.0	22.1
310A10600	第一営業部	支払報酬	0.0	0.0		
310A10600	第一営業部	販売手数料	0.0	0.0		
310A10600	第一営業部	支払手数料	1407355.0	1454949.0	96.7	81.4
310A10600	第一営業部	診断料	64877.0	53566.0	121.1	
310A10600	第一営業部	諸会費	297304.0	274304.0	108.3	112.0
310A10600	第一営業部	会議費	31932.0	27295.0	116.9	163.7
310A10600	第一営業部	寄付金	41500.0	41500.0	100.0	100.0
310A10600	第一営業部	租税公課	938900.0	948400.0	98.9	97.8
310A10600	第一営業部	業務委託費	0.0	0.0		
310A10600	第一営業部	業務受託収入	0.0	0.0		
310A10600	第一営業部	システム管理料	0.0	0.0		
310A10600	第一営業部	情報機器利用料	8948550.0	8892000.0	100.6	115.5
310A10600	第一営業部	貸倒金	0.0	0.0		0.0
310A10600	第一営業部	雑費	1270578.0	1256167.0	101.1	49.3
310A10600	第一営業部	福利消耗品費	56752.0	0.0		
310A10600	第一営業部	教育研修費	681519.0	410286.0	166.1	
310A10600	第一営業部	廃棄損・減耗損	4641777.0	4459629.0	104.0	287.1
310A10600	第一営業部	雑給	0.0	0.0		
310A10600	第一営業部	社内金利（固定資産）	1850213.0	1676359.0	110.3	
310A10600	第一営業部	社内金利（売掛金）	8764422.0	9650219.0	90.8	
310A10600	第一営業部	部門共通（経費）	32202021.0	32436003.0	99.2	106.5
310A10600	第一営業部	グループ共通	6396000.0	6396000.0	100.0	121.6
310A10600	第一営業部	差引収益	432990744.0	443205087.0	97.6	102.5
310A10600	第一営業部	差引比率	13.4	13.6	98.5	97.1
310A10600	第一営業部	総時間	102847.5	105550.0	97.4	100.7
310A10600	第一営業部	定時間	74140.75	74962.0	98.9	102.9
310A10600	第一営業部	残業時間	3686.25	3857.0	95.5	92.1
310A10600	第一営業部	移動時間	0.0	0.0		0.0
310A10600	第一営業部	部門共通（時間）	25020.5	26731.0	93.6	97.2
310A10600	第一営業部	当月時間当り	4210.0	4199.0	100.2	101.8
310A10600	第一営業部	人員	40.0	39.0	102.5	97.5
