組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310A10700	第二営業部	総受注高	309776965.0	309500000.0	100.0	82.3
310A10700	第二営業部	総売上高	309776965.0	309500000.0	100.0	82.3
310A10700	第二営業部	売上高	310384705.0	309500000.0	100.2	82.5
310A10700	第二営業部	売上値引	-607740.0	0.0		
310A10700	第二営業部	売上原価	248107753.0	246500000.0	100.6	85.1
310A10700	第二営業部	総収益	61669212.0	63000000.0	97.8	73.0
310A10700	第二営業部	経費合計	11488679.0	11492417.0	99.9	44.1
310A10700	第二営業部	減価償却費	566139.0	555055.0	101.9	28.3
310A10700	第二営業部	車両費	1475719.0	1501881.0	98.2	96.7
310A10700	第二営業部	旅費交通費	1929362.0	1918500.0	100.5	158.2
310A10700	第二営業部	荷造運搬費	1932866.0	1991000.0	97.0	95.8
310A10700	第二営業部	通信費	462516.0	470248.0	98.3	56.2
310A10700	第二営業部	水道光熱費	390307.0	395438.0	98.7	29.2
310A10700	第二営業部	事務用品費	57014.0	60046.0	94.9	55.6
310A10700	第二営業部	消耗品費	24237.0	26174.0	92.5	11.2
310A10700	第二営業部	廃棄物処理料	89140.0	90315.0	98.6	
310A10700	第二営業部	広告宣伝費	218728.0	268728.0	81.3	40.4
310A10700	第二営業部	接待交際費	1632893.0	1518365.0	107.5	107.1
310A10700	第二営業部	賃借料	130896.0	130896.0	100.0	2.1
310A10700	第二営業部	賃貸料収入	0.0	0.0		
310A10700	第二営業部	修繕費	0.0	0.0		0.0
310A10700	第二営業部	支払リース料	31198.0	31195.0	100.0	3.8
310A10700	第二営業部	保険料	138320.0	138320.0	100.0	37.7
310A10700	第二営業部	支払報酬	0.0	0.0		
310A10700	第二営業部	販売手数料	0.0	0.0		
310A10700	第二営業部	支払手数料	141732.0	142873.0	99.2	14.7
310A10700	第二営業部	診断料	0.0	0.0		
310A10700	第二営業部	諸会費	2818.0	2818.0	100.0	25.2
310A10700	第二営業部	会議費	4545.0	4545.0	100.0	98.0
310A10700	第二営業部	寄付金	0.0	0.0		
310A10700	第二営業部	租税公課	4800.0	5800.0	82.7	27.5
310A10700	第二営業部	業務委託費	0.0	0.0		
310A10700	第二営業部	業務受託収入	0.0	0.0		
310A10700	第二営業部	システム管理料	0.0	0.0		
310A10700	第二営業部	情報機器利用料	678600.0	678600.0	100.0	58.2
310A10700	第二営業部	貸倒金	0.0	0.0		
310A10700	第二営業部	雑費	24166.0	26174.0	92.3	8.2
310A10700	第二営業部	福利消耗品費	17509.0	0.0		
310A10700	第二営業部	教育研修費	102971.0	102335.0	100.6	
310A10700	第二営業部	廃棄損・減耗損	0.0	0.0		0.0
310A10700	第二営業部	雑給	0.0	0.0		
310A10700	第二営業部	社内金利（固定資産）	100754.0	100172.0	100.5	
310A10700	第二営業部	社内金利（売掛金）	0.0	0.0		
310A10700	第二営業部	部門共通（経費）	976249.0	977739.0	99.8	28.1
310A10700	第二営業部	グループ共通	355200.0	355200.0	100.0	41.6
310A10700	第二営業部	差引収益	50180533.0	51507583.0	97.4	85.9
310A10700	第二営業部	差引比率	16.1	16.6	96.9	103.8
310A10700	第二営業部	総時間	6374.25	6467.0	98.5	46.3
310A10700	第二営業部	定時間	5861.25	5872.0	99.8	54.9
310A10700	第二営業部	残業時間	513.5	464.0	110.6	43.5
310A10700	第二営業部	移動時間	0.0	0.0		0.0
310A10700	第二営業部	部門共通（時間）	-0.5	131.0		
310A10700	第二営業部	当月時間当り	7872.3	7964.6	98.8	185.2
310A10700	第二営業部	人員	3.0	3.0	100.0	50.0
