組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310A10300	芝草緑化課	総受注高	308172298.0	309500000.0	99.5	102.1
310A10300	芝草緑化課	総売上高	308172298.0	309500000.0	99.5	102.1
310A10300	芝草緑化課	売上高	309079738.0	309500000.0	99.8	102.4
310A10300	芝草緑化課	売上値引	-907440.0	0.0		
310A10300	芝草緑化課	売上原価	248475193.0	246500000.0	100.8	102.4
310A10300	芝草緑化課	総収益	59697105.0	63000000.0	94.7	100.7
310A10300	芝草緑化課	経費合計	12428700.0	11492417.0	108.1	112.3
310A10300	芝草緑化課	減価償却費	18320.0	18756.0	97.6	202.5
310A10300	芝草緑化課	車両費	1559674.0	1013621.0	153.8	127.4
310A10300	芝草緑化課	旅費交通費	2083397.0	1897500.0	109.7	174.9
310A10300	芝草緑化課	荷造運搬費	1940531.0	1991000.0	97.4	96.4
310A10300	芝草緑化課	通信費	258121.0	260404.0	99.1	111.1
310A10300	芝草緑化課	水道光熱費	261110.0	263625.0	99.0	209.1
310A10300	芝草緑化課	事務用品費	36717.0	39614.0	92.6	197.0
310A10300	芝草緑化課	消耗品費	14456.0	17448.0	82.8	103.2
310A10300	芝草緑化課	廃棄物処理料	57760.0	60210.0	95.9	
310A10300	芝草緑化課	広告宣伝費	218728.0	268728.0	81.3	70.8
310A10300	芝草緑化課	接待交際費	1703384.0	1484910.0	114.7	117.0
310A10300	芝草緑化課	賃借料	87264.0	87264.0	100.0	206.1
310A10300	芝草緑化課	賃貸料収入	0.0	0.0		
310A10300	芝草緑化課	修繕費	0.0	0.0		0.0
310A10300	芝草緑化課	支払リース料	20796.0	20796.0	100.0	4.4
310A10300	芝草緑化課	保険料	0.0	0.0		0.0
310A10300	芝草緑化課	支払報酬	0.0	0.0		
310A10300	芝草緑化課	販売手数料	0.0	0.0		
310A10300	芝草緑化課	支払手数料	27524.0	27848.0	98.8	100.2
310A10300	芝草緑化課	診断料	6000.0	0.0		
310A10300	芝草緑化課	諸会費	1212.0	1212.0	100.0	206.1
310A10300	芝草緑化課	会議費	0.0	0.0		
310A10300	芝草緑化課	寄付金	0.0	0.0		
310A10300	芝草緑化課	租税公課	4000.0	5800.0	68.9	68.9
310A10300	芝草緑化課	業務委託費	0.0	0.0		
310A10300	芝草緑化課	業務受託収入	0.0	0.0		
310A10300	芝草緑化課	システム管理料	0.0	0.0		
310A10300	芝草緑化課	情報機器利用料	452400.0	452400.0	100.0	227.7
310A10300	芝草緑化課	貸倒金	0.0	0.0		
310A10300	芝草緑化課	雑費	19674.0	17448.0	112.7	49.4
310A10300	芝草緑化課	福利消耗品費	18688.0	0.0		
310A10300	芝草緑化課	教育研修費	99966.0	89822.0	111.2	
310A10300	芝草緑化課	廃棄損・減耗損	0.0	0.0		
310A10300	芝草緑化課	雑給	0.0	0.0		
310A10300	芝草緑化課	社内金利（固定資産）	14134.0	14982.0	94.3	
310A10300	芝草緑化課	社内金利（売掛金）	0.0	0.0		
310A10300	芝草緑化課	部門共通（経費）	3347244.0	3281429.0	102.0	98.8
310A10300	芝草緑化課	グループ共通	177600.0	177600.0	100.0	125.4
310A10300	芝草緑化課	差引収益	47268405.0	51507583.0	91.7	98.1
310A10300	芝草緑化課	差引比率	15.3	16.6	92.1	96.2
310A10300	芝草緑化課	総時間	6410.75	6467.0	99.1	141.2
310A10300	芝草緑化課	定時間	3903.5	3888.0	100.3	198.3
310A10300	芝草緑化課	残業時間	476.75	380.0	125.4	94.5
310A10300	芝草緑化課	移動時間	0.0	0.0		
310A10300	芝草緑化課	部門共通（時間）	2030.5	2199.0	92.3	98.3
310A10300	芝草緑化課	当月時間当り	7373.3	7964.6	92.5	69.4
310A10300	芝草緑化課	人員	2.0	2.0	100.0	200.0
