組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310A60100	購買物流部	総受注高	0.0	0.0		
310A60100	購買物流部	総売上高	0.0	0.0		
310A60100	購買物流部	売上高	0.0	0.0		
310A60100	購買物流部	売上値引	0.0	0.0		
310A60100	購買物流部	売上原価	0.0	0.0		
310A60100	購買物流部	総収益	0.0	0.0		
310A60100	購買物流部	経費合計	0.0	0.0		
310A60100	購買物流部	減価償却費	5564969.0	5566861.0	99.9	101.3
310A60100	購買物流部	車両費	4056928.0	4124873.0	98.3	206.5
310A60100	購買物流部	旅費交通費	80500.0	88000.0	91.4	106.3
310A60100	購買物流部	荷造運搬費	148826.0	150930.0	98.6	97.4
310A60100	購買物流部	通信費	596038.0	602077.0	98.9	111.6
310A60100	購買物流部	水道光熱費	1541974.0	1579680.0	97.6	91.0
310A60100	購買物流部	事務用品費	274769.0	361763.0	75.9	73.2
310A60100	購買物流部	消耗品費	138350.0	166340.0	83.1	44.3
310A60100	購買物流部	廃棄物処理料	386045.0	390943.0	98.7	
310A60100	購買物流部	広告宣伝費	0.0	0.0		0.0
310A60100	購買物流部	接待交際費	112343.0	139047.0	80.7	87.8
310A60100	購買物流部	賃借料	8056550.0	8056548.0	100.0	87.8
310A60100	購買物流部	賃貸料収入	-20000.0	0.0		
310A60100	購買物流部	修繕費	31877.0	0.0		4.6
310A60100	購買物流部	支払リース料	92556.0	93588.0	98.8	5.8
310A60100	購買物流部	保険料	1058245.0	1058900.0	99.9	69.3
310A60100	購買物流部	支払報酬	0.0	0.0		
310A60100	購買物流部	販売手数料	0.0	0.0		
310A60100	購買物流部	支払手数料	429920.0	412931.0	104.1	59.5
310A60100	購買物流部	診断料	0.0	0.0		
310A60100	購買物流部	諸会費	120030.0	148454.0	80.8	91.0
310A60100	購買物流部	会議費	0.0	0.0		
310A60100	購買物流部	寄付金	0.0	0.0		
310A60100	購買物流部	租税公課	9800.0	9800.0	100.0	64.9
310A60100	購買物流部	業務委託費	0.0	0.0		
310A60100	購買物流部	業務受託収入	0.0	0.0		
310A60100	購買物流部	システム管理料	0.0	0.0		
310A60100	購買物流部	情報機器利用料	2128100.0	2035800.0	104.5	113.7
310A60100	購買物流部	貸倒金	0.0	0.0		
310A60100	購買物流部	雑費	568540.0	563540.0	100.8	40.6
310A60100	購買物流部	福利消耗品費	6184.0	0.0		
310A60100	購買物流部	教育研修費	56716.0	66617.0	85.1	
310A60100	購買物流部	廃棄損・減耗損	0.0	0.0		
310A60100	購買物流部	雑給	0.0	0.0		
310A60100	購買物流部	社内金利（固定資産）	2408290.0	2410961.0	99.8	
310A60100	購買物流部	社内金利（売掛金）	0.0	0.0		
310A60100	購買物流部	部門共通（経費）	-29445950.0	-29626053.0		
310A60100	購買物流部	グループ共通	1598400.0	1598400.0	100.0	112.4
310A60100	購買物流部	差引収益	0.0	0.0		
310A60100	購買物流部	差引比率	0.0	0.0		
310A60100	購買物流部	総時間	0.0	0.0		
310A60100	購買物流部	定時間	16043.5	17937.0	89.4	90.7
310A60100	購買物流部	残業時間	679.25	676.0	100.4	96.3
310A60100	購買物流部	移動時間	0.0	0.0		
310A60100	購買物流部	部門共通（時間）	-16722.75	-18613.0		
310A60100	購買物流部	当月時間当り	0.0	0.0		
310A60100	購買物流部	人員	9.0	10.0	90.0	90.0
