組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
310A60200	購買課	総受注高	0.0	0.0		
310A60200	購買課	総売上高	0.0	0.0		
310A60200	購買課	売上高	0.0	0.0		
310A60200	購買課	売上値引	0.0	0.0		
310A60200	購買課	売上原価	0.0	0.0		
310A60200	購買課	総収益	0.0	0.0		
310A60200	購買課	経費合計	0.0	0.0		
310A60200	購買課	減価償却費	35900.0	37500.0	95.7	99.2
310A60200	購買課	車両費	401161.0	409801.0	97.8	209.7
310A60200	購買課	旅費交通費	71792.0	88000.0	81.5	94.8
310A60200	購買課	荷造運搬費	147862.0	150930.0	97.9	98.7
310A60200	購買課	通信費	285862.0	298333.0	95.8	119.3
310A60200	購買課	水道光熱費	510760.0	527254.0	96.8	102.2
310A60200	購買課	事務用品費	68331.0	80228.0	85.1	84.7
310A60200	購買課	消耗品費	28226.0	34908.0	80.8	48.0
310A60200	購買課	廃棄物処理料	113108.0	120419.0	93.9	
310A60200	購買課	広告宣伝費	0.0	0.0		0.0
310A60200	購買課	接待交際費	116224.0	106320.0	109.3	122.0
310A60200	購買課	賃借料	811728.0	811728.0	100.0	100.6
310A60200	購買課	賃貸料収入	-39091.0	0.0		
310A60200	購買課	修繕費	13877.0	0.0		79.7
310A60200	購買課	支払リース料	40768.0	41592.0	98.0	19.1
310A60200	購買課	保険料	166595.0	282000.0	59.0	49.4
310A60200	購買課	支払報酬	0.0	0.0		
310A60200	購買課	販売手数料	0.0	0.0		
310A60200	購買課	支払手数料	50806.0	55303.0	91.8	38.2
310A60200	購買課	診断料	0.0	0.0		
310A60200	購買課	諸会費	151776.0	145424.0	104.3	118.2
310A60200	購買課	会議費	0.0	0.0		
310A60200	購買課	寄付金	0.0	0.0		
310A60200	購買課	租税公課	5600.0	9800.0	57.1	60.8
310A60200	購買課	業務委託費	0.0	0.0		
310A60200	購買課	業務受託収入	0.0	0.0		
310A60200	購買課	システム管理料	0.0	0.0		
310A60200	購買課	情報機器利用料	978250.0	904800.0	108.1	123.1
310A60200	購買課	貸倒金	0.0	0.0		
310A60200	購買課	雑費	621541.0	519908.0	119.5	57.3
310A60200	購買課	福利消耗品費	17642.0	0.0		
310A60200	購買課	教育研修費	106386.0	44053.0	241.4	
310A60200	購買課	廃棄損・減耗損	0.0	0.0		
310A60200	購買課	雑給	0.0	0.0		
310A60200	購買課	社内金利（固定資産）	27688.0	29963.0	92.4	
310A60200	購買課	社内金利（売掛金）	0.0	0.0		
310A60200	購買課	部門共通（経費）	-5443192.0	-5408664.0		
310A60200	購買課	グループ共通	710400.0	710400.0	100.0	124.8
310A60200	購買課	差引収益	0.0	0.0		
310A60200	購買課	差引比率	0.0	0.0		
310A60200	購買課	総時間	0.0	0.0		
310A60200	購買課	定時間	5908.25	7724.0	76.4	81.0
310A60200	購買課	残業時間	476.5	520.0	91.6	95.4
310A60200	購買課	移動時間	0.0	0.0		
310A60200	購買課	部門共通（時間）	-6384.75	-8244.0		
310A60200	購買課	当月時間当り	0.0	0.0		
310A60200	購買課	人員	3.0	4.0	75.0	75.0
