組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
010000000	イノチオ物流㈱	総受注高	164704722.0	180000000.0	91.5	106.6
010000000	イノチオ物流㈱	総売上高	164704722.0	180000000.0	91.5	106.6
010000000	イノチオ物流㈱	売上高	82522133.0	84600000.0	97.5	107.1
010000000	イノチオ物流㈱	グループ売上高	82182589.0	95400000.0	86.1	106.1
010000000	イノチオ物流㈱	経費合計	94484637.0	100898000.0	93.6	105.9
010000000	イノチオ物流㈱	経費合計（原価）	81213650.0	87671000.0	92.6	107.2
010000000	イノチオ物流㈱	傭車費*	32853734.0	37400000.0	87.8	150.7
010000000	イノチオ物流㈱	外注費*	0.0	0.0		
010000000	イノチオ物流㈱	減価償却費*	14848955.0	14851000.0	99.9	92.3
010000000	イノチオ物流㈱	車両費*	10030855.0	10500000.0	95.5	80.1
010000000	イノチオ物流㈱	燃料費*	16738689.0	17590000.0	95.1	96.6
010000000	イノチオ物流㈱	道路使用料*	4463751.0	5000000.0	89.2	75.9
010000000	イノチオ物流㈱	交通反則金*	0.0	0.0		
010000000	イノチオ物流㈱	旅費交通費*	1186890.0	1440000.0	82.4	89.0
010000000	イノチオ物流㈱	消耗品費*	0.0	0.0		0.0
010000000	イノチオ物流㈱	広告宣伝費*	255000.0	0.0		
010000000	イノチオ物流㈱	保険料*	463424.0	460000.0	100.7	103.3
010000000	イノチオ物流㈱	福利消耗品費*	197352.0	250000.0	78.9	89.8
010000000	イノチオ物流㈱	教育研修費*	175000.0	180000.0	97.2	104.1
010000000	イノチオ物流㈱	経費合計（販管費）	13270987.0	13227000.0	100.3	98.7
010000000	イノチオ物流㈱	減価償却費	364950.0	367000.0	99.4	81.5
010000000	イノチオ物流㈱	車両費	273092.0	276000.0	98.9	102.0
010000000	イノチオ物流㈱	旅費交通費	0.0	0.0		
010000000	イノチオ物流㈱	荷造運搬費	0.0	0.0		
010000000	イノチオ物流㈱	通信費	1068655.0	1080000.0	98.9	101.9
010000000	イノチオ物流㈱	水道光熱費	381664.0	400000.0	95.4	96.1
010000000	イノチオ物流㈱	事務用品費	98516.0	100000.0	98.5	100.5
010000000	イノチオ物流㈱	消耗品費	36387.0	36000.0	101.0	155.2
010000000	イノチオ物流㈱	廃棄物処理料	104000.0	120000.0	86.6	76.4
010000000	イノチオ物流㈱	広告宣伝費	36100.0	0.0		
010000000	イノチオ物流㈱	接待交際費	45000.0	60000.0	75.0	150.0
010000000	イノチオ物流㈱	賃借料	5121500.0	5124000.0	99.9	100.0
010000000	イノチオ物流㈱	賃貸料収入	0.0	0.0		
010000000	イノチオ物流㈱	修繕費	0.0	0.0		
010000000	イノチオ物流㈱	支払リース料	272149.0	270000.0	100.7	95.1
010000000	イノチオ物流㈱	保険料	272950.0	270000.0	101.0	99.8
010000000	イノチオ物流㈱	支払報酬	866254.0	870000.0	99.5	89.7
010000000	イノチオ物流㈱	支払手数料	999450.0	1080000.0	92.5	97.2
010000000	イノチオ物流㈱	諸会費	263554.0	270000.0	97.6	106.3
010000000	イノチオ物流㈱	会議費	0.0	0.0		
010000000	イノチオ物流㈱	寄付金	0.0	0.0		0.0
010000000	イノチオ物流㈱	租税公課	146066.0	0.0		
010000000	イノチオ物流㈱	業務委託費	0.0	0.0		
010000000	イノチオ物流㈱	業務受託収入	0.0	0.0		
010000000	イノチオ物流㈱	情報機器利用料	780700.0	780000.0	100.0	103.6
010000000	イノチオ物流㈱	貸倒金	0.0	0.0		
010000000	イノチオ物流㈱	雑費	0.0	0.0		0.0
010000000	イノチオ物流㈱	福利消耗品費	0.0	0.0		0.0
010000000	イノチオ物流㈱	教育研修費	16000.0	0.0		
010000000	イノチオ物流㈱	社内金利（固定資産）	0.0	0.0		
010000000	イノチオ物流㈱	社内金利（売掛金）	0.0	0.0		
010000000	イノチオ物流㈱	グループ共通	2124000.0	2124000.0	100.0	99.4
010000000	イノチオ物流㈱	差引収益	70220085.0	79102000.0	88.7	107.6
010000000	イノチオ物流㈱	差引比率	42.6	43.9	97.0	100.9
010000000	イノチオ物流㈱	総時間	26953.0	27665.75	97.4	98.0
010000000	イノチオ物流㈱	定時間	24553.75	25000.0	98.2	98.5
010000000	イノチオ物流㈱	残業時間	2343.75	2610.0	89.7	93.5
010000000	イノチオ物流㈱	移動時間	55.5	55.75	99.5	81.3
010000000	イノチオ物流㈱	当月時間当り	2605.2	2859.2	91.1	109.7
010000000	イノチオ物流㈱	人員	15.0	15.0	100.0	100.0
