組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
004000000	イノチオ精興園㈱	総受注高	1443524423.0	1566090000.0	92.1	97.0
004000000	イノチオ精興園㈱	許諾料	53450000.0	55000000.0	97.1	95.5
004000000	イノチオ精興園㈱	穂木	714066225.0	830000000.0	86.0	93.4
004000000	イノチオ精興園㈱	ﾛｲﾔﾙﾃｨ	488845048.0	487000000.0	100.3	100.7
004000000	イノチオ精興園㈱	バラ	60310644.0	62000000.0	97.2	105.2
004000000	イノチオ精興園㈱	通信販売	17492069.0	17860000.0	97.9	103.2
004000000	イノチオ精興園㈱	セット苗	52425938.0	54230000.0	96.6	97.5
004000000	イノチオ精興園㈱	その他	56934499.0	60000000.0	94.8	104.9
004000000	イノチオ精興園㈱	総売上高	1519611554.0	1533000000.0	99.1	100.2
004000000	イノチオ精興園㈱	許諾料	55179946.0	55000000.0	100.3	88.9
004000000	イノチオ精興園㈱	穂木	785989554.0	800000000.0	98.2	99.9
004000000	イノチオ精興園㈱	ﾛｲﾔﾙﾃｨ	488967059.0	487000000.0	100.4	100.6
004000000	イノチオ精興園㈱	バラ	60310644.0	62000000.0	97.2	105.2
004000000	イノチオ精興園㈱	通信販売	17019603.0	16000000.0	106.3	109.1
004000000	イノチオ精興園㈱	セット苗	51993869.0	53000000.0	98.1	97.7
004000000	イノチオ精興園㈱	その他	60150879.0	60000000.0	100.2	108.6
004000000	イノチオ精興園㈱	社外売上	1519611554.0	1533000000.0	99.1	100.2
004000000	イノチオ精興園㈱	売上原価	705080619.0	694231035.0	101.5	99.7
004000000	イノチオ精興園㈱	穂木・苗仕入高	595505974.0	592534317.0	100.5	99.5
004000000	イノチオ精興園㈱	送料	92973312.0	87164718.0	106.6	99.5
004000000	イノチオ精興園㈱	その他	16601333.0	14532000.0	114.2	111.0
004000000	イノチオ精興園㈱	総生産	0.0	0.0		
004000000	イノチオ精興園㈱	社内売	14804158.0	12550090.0	117.9	5.3
004000000	イノチオ精興園㈱	社内仕入	14804158.0	12550090.0	117.9	5.3
004000000	イノチオ精興園㈱	営業口銭	0.0	0.0		
004000000	イノチオ精興園㈱	総収益	814530935.0	838768965.0	97.1	100.6
004000000	イノチオ精興園㈱	経費合計	420333208.0	433447874.0	96.9	98.2
004000000	イノチオ精興園㈱	種苗費	718979.0	1098000.0	65.4	77.1
004000000	イノチオ精興園㈱	肥料費	2751426.0	2869350.0	95.8	106.9
004000000	イノチオ精興園㈱	培土費用	4696301.0	5226240.0	89.8	99.9
004000000	イノチオ精興園㈱	農薬衛生費	8264196.0	9047987.0	91.3	101.0
004000000	イノチオ精興園㈱	農具費	858509.0	1027000.0	83.5	75.8
004000000	イノチオ精興園㈱	諸材料費	20235724.0	21847410.0	92.6	98.0
004000000	イノチオ精興園㈱	その他仕入高	0.0	0.0		
004000000	イノチオ精興園㈱	減価償却費	51768694.0	51739049.0	100.0	99.4
004000000	イノチオ精興園㈱	車両費	18487772.0	18982987.0	97.3	104.3
004000000	イノチオ精興園㈱	旅費交通費	27661081.0	29478334.0	93.8	94.6
004000000	イノチオ精興園㈱	荷造運搬費	46910049.0	49803414.0	94.1	102.4
004000000	イノチオ精興園㈱	通信費	5718447.0	6451319.0	88.6	83.1
004000000	イノチオ精興園㈱	水道光熱費	12197220.0	13100932.0	93.1	94.4
