組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
004090100	イノチオ精興園本社	総受注高	0.0	0.0		
004090100	イノチオ精興園本社	許諾料	0.0	0.0		
004090100	イノチオ精興園本社	穂木	0.0	0.0		
004090100	イノチオ精興園本社	ﾛｲﾔﾙﾃｨ	0.0	0.0		
004090100	イノチオ精興園本社	バラ	0.0	0.0		
004090100	イノチオ精興園本社	通信販売	0.0	0.0		
004090100	イノチオ精興園本社	セット苗	0.0	0.0		
004090100	イノチオ精興園本社	その他	0.0	0.0		
004090100	イノチオ精興園本社	総売上高	0.0	0.0		
004090100	イノチオ精興園本社	許諾料	0.0	0.0		
004090100	イノチオ精興園本社	穂木	0.0	0.0		
004090100	イノチオ精興園本社	ﾛｲﾔﾙﾃｨ	0.0	0.0		
004090100	イノチオ精興園本社	バラ	0.0	0.0		
004090100	イノチオ精興園本社	通信販売	0.0	0.0		
004090100	イノチオ精興園本社	セット苗	0.0	0.0		
004090100	イノチオ精興園本社	その他	0.0	0.0		
004090100	イノチオ精興園本社	社外売上	0.0	0.0		
004090100	イノチオ精興園本社	売上原価	0.0	0.0		
004090100	イノチオ精興園本社	穂木・苗仕入高	0.0	0.0		
004090100	イノチオ精興園本社	送料	0.0	0.0		
004090100	イノチオ精興園本社	その他	0.0	0.0		
004090100	イノチオ精興園本社	総生産	0.0	0.0		
004090100	イノチオ精興園本社	社内売	0.0	0.0		
004090100	イノチオ精興園本社	社内仕入	0.0	0.0		
004090100	イノチオ精興園本社	営業口銭	0.0	0.0		
004090100	イノチオ精興園本社	総収益	0.0	0.0		
004090100	イノチオ精興園本社	経費合計	1630222.0	6520896.0	24.9	18.3
004090100	イノチオ精興園本社	種苗費	0.0	0.0		
004090100	イノチオ精興園本社	肥料費	0.0	0.0		
004090100	イノチオ精興園本社	培土費用	0.0	0.0		
004090100	イノチオ精興園本社	農薬衛生費	0.0	0.0		
004090100	イノチオ精興園本社	農具費	0.0	0.0		
004090100	イノチオ精興園本社	諸材料費	0.0	0.0		
004090100	イノチオ精興園本社	その他仕入高	0.0	0.0		
004090100	イノチオ精興園本社	減価償却費	1630222.0	6520896.0	24.9	18.7
004090100	イノチオ精興園本社	車両費	0.0	0.0		
004090100	イノチオ精興園本社	旅費交通費	0.0	0.0		0.0
004090100	イノチオ精興園本社	荷造運搬費	0.0	0.0		
004090100	イノチオ精興園本社	通信費	0.0	0.0		0.0
004090100	イノチオ精興園本社	水道光熱費	0.0	0.0		
004090100	イノチオ精興園本社	動力費	0.0	0.0		
004090100	イノチオ精興園本社	燃料費	0.0	0.0		
004090100	イノチオ精興園本社	事務用品費	0.0	0.0		
004090100	イノチオ精興園本社	消耗品費	0.0	0.0		
004090100	イノチオ精興園本社	廃棄物処理料	0.0	0.0		
004090100	イノチオ精興園本社	広告宣伝費	0.0	0.0		
004090100	イノチオ精興園本社	接待交際費	0.0	0.0		
004090100	イノチオ精興園本社	研究開発費	0.0	0.0		
004090100	イノチオ精興園本社	クレーム費	0.0	0.0		
004090100	イノチオ精興園本社	賃借料	0.0	0.0		
004090100	イノチオ精興園本社	賃貸料収入	0.0	0.0		
004090100	イノチオ精興園本社	修繕費	0.0	0.0		
004090100	イノチオ精興園本社	支払リース料	0.0	0.0		
004090100	イノチオ精興園本社	保険料	0.0	0.0		
004090100	イノチオ精興園本社	支払報酬	0.0	0.0		
004090100	イノチオ精興園本社	販売手数料	0.0	0.0		
004090100	イノチオ精興園本社	支払手数料	0.0	0.0		
004090100	イノチオ精興園本社	診断料	0.0	0.0		
004090100	イノチオ精興園本社	諸会費	0.0	0.0		
004090100	イノチオ精興園本社	会議費	0.0	0.0		
004090100	イノチオ精興園本社	寄付金	0.0	0.0		
004090100	イノチオ精興園本社	租税公課	0.0	0.0		
004090100	イノチオ精興園本社	業務委託費	0.0	0.0		
004090100	イノチオ精興園本社	業務受託収入	0.0	0.0		
004090100	イノチオ精興園本社	システム管理料	0.0	0.0		
004090100	イノチオ精興園本社	情報機器利用料	0.0	0.0		0.0
004090100	イノチオ精興園本社	貸倒金	0.0	0.0		
004090100	イノチオ精興園本社	雑費	0.0	0.0		0.0
004090100	イノチオ精興園本社	福利消耗品費	0.0	0.0		0.0
004090100	イノチオ精興園本社	教育研修費	0.0	0.0		
004090100	イノチオ精興園本社	雑給	0.0	0.0		
004090100	イノチオ精興園本社	社内金利（固定資産）	0.0	0.0		
004090100	イノチオ精興園本社	社内金利（売掛金）	0.0	0.0		
004090100	イノチオ精興園本社	部門共通（経費）	0.0	0.0		
004090100	イノチオ精興園本社	全社共通（経費）	0.0	0.0		
004090100	イノチオ精興園本社	グループ共通	0.0	0.0		
004090100	イノチオ精興園本社	差引収益	-1630222.0	-6520896.0		
004090100	イノチオ精興園本社	差引比率	0.0	0.0		
004090100	イノチオ精興園本社	総時間	0.0	0.0		
004090100	イノチオ精興園本社	定時間	0.0	0.0		
004090100	イノチオ精興園本社	残業時間	0.0	0.0		
004090100	イノチオ精興園本社	移動時間	0.0	0.0		
004090100	イノチオ精興園本社	部門共通（時間）	0.0	0.0		
004090100	イノチオ精興園本社	全社共通（時間）	0.0	0.0		
004090100	イノチオ精興園本社	当月時間当り	0.0	0.0		
004090100	イノチオ精興園本社	人員	0.0	0.0		
