組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230E10100	バラ課	総受注高	60288955.0	62000000.0	97.2	105.3
230E10100	バラ課	許諾料	0.0	0.0		
230E10100	バラ課	穂木	0.0	0.0		
230E10100	バラ課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
230E10100	バラ課	バラ	60288955.0	62000000.0	97.2	105.3
230E10100	バラ課	通信販売	0.0	0.0		
230E10100	バラ課	セット苗	0.0	0.0		
230E10100	バラ課	その他	0.0	0.0		0.0
230E10100	バラ課	総売上高	60288955.0	62000000.0	97.2	105.3
230E10100	バラ課	許諾料	0.0	0.0		
230E10100	バラ課	穂木	0.0	0.0		
230E10100	バラ課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
230E10100	バラ課	バラ	60288955.0	62000000.0	97.2	105.3
230E10100	バラ課	通信販売	0.0	0.0		
230E10100	バラ課	セット苗	0.0	0.0		
230E10100	バラ課	その他	0.0	0.0		0.0
230E10100	バラ課	社外売上	60288955.0	62000000.0	97.2	105.2
230E10100	バラ課	売上原価	29835604.0	30443000.0	98.0	103.3
230E10100	バラ課	穂木・苗仕入高	28460454.0	30443000.0	93.4	103.7
230E10100	バラ課	送料	0.0	0.0		
230E10100	バラ課	その他	1375150.0	0.0		95.6
230E10100	バラ課	総生産	0.0	0.0		
230E10100	バラ課	社内売	0.0	0.0		
230E10100	バラ課	社内仕入	0.0	0.0		0.0
230E10100	バラ課	営業口銭	0.0	0.0		
230E10100	バラ課	総収益	30453351.0	31557000.0	96.5	107.1
230E10100	バラ課	経費合計	26640055.0	29101892.0	91.5	94.5
230E10100	バラ課	種苗費	116000.0	316000.0	36.7	44.9
230E10100	バラ課	肥料費	277400.0	339000.0	81.8	96.7
230E10100	バラ課	培土費用	273836.0	289000.0	94.7	188.2
230E10100	バラ課	農薬衛生費	371696.0	369000.0	100.7	111.7
230E10100	バラ課	農具費	27298.0	28000.0	97.4	31.5
230E10100	バラ課	諸材料費	133655.0	120500.0	110.9	103.7
230E10100	バラ課	その他仕入高	0.0	0.0		
230E10100	バラ課	減価償却費	2016485.0	2016485.0	100.0	97.5
230E10100	バラ課	車両費	655978.0	653520.0	100.3	96.6
230E10100	バラ課	旅費交通費	3188308.0	3400000.0	93.7	83.5
230E10100	バラ課	荷造運搬費	1186278.0	1206000.0	98.3	131.8
230E10100	バラ課	通信費	273860.0	296613.0	92.3	64.8
230E10100	バラ課	水道光熱費	738220.0	811134.0	91.0	89.9
230E10100	バラ課	動力費	0.0	0.0		
230E10100	バラ課	燃料費	995637.0	1100000.0	90.5	110.2
230E10100	バラ課	事務用品費	55999.0	75284.0	74.3	112.4
230E10100	バラ課	消耗品費	117178.0	182579.0	64.1	107.7
230E10100	バラ課	廃棄物処理料	304865.0	239988.0	127.0	116.6
230E10100	バラ課	広告宣伝費	1418827.0	1366000.0	103.8	110.5
230E10100	バラ課	接待交際費	322730.0	310000.0	104.1	92.7
230E10100	バラ課	研究開発費	0.0	0.0		
230E10100	バラ課	クレーム費	0.0	0.0		
230E10100	バラ課	賃借料	1086400.0	1086400.0	100.0	95.1
230E10100	バラ課	賃貸料収入	-120000.0	-120000.0		
230E10100	バラ課	修繕費	203027.0	267000.0	76.0	
230E10100	バラ課	支払リース料	36816.0	36816.0	100.0	88.9
230E10100	バラ課	保険料	8472.0	8472.0	100.0	34.9
230E10100	バラ課	支払報酬	0.0	0.0		
230E10100	バラ課	販売手数料	7391446.0	9313366.0	79.3	79.6
230E10100	バラ課	支払手数料	1209107.0	1146144.0	105.4	359.1
230E10100	バラ課	診断料	0.0	0.0		
230E10100	バラ課	諸会費	84791.0	100000.0	84.7	91.8
230E10100	バラ課	会議費	0.0	0.0		0.0
230E10100	バラ課	寄付金	0.0	0.0		
230E10100	バラ課	租税公課	0.0	0.0		0.0
230E10100	バラ課	業務委託費	0.0	0.0		
230E10100	バラ課	業務受託収入	0.0	0.0		
230E10100	バラ課	システム管理料	0.0	0.0		
230E10100	バラ課	情報機器利用料	844056.0	813666.0	103.7	103.7
230E10100	バラ課	貸倒金	0.0	0.0		
230E10100	バラ課	雑費	38715.0	12000.0	322.6	231.8
230E10100	バラ課	福利消耗品費	23240.0	13320.0	174.4	96.7
230E10100	バラ課	教育研修費	44645.0	0.0		
230E10100	バラ課	雑給	0.0	0.0		
230E10100	バラ課	社内金利（固定資産）	495493.0	495493.0	100.0	82.4
230E10100	バラ課	社内金利（売掛金）	0.0	0.0		
230E10100	バラ課	部門共通（経費）	0.0	0.0		
230E10100	バラ課	全社共通（経費）	2058797.0	2049312.0	100.4	93.9
230E10100	バラ課	グループ共通	760800.0	760800.0	100.0	95.6
230E10100	バラ課	差引収益	3813296.0	2455108.0	155.3	
230E10100	バラ課	差引比率	6.3	3.9	161.5	
230E10100	バラ課	総時間	8734.5	8781.25	99.4	99.8
230E10100	バラ課	定時間	7664.0	7712.0	99.3	100.7
230E10100	バラ課	残業時間	205.75	213.0	96.5	91.6
230E10100	バラ課	移動時間	437.25	413.0	105.8	84.7
230E10100	バラ課	部門共通（時間）	0.0	0.0		
230E10100	バラ課	全社共通（時間）	427.5	443.25	96.4	105.8
230E10100	バラ課	当月時間当り	436.5	279.5	156.1	
230E10100	バラ課	人員	4.0	4.0	100.0	100.0
