組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340B50200	ブリーディングチーム	総受注高	0.0	0.0		
340B50200	ブリーディングチーム	許諾料	0.0	0.0		
340B50200	ブリーディングチーム	穂木	0.0	0.0		
340B50200	ブリーディングチーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50200	ブリーディングチーム	バラ	0.0	0.0		
340B50200	ブリーディングチーム	通信販売	0.0	0.0		
340B50200	ブリーディングチーム	セット苗	0.0	0.0		
340B50200	ブリーディングチーム	その他	0.0	0.0		
340B50200	ブリーディングチーム	総売上高	0.0	0.0		
340B50200	ブリーディングチーム	許諾料	0.0	0.0		
340B50200	ブリーディングチーム	穂木	0.0	0.0		
340B50200	ブリーディングチーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50200	ブリーディングチーム	バラ	0.0	0.0		
340B50200	ブリーディングチーム	通信販売	0.0	0.0		
340B50200	ブリーディングチーム	セット苗	0.0	0.0		
340B50200	ブリーディングチーム	その他	0.0	0.0		
340B50200	ブリーディングチーム	社外売上	54951211.0	54787164.0	100.2	54.5
340B50200	ブリーディングチーム	売上原価	0.0	0.0		0.0
340B50200	ブリーディングチーム	穂木・苗仕入高	0.0	0.0		
340B50200	ブリーディングチーム	送料	0.0	0.0		0.0
340B50200	ブリーディングチーム	その他	0.0	0.0		
340B50200	ブリーディングチーム	総生産	0.0	0.0		
340B50200	ブリーディングチーム	社内売	0.0	0.0		0.0
340B50200	ブリーディングチーム	社内仕入	0.0	0.0		0.0
340B50200	ブリーディングチーム	営業口銭	-19231933.0	-19175508.0		
340B50200	ブリーディングチーム	総収益	35719278.0	35611656.0	100.3	92.1
340B50200	ブリーディングチーム	経費合計	16667528.0	17447891.0	95.5	124.8
340B50200	ブリーディングチーム	種苗費	70000.0	150000.0	46.6	175.4
340B50200	ブリーディングチーム	肥料費	0.0	0.0		
340B50200	ブリーディングチーム	培土費用	0.0	0.0		0.0
340B50200	ブリーディングチーム	農薬衛生費	0.0	0.0		
340B50200	ブリーディングチーム	農具費	0.0	0.0		0.0
340B50200	ブリーディングチーム	諸材料費	0.0	0.0		0.0
340B50200	ブリーディングチーム	その他仕入高	0.0	0.0		
340B50200	ブリーディングチーム	減価償却費	93644.0	93644.0	100.0	183.7
340B50200	ブリーディングチーム	車両費	986778.0	1058900.0	93.1	117.8
340B50200	ブリーディングチーム	旅費交通費	3417954.0	4000000.0	85.4	97.4
340B50200	ブリーディングチーム	荷造運搬費	204111.0	300000.0	68.0	147.5
340B50200	ブリーディングチーム	通信費	154417.0	162228.0	95.1	137.2
340B50200	ブリーディングチーム	水道光熱費	333673.0	343410.0	97.1	365.7
340B50200	ブリーディングチーム	動力費	0.0	0.0		0.0
340B50200	ブリーディングチーム	燃料費	0.0	0.0		0.0
340B50200	ブリーディングチーム	事務用品費	99527.0	112440.0	88.5	324.3
340B50200	ブリーディングチーム	消耗品費	128284.0	126256.0	101.6	177.6
340B50200	ブリーディングチーム	廃棄物処理料	118815.0	117586.0	101.0	460.4
340B50200	ブリーディングチーム	広告宣伝費	0.0	0.0		
340B50200	ブリーディングチーム	接待交際費	52833.0	0.0		108.4
340B50200	ブリーディングチーム	研究開発費	454546.0	454546.0	100.0	100.0
340B50200	ブリーディングチーム	クレーム費	0.0	0.0		
340B50200	ブリーディングチーム	賃借料	1097577.0	1161304.0	94.5	658.3
340B50200	ブリーディングチーム	賃貸料収入	-120000.0	-120000.0		
340B50200	ブリーディングチーム	修繕費	0.0	0.0		0.0
340B50200	ブリーディングチーム	支払リース料	9192.0	9192.0	100.0	
340B50200	ブリーディングチーム	保険料	33420.0	51403.0	65.0	182.9
340B50200	ブリーディングチーム	支払報酬	0.0	0.0		
340B50200	ブリーディングチーム	販売手数料	0.0	0.0		
340B50200	ブリーディングチーム	支払手数料	40325.0	39359.0	102.4	240.8
340B50200	ブリーディングチーム	診断料	0.0	0.0		0.0
340B50200	ブリーディングチーム	諸会費	33082.0	27000.0	122.5	116.0
340B50200	ブリーディングチーム	会議費	0.0	0.0		0.0
340B50200	ブリーディングチーム	寄付金	0.0	0.0		
340B50200	ブリーディングチーム	租税公課	0.0	0.0		0.0
340B50200	ブリーディングチーム	業務委託費	3250000.0	3250000.0	100.0	122.8
340B50200	ブリーディングチーム	業務受託収入	0.0	0.0		
340B50200	ブリーディングチーム	システム管理料	0.0	0.0		
340B50200	ブリーディングチーム	情報機器利用料	1064200.0	981600.0	108.4	137.8
340B50200	ブリーディングチーム	貸倒金	0.0	0.0		
340B50200	ブリーディングチーム	雑費	31279.0	33197.0	94.2	156.5
340B50200	ブリーディングチーム	福利消耗品費	17037.0	46400.0	36.7	19.6
340B50200	ブリーディングチーム	教育研修費	10945.0	20000.0	54.7	131.0
340B50200	ブリーディングチーム	雑給	0.0	0.0		
340B50200	ブリーディングチーム	社内金利（固定資産）	44409.0	44409.0	100.0	263.7
340B50200	ブリーディングチーム	社内金利（売掛金）	0.0	0.0		
340B50200	ブリーディングチーム	部門共通（経費）	975277.0	960646.0	101.5	63.4
340B50200	ブリーディングチーム	全社共通（経費）	3115803.0	3073971.0	101.3	189.4
340B50200	ブリーディングチーム	グループ共通	950400.0	950400.0	100.0	159.0
340B50200	ブリーディングチーム	差引収益	19051750.0	18163765.0	104.8	74.9
340B50200	ブリーディングチーム	差引比率	0.0	0.0		
