組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340B50610	交配チーム	総受注高	0.0	0.0		
340B50610	交配チーム	許諾料	0.0	0.0		
340B50610	交配チーム	穂木	0.0	0.0		
340B50610	交配チーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50610	交配チーム	バラ	0.0	0.0		
340B50610	交配チーム	通信販売	0.0	0.0		
340B50610	交配チーム	セット苗	0.0	0.0		
340B50610	交配チーム	その他	0.0	0.0		
340B50610	交配チーム	総売上高	0.0	0.0		
340B50610	交配チーム	許諾料	0.0	0.0		
340B50610	交配チーム	穂木	0.0	0.0		
340B50610	交配チーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50610	交配チーム	バラ	0.0	0.0		
340B50610	交配チーム	通信販売	0.0	0.0		
340B50610	交配チーム	セット苗	0.0	0.0		
340B50610	交配チーム	その他	0.0	0.0		
340B50610	交配チーム	社外売上	165272669.0	164466765.0	100.4	72.6
340B50610	交配チーム	売上原価	0.0	0.0		
340B50610	交配チーム	穂木・苗仕入高	0.0	0.0		
340B50610	交配チーム	送料	0.0	0.0		
340B50610	交配チーム	その他	0.0	0.0		
340B50610	交配チーム	総生産	0.0	0.0		
340B50610	交配チーム	社内売	0.0	0.0		0.0
340B50610	交配チーム	社内仕入	0.0	0.0		0.0
340B50610	交配チーム	営業口銭	-57843147.0	-57563367.0		
340B50610	交配チーム	総収益	107429522.0	106903398.0	100.4	90.9
340B50610	交配チーム	経費合計	51755881.0	52639489.0	98.3	94.6
340B50610	交配チーム	種苗費	7400.0	8000.0	92.5	
340B50610	交配チーム	肥料費	0.0	0.0		0.0
340B50610	交配チーム	培土費用	0.0	0.0		
340B50610	交配チーム	農薬衛生費	976551.0	1139994.0	85.6	120.4
340B50610	交配チーム	農具費	49976.0	73000.0	68.4	72.7
340B50610	交配チーム	諸材料費	611800.0	829000.0	73.7	97.0
340B50610	交配チーム	その他仕入高	0.0	0.0		
340B50610	交配チーム	減価償却費	2117795.0	2117795.0	100.0	98.5
340B50610	交配チーム	車両費	1632336.0	1590000.0	102.6	125.4
340B50610	交配チーム	旅費交通費	25000.0	25000.0	100.0	129.0
340B50610	交配チーム	荷造運搬費	910.0	0.0		58.3
340B50610	交配チーム	通信費	146405.0	147148.0	99.4	77.2
340B50610	交配チーム	水道光熱費	1621012.0	1593956.0	101.6	106.4
340B50610	交配チーム	動力費	0.0	0.0		
340B50610	交配チーム	燃料費	4320633.0	4407500.0	98.0	120.7
340B50610	交配チーム	事務用品費	56248.0	63564.0	88.4	87.5
340B50610	交配チーム	消耗品費	188826.0	194664.0	97.0	108.8
340B50610	交配チーム	廃棄物処理料	125942.0	180672.0	69.7	182.9
340B50610	交配チーム	広告宣伝費	0.0	0.0		0.0
340B50610	交配チーム	接待交際費	0.0	0.0		
340B50610	交配チーム	研究開発費	0.0	0.0		
340B50610	交配チーム	クレーム費	0.0	0.0		
340B50610	交配チーム	賃借料	899792.0	899792.0	100.0	96.3
340B50610	交配チーム	賃貸料収入	0.0	0.0		
340B50610	交配チーム	修繕費	500000.0	500000.0	100.0	
340B50610	交配チーム	支払リース料	0.0	0.0		
340B50610	交配チーム	保険料	1848.0	1824.0	101.3	97.1
340B50610	交配チーム	支払報酬	0.0	0.0		
340B50610	交配チーム	販売手数料	0.0	0.0		
340B50610	交配チーム	支払手数料	31977.0	31977.0	100.0	89.7
340B50610	交配チーム	診断料	69300.0	69300.0	100.0	112.5
340B50610	交配チーム	諸会費	10767.0	14000.0	76.9	25.8
340B50610	交配チーム	会議費	0.0	0.0		
340B50610	交配チーム	寄付金	0.0	0.0		
340B50610	交配チーム	租税公課	0.0	0.0		
340B50610	交配チーム	業務委託費	29547800.0	29547800.0	100.0	96.6
340B50610	交配チーム	業務受託収入	0.0	0.0		
340B50610	交配チーム	システム管理料	90000.0	100000.0	90.0	100.0
340B50610	交配チーム	情報機器利用料	1060800.0	1060800.0	100.0	79.0
340B50610	交配チーム	貸倒金	0.0	0.0		
340B50610	交配チーム	雑費	245917.0	252000.0	97.5	424.2
340B50610	交配チーム	福利消耗品費	51096.0	100100.0	51.0	26.6
340B50610	交配チーム	教育研修費	8524.0	10700.0	79.6	71.9
340B50610	交配チーム	雑給	0.0	0.0		
340B50610	交配チーム	社内金利（固定資産）	552433.0	552433.0	100.0	88.7
340B50610	交配チーム	社内金利（売掛金）	0.0	0.0		
340B50610	交配チーム	部門共通（経費）	1875842.0	2216104.0	84.6	45.7
340B50610	交配チーム	全社共通（経費）	3599351.0	3582766.0	100.4	82.1
340B50610	交配チーム	グループ共通	1329600.0	1329600.0	100.0	83.4
340B50610	交配チーム	差引収益	55673641.0	54263909.0	102.5	87.7
340B50610	交配チーム	差引比率	0.0	0.0		
340B50610	交配チーム	総時間	13189.0	13704.75	96.2	71.6
340B50610	交配チーム	定時間	11196.0	11512.0	97.2	76.0
340B50610	交配チーム	残業時間	313.5	361.0	86.8	66.9
340B50610	交配チーム	移動時間	0.0	0.0		0.0
340B50610	交配チーム	部門共通（時間）	920.75	1055.5	87.2	46.0
340B50610	交配チーム	全社共通（時間）	758.75	776.25	97.7	93.8
340B50610	交配チーム	当月時間当り	4221.2	3959.4	106.6	122.4
340B50610	交配チーム	人員	6.0	6.0	100.0	75.0
