組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340A10210	営業チーム	総受注高	1270602078.0	1390000000.0	91.4	96.4
340A10210	営業チーム	許諾料	53050000.0	55000000.0	96.4	95.5
340A10210	営業チーム	穂木	714028725.0	830000000.0	86.0	93.4
340A10210	営業チーム	ﾛｲﾔﾙﾃｨ	446670640.0	445000000.0	100.3	100.6
340A10210	営業チーム	バラ	0.0	0.0		
340A10210	営業チーム	通信販売	0.0	0.0		
340A10210	営業チーム	セット苗	0.0	0.0		
340A10210	営業チーム	その他	56852713.0	60000000.0	94.7	105.1
340A10210	営業チーム	総売上高	1346125694.0	1360000000.0	98.9	100.1
340A10210	営業チーム	許諾料	54209946.0	55000000.0	98.5	89.7
340A10210	営業チーム	穂木	785620404.0	800000000.0	98.2	99.9
340A10210	営業チーム	ﾛｲﾔﾙﾃｨ	446421880.0	445000000.0	100.3	100.8
340A10210	営業チーム	バラ	0.0	0.0		
340A10210	営業チーム	通信販売	0.0	0.0		
340A10210	営業チーム	セット苗	0.0	0.0		
340A10210	営業チーム	その他	59873464.0	60000000.0	99.7	107.0
340A10210	営業チーム	社外売上	59873464.0	60000000.0	99.7	107.0
340A10210	営業チーム	売上原価	14395768.0	13400000.0	107.4	110.9
340A10210	営業チーム	穂木・苗仕入高	0.0	0.0		0.0
340A10210	営業チーム	送料	0.0	0.0		
340A10210	営業チーム	その他	14395768.0	13400000.0	107.4	112.6
340A10210	営業チーム	総生産	-85880.0	0.0		
340A10210	営業チーム	社内売	0.0	0.0		0.0
340A10210	営業チーム	社内仕入	85880.0	0.0		76.2
340A10210	営業チーム	営業口銭	187331083.0	187073410.0	100.1	103.8
340A10210	営業チーム	総収益	232722899.0	233673410.0	99.5	104.0
340A10210	営業チーム	経費合計	109900906.0	110918899.0	99.0	96.0
340A10210	営業チーム	種苗費	0.0	0.0		
340A10210	営業チーム	肥料費	0.0	0.0		
340A10210	営業チーム	培土費用	0.0	0.0		
340A10210	営業チーム	農薬衛生費	0.0	0.0		
340A10210	営業チーム	農具費	0.0	0.0		0.0
340A10210	営業チーム	諸材料費	0.0	0.0		0.0
340A10210	営業チーム	その他仕入高	0.0	0.0		
340A10210	営業チーム	減価償却費	114147.0	111459.0	102.4	75.7
340A10210	営業チーム	車両費	6066797.0	5987928.0	101.3	105.2
340A10210	営業チーム	旅費交通費	13364376.0	13194334.0	101.2	98.7
340A10210	営業チーム	荷造運搬費	34338133.0	37111500.0	92.5	101.0
340A10210	営業チーム	通信費	2935279.0	3445599.0	85.1	79.1
340A10210	営業チーム	水道光熱費	319096.0	821281.0	38.8	31.4
340A10210	営業チーム	動力費	0.0	0.0		
340A10210	営業チーム	燃料費	0.0	0.0		
340A10210	営業チーム	事務用品費	941149.0	773998.0	121.5	118.9
340A10210	営業チーム	消耗品費	85433.0	175416.0	48.7	76.7
340A10210	営業チーム	廃棄物処理料	115652.0	172615.0	66.9	68.4
340A10210	営業チーム	広告宣伝費	8455312.0	9067500.0	93.2	99.2
340A10210	営業チーム	接待交際費	1479982.0	1700000.0	87.0	97.3
340A10210	営業チーム	研究開発費	0.0	0.0		
340A10210	営業チーム	クレーム費	0.0	0.0		
340A10210	営業チーム	賃借料	1638660.0	2340104.0	70.0	53.8
340A10210	営業チーム	賃貸料収入	0.0	0.0		
340A10210	営業チーム	修繕費	0.0	0.0		0.0
340A10210	営業チーム	支払リース料	26549.0	28632.0	92.7	60.1
340A10210	営業チーム	保険料	-26.0	10220.0		
340A10210	営業チーム	支払報酬	0.0	0.0		
340A10210	営業チーム	販売手数料	7559581.0	7340248.0	102.9	90.0
340A10210	営業チーム	支払手数料	289048.0	398068.0	72.6	59.9
340A10210	営業チーム	診断料	0.0	0.0		
340A10210	営業チーム	諸会費	157387.0	172847.0	91.0	79.7
340A10210	営業チーム	会議費	407.0	0.0		1.3
340A10210	営業チーム	寄付金	0.0	0.0		0.0
340A10210	営業チーム	租税公課	368000.0	360000.0	102.2	152.7
340A10210	営業チーム	業務委託費	17712619.0	17624634.0	100.4	105.5
340A10210	営業チーム	業務受託収入	0.0	0.0		
340A10210	営業チーム	システム管理料	57600.0	57600.0	100.0	100.0
340A10210	営業チーム	情報機器利用料	2039070.0	1809420.0	112.6	86.9
340A10210	営業チーム	貸倒金	3469460.0	0.0		103.4
340A10210	営業チーム	雑費	9974.0	18659.0	53.4	25.2
340A10210	営業チーム	福利消耗品費	89503.0	100000.0	89.5	158.9
340A10210	営業チーム	教育研修費	19919.0	21026.0	94.7	137.3
340A10210	営業チーム	雑給	0.0	0.0		
340A10210	営業チーム	社内金利（固定資産）	79660.0	74048.0	107.5	90.9
340A10210	営業チーム	社内金利（売掛金）	1115063.0	980000.0	113.7	74.6
340A10210	営業チーム	部門共通（経費）	0.0	0.0		
340A10210	営業チーム	全社共通（経費）	5147076.0	5123363.0	100.4	78.2
