組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340A10100	営業部	総受注高	1314879163.0	1506230000.0	87.2	92.0
340A10100	営業部	許諾料	53570000.0	55000000.0	97.4	96.4
340A10100	営業部	穂木	652313000.0	830000000.0	78.5	85.4
340A10100	営業部	ﾛｲﾔﾙﾃｨ	448935103.0	445000000.0	100.8	101.1
340A10100	営業部	バラ	52054272.0	62000000.0	83.9	90.9
340A10100	営業部	通信販売	0.0	0.0		
340A10100	営業部	セット苗	53788288.0	54230000.0	99.1	100.0
340A10100	営業部	その他	54218500.0	60000000.0	90.3	100.2
340A10100	営業部	総売上高	1457814527.0	1475000000.0	98.8	100.1
340A10100	営業部	許諾料	54349946.0	55000000.0	98.8	90.0
340A10100	営業部	穂木	789476479.0	800000000.0	98.6	100.4
340A10100	営業部	ﾛｲﾔﾙﾃｨ	448686343.0	445000000.0	100.8	101.3
340A10100	営業部	バラ	52054272.0	62000000.0	83.9	90.9
340A10100	営業部	通信販売	0.0	0.0		
340A10100	営業部	セット苗	51636166.0	53000000.0	97.4	97.0
340A10100	営業部	その他	61611321.0	60000000.0	102.6	110.1
340A10100	営業部	社外売上	165301759.0	175000000.0	94.4	99.2
340A10100	営業部	売上原価	56592442.0	59973000.0	94.3	135.0
340A10100	営業部	穂木・苗仕入高	41549329.0	46573000.0	89.2	150.1
340A10100	営業部	送料	0.0	0.0		
340A10100	営業部	その他	15043113.0	13400000.0	112.2	105.8
340A10100	営業部	総生産	-1200000.0	-1200000.0		
340A10100	営業部	社内売	0.0	0.0		0.0
340A10100	営業部	社内仕入	1200000.0	1200000.0	100.0	3.5
340A10100	営業部	営業口銭	188193213.0	187073410.0	100.5	104.3
340A10100	営業部	総収益	295702530.0	300900410.0	98.2	108.7
340A10100	営業部	経費合計	158554938.0	165138057.0	96.0	98.0
340A10100	営業部	種苗費	170000.0	316000.0	53.7	65.9
340A10100	営業部	肥料費	298137.0	339000.0	87.9	103.9
340A10100	営業部	培土費用	309811.0	289000.0	107.2	212.9
340A10100	営業部	農薬衛生費	370592.0	369000.0	100.4	111.4
340A10100	営業部	農具費	24943.0	28000.0	89.0	28.0
340A10100	営業部	諸材料費	9979709.0	9980500.0	99.9	305.6
340A10100	営業部	その他仕入高	0.0	0.0		
340A10100	営業部	減価償却費	3563978.0	3562634.0	100.0	97.2
340A10100	営業部	車両費	6942129.0	6952148.0	99.8	105.8
340A10100	営業部	旅費交通費	17880427.0	17774334.0	100.5	98.3
340A10100	営業部	荷造運搬費	43554688.0	44572500.0	97.7	105.4
340A10100	営業部	通信費	3403082.0	4047056.0	84.0	76.4
340A10100	営業部	水道光熱費	1051150.0	1940659.0	54.1	48.9
340A10100	営業部	動力費	0.0	0.0		
340A10100	営業部	燃料費	995637.0	1100000.0	90.5	110.2
340A10100	営業部	事務用品費	1060282.0	1027182.0	103.2	109.1
340A10100	営業部	消耗品費	221335.0	381995.0	57.9	84.4
340A10100	営業部	廃棄物処理料	449382.0	467098.0	96.2	99.0
340A10100	営業部	広告宣伝費	11389143.0	11508500.0	98.9	105.6
340A10100	営業部	接待交際費	2026762.0	2059000.0	98.4	108.4
340A10100	営業部	研究開発費	0.0	0.0		
340A10100	営業部	クレーム費	0.0	0.0		
340A10100	営業部	賃借料	2804553.0	4088412.0	68.5	57.6
340A10100	営業部	賃貸料収入	-120000.0	-120000.0		
340A10100	営業部	修繕費	212000.0	267000.0	79.4	362.8
340A10100	営業部	支払リース料	52221.0	72273.0	72.2	56.7
340A10100	営業部	保険料	11279.0	22520.0	50.0	25.2
340A10100	営業部	支払報酬	0.0	0.0		
340A10100	営業部	販売手数料	15829357.0	17200614.0	92.0	86.8
340A10100	営業部	支払手数料	1472110.0	1608636.0	91.5	158.1
340A10100	営業部	診断料	0.0	0.0		
340A10100	営業部	諸会費	277928.0	288472.0	96.3	91.0
340A10100	営業部	会議費	407.0	0.0		0.9
340A10100	営業部	寄付金	0.0	0.0		0.0
340A10100	営業部	租税公課	364000.0	360000.0	101.1	147.6
340A10100	営業部	業務委託費	17437196.0	17624634.0	98.9	103.9
340A10100	営業部	業務受託収入	0.0	0.0		
340A10100	営業部	システム管理料	624100.0	635100.0	98.2	106.5
340A10100	営業部	情報機器利用料	3225693.0	3040974.0	106.0	82.5
340A10100	営業部	貸倒金	0.0	0.0		0.0
340A10100	営業部	雑費	43428.0	51184.0	84.8	58.1
340A10100	営業部	福利消耗品費	44340.0	123320.0	35.9	47.7
340A10100	営業部	教育研修費	60828.0	21026.0	289.2	199.1
340A10100	営業部	雑給	0.0	0.0		
340A10100	営業部	社内金利（固定資産）	894351.0	923558.0	96.8	79.4
340A10100	営業部	社内金利（売掛金）	1032988.0	980000.0	105.4	69.1
340A10100	営業部	部門共通（経費）	0.0	0.0		
340A10100	営業部	全社共通（経費）	7558572.0	8197328.0	92.2	72.5
340A10100	営業部	グループ共通	3038400.0	3038400.0	100.0	89.8
340A10100	営業部	差引収益	137147592.0	135762353.0	101.0	124.6
340A10100	営業部	差引比率	9.4	9.2	102.1	122.0
340A10100	営業部	総時間	36754.75	37535.25	97.9	101.1
340A10100	営業部	定時間	32135.75	32640.0	98.4	99.5
340A10100	営業部	残業時間	2330.0	2405.0	96.8	90.8
340A10100	営業部	移動時間	674.0	695.0	96.9	
340A10100	営業部	部門共通（時間）	0.0	0.0		
340A10100	営業部	全社共通（時間）	1615.0	1795.25	89.9	83.3
340A10100	営業部	当月時間当り	3731.4	3616.9	103.1	123.2
340A10100	営業部	人員	16.0	16.0	100.0	88.8
