組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340B50700	栽培管理チーム	総受注高	0.0	0.0		
340B50700	栽培管理チーム	許諾料	0.0	0.0		
340B50700	栽培管理チーム	穂木	0.0	0.0		
340B50700	栽培管理チーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50700	栽培管理チーム	バラ	0.0	0.0		
340B50700	栽培管理チーム	通信販売	0.0	0.0		
340B50700	栽培管理チーム	セット苗	0.0	0.0		
340B50700	栽培管理チーム	その他	0.0	0.0		
340B50700	栽培管理チーム	総売上高	0.0	0.0		
340B50700	栽培管理チーム	許諾料	0.0	0.0		
340B50700	栽培管理チーム	穂木	0.0	0.0		
340B50700	栽培管理チーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50700	栽培管理チーム	バラ	0.0	0.0		
340B50700	栽培管理チーム	通信販売	0.0	0.0		
340B50700	栽培管理チーム	セット苗	0.0	0.0		
340B50700	栽培管理チーム	その他	0.0	0.0		
340B50700	栽培管理チーム	社外売上	199692314.0	198728479.0	100.4	98.8
340B50700	栽培管理チーム	売上原価	0.0	0.0		
340B50700	栽培管理チーム	穂木・苗仕入高	0.0	0.0		
340B50700	栽培管理チーム	送料	0.0	0.0		
340B50700	栽培管理チーム	その他	0.0	0.0		
340B50700	栽培管理チーム	総生産	1210000.0	1200000.0	100.8	55.5
340B50700	栽培管理チーム	社内売	1210800.0	1200000.0	100.9	49.9
340B50700	栽培管理チーム	社内仕入	800.0	0.0		0.3
340B50700	栽培管理チーム	営業口銭	-69890189.0	-69554968.0		
340B50700	栽培管理チーム	総収益	131012125.0	130373511.0	100.4	98.0
340B50700	栽培管理チーム	経費合計	62770137.0	65519028.0	95.8	107.9
340B50700	栽培管理チーム	種苗費	0.0	0.0		
340B50700	栽培管理チーム	肥料費	2196609.0	2224000.0	98.7	130.0
340B50700	栽培管理チーム	培土費用	2902500.0	3035000.0	95.6	115.1
340B50700	栽培管理チーム	農薬衛生費	2726855.0	3250000.0	83.9	130.5
340B50700	栽培管理チーム	農具費	518122.0	671000.0	77.2	94.5
340B50700	栽培管理チーム	諸材料費	898053.0	789000.0	113.8	55.5
340B50700	栽培管理チーム	その他仕入高	0.0	0.0		
340B50700	栽培管理チーム	減価償却費	5731025.0	5739677.0	99.8	142.7
340B50700	栽培管理チーム	車両費	4492047.0	4957583.0	90.6	90.2
340B50700	栽培管理チーム	旅費交通費	605799.0	823000.0	73.6	151.2
340B50700	栽培管理チーム	荷造運搬費	90320.0	114000.0	79.2	156.8
340B50700	栽培管理チーム	通信費	221978.0	227594.0	97.5	47.9
340B50700	栽培管理チーム	水道光熱費	1608635.0	1485173.0	108.3	84.7
340B50700	栽培管理チーム	動力費	0.0	0.0		
340B50700	栽培管理チーム	燃料費	1567109.0	1565000.0	100.1	84.6
340B50700	栽培管理チーム	事務用品費	70838.0	77700.0	91.1	51.5
340B50700	栽培管理チーム	消耗品費	209877.0	222901.0	94.1	52.0
340B50700	栽培管理チーム	廃棄物処理料	558430.0	688708.0	81.0	199.4
340B50700	栽培管理チーム	広告宣伝費	0.0	0.0		
340B50700	栽培管理チーム	接待交際費	46000.0	62000.0	74.1	
340B50700	栽培管理チーム	研究開発費	0.0	0.0		
340B50700	栽培管理チーム	クレーム費	0.0	0.0		
340B50700	栽培管理チーム	賃借料	2148649.0	1754968.0	122.4	76.3
340B50700	栽培管理チーム	賃貸料収入	-277500.0	-120000.0		
340B50700	栽培管理チーム	修繕費	10395417.0	11505000.0	90.3	151.9
340B50700	栽培管理チーム	支払リース料	18396.0	18396.0	100.0	67.8
340B50700	栽培管理チーム	保険料	6072.0	6048.0	100.3	65.7
340B50700	栽培管理チーム	支払報酬	0.0	0.0		
340B50700	栽培管理チーム	販売手数料	0.0	0.0		
340B50700	栽培管理チーム	支払手数料	65123.0	65049.0	100.1	1.0
340B50700	栽培管理チーム	診断料	80650.0	111400.0	72.3	59.5
340B50700	栽培管理チーム	諸会費	42644.0	73424.0	58.0	43.8
340B50700	栽培管理チーム	会議費	0.0	0.0		
340B50700	栽培管理チーム	寄付金	0.0	0.0		0.0
340B50700	栽培管理チーム	租税公課	0.0	0.0		0.0
340B50700	栽培管理チーム	業務委託費	12734087.0	12732700.0	100.0	63.0
340B50700	栽培管理チーム	業務受託収入	0.0	0.0		
340B50700	栽培管理チーム	システム管理料	0.0	0.0		
340B50700	栽培管理チーム	情報機器利用料	2796680.0	2820040.0	99.1	95.0
340B50700	栽培管理チーム	貸倒金	0.0	0.0		
340B50700	栽培管理チーム	雑費	366619.0	414440.0	88.4	392.4
340B50700	栽培管理チーム	福利消耗品費	37886.0	119220.0	31.7	18.9
340B50700	栽培管理チーム	教育研修費	1324.0	0.0		8.3
340B50700	栽培管理チーム	雑給	0.0	0.0		
340B50700	栽培管理チーム	社内金利（固定資産）	1491920.0	1476814.0	101.0	128.6
340B50700	栽培管理チーム	社内金利（売掛金）	0.0	0.0		
340B50700	栽培管理チーム	部門共通（経費）	2080419.0	2292966.0	90.7	
340B50700	栽培管理チーム	全社共通（経費）	4628754.0	4607427.0	100.4	105.6
340B50700	栽培管理チーム	グループ共通	1708800.0	1708800.0	100.0	66.0
340B50700	栽培管理チーム	差引収益	68241988.0	64854483.0	105.2	90.4
340B50700	栽培管理チーム	差引比率	5639.8	5404.5	104.3	162.8
340B50700	栽培管理チーム	総時間	21162.25	22777.5	92.9	120.0
340B50700	栽培管理チーム	定時間	17602.0	18966.0	92.8	90.5
340B50700	栽培管理チーム	残業時間	999.5	1160.0	86.1	73.7
340B50700	栽培管理チーム	移動時間	579.5	579.0	100.0	27.5
340B50700	栽培管理チーム	部門共通（時間）	1005.25	1074.25	93.5	
340B50700	栽培管理チーム	全社共通（時間）	976.0	998.25	97.7	120.7
340B50700	栽培管理チーム	当月時間当り	3224.7	2847.3	113.2	75.4
340B50700	栽培管理チーム	人員	10.0	9.0	111.1	90.9
