組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340B50500	海外事業課	総受注高	42693694.0	42000000.0	101.6	101.3
340B50500	海外事業課	許諾料	400000.0	0.0		100.0
340B50500	海外事業課	穂木	37500.0	0.0		12.0
340B50500	海外事業課	ﾛｲﾔﾙﾃｨ	42174408.0	42000000.0	100.4	102.3
340B50500	海外事業課	バラ	0.0	0.0		
340B50500	海外事業課	通信販売	0.0	0.0		
340B50500	海外事業課	セット苗	0.0	0.0		
340B50500	海外事業課	その他	81786.0	0.0		39.5
340B50500	海外事業課	総売上高	42693694.0	42000000.0	101.6	101.3
340B50500	海外事業課	許諾料	400000.0	0.0		100.0
340B50500	海外事業課	穂木	37500.0	0.0		12.0
340B50500	海外事業課	ﾛｲﾔﾙﾃｨ	42174408.0	42000000.0	100.4	102.3
340B50500	海外事業課	バラ	0.0	0.0		
340B50500	海外事業課	通信販売	0.0	0.0		
340B50500	海外事業課	セット苗	0.0	0.0		
340B50500	海外事業課	その他	81786.0	0.0		39.5
340B50500	海外事業課	社外売上	81786.0	0.0		39.5
340B50500	海外事業課	売上原価	0.0	0.0		
340B50500	海外事業課	穂木・苗仕入高	0.0	0.0		
340B50500	海外事業課	送料	0.0	0.0		
340B50500	海外事業課	その他	0.0	0.0		
340B50500	海外事業課	総生産	-1200000.0	-1200000.0		
340B50500	海外事業課	社内売	0.0	0.0		
340B50500	海外事業課	社内仕入	1200000.0	1200000.0	100.0	240.1
340B50500	海外事業課	営業口銭	14900591.0	14700000.0	101.3	102.3
340B50500	海外事業課	総収益	13782377.0	13500000.0	102.0	96.5
340B50500	海外事業課	経費合計	6382364.0	6657427.0	95.8	106.7
340B50500	海外事業課	種苗費	0.0	0.0		
340B50500	海外事業課	肥料費	0.0	0.0		
340B50500	海外事業課	培土費用	0.0	0.0		
340B50500	海外事業課	農薬衛生費	0.0	0.0		
340B50500	海外事業課	農具費	0.0	0.0		
340B50500	海外事業課	諸材料費	0.0	0.0		
340B50500	海外事業課	その他仕入高	0.0	0.0		
340B50500	海外事業課	減価償却費	13109.0	13109.0	100.0	76.9
340B50500	海外事業課	車両費	0.0	0.0		0.0
340B50500	海外事業課	旅費交通費	2148555.0	2400000.0	89.5	126.6
340B50500	海外事業課	荷造運搬費	458470.0	500000.0	91.6	72.3
340B50500	海外事業課	通信費	67755.0	77336.0	87.6	103.1
340B50500	海外事業課	水道光熱費	26941.0	28206.0	95.5	101.2
340B50500	海外事業課	動力費	0.0	0.0		
340B50500	海外事業課	燃料費	0.0	0.0		
340B50500	海外事業課	事務用品費	8049.0	9096.0	88.4	86.0
340B50500	海外事業課	消耗品費	20697.0	19283.0	107.3	101.1
340B50500	海外事業課	廃棄物処理料	10876.0	11554.0	94.1	126.0
340B50500	海外事業課	広告宣伝費	0.0	0.0		
340B50500	海外事業課	接待交際費	80000.0	120000.0	66.6	83.4
340B50500	海外事業課	研究開発費	0.0	0.0		
340B50500	海外事業課	クレーム費	0.0	0.0		
340B50500	海外事業課	賃借料	57264.0	57264.0	100.0	102.6
340B50500	海外事業課	賃貸料収入	0.0	0.0		
340B50500	海外事業課	修繕費	0.0	0.0		0.0
340B50500	海外事業課	支払リース料	0.0	0.0		
340B50500	海外事業課	保険料	48994.0	45260.0	108.2	158.9
340B50500	海外事業課	支払報酬	0.0	0.0		
340B50500	海外事業課	販売手数料	95518.0	0.0		326.6
340B50500	海外事業課	支払手数料	152853.0	144577.0	105.7	136.2
340B50500	海外事業課	診断料	0.0	0.0		
340B50500	海外事業課	諸会費	27.0	0.0		
340B50500	海外事業課	会議費	0.0	0.0		
340B50500	海外事業課	寄付金	0.0	0.0		
340B50500	海外事業課	租税公課	2269889.0	2300000.0	98.6	104.5
340B50500	海外事業課	業務委託費	0.0	0.0		
340B50500	海外事業課	業務受託収入	0.0	0.0		
340B50500	海外事業課	システム管理料	0.0	0.0		
340B50500	海外事業課	情報機器利用料	219000.0	203400.0	107.6	96.3
340B50500	海外事業課	貸倒金	0.0	0.0		
340B50500	海外事業課	雑費	5782.0	6653.0	86.9	69.7
340B50500	海外事業課	福利消耗品費	1850.0	10000.0	18.5	18.5
340B50500	海外事業課	教育研修費	189.0	0.0		
340B50500	海外事業課	雑給	0.0	0.0		
340B50500	海外事業課	社内金利（固定資産）	4883.0	4883.0	100.0	86.6
340B50500	海外事業課	社内金利（売掛金）	3168.0	4883.0	64.8	
340B50500	海外事業課	部門共通（経費）	0.0	0.0		
340B50500	海外事業課	全社共通（経費）	514695.0	512323.0	100.4	93.9
340B50500	海外事業課	グループ共通	173800.0	189600.0	91.6	87.7
340B50500	海外事業課	差引収益	7400013.0	6842573.0	108.1	89.2
340B50500	海外事業課	差引比率	17.8	16.7	106.5	89.4
340B50500	海外事業課	総時間	2074.5	2141.75	96.8	107.8
340B50500	海外事業課	定時間	1934.0	1984.0	97.4	106.8
340B50500	海外事業課	残業時間	33.25	48.0	69.2	246.2
340B50500	海外事業課	移動時間	0.0	0.0		
340B50500	海外事業課	部門共通（時間）	0.0	0.0		
340B50500	海外事業課	全社共通（時間）	107.25	109.75	97.7	107.2
340B50500	海外事業課	当月時間当り	3567.1	3194.8	111.6	82.7
340B50500	海外事業課	人員	1.0	1.0	100.0	100.0
