組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340A50110	知財管理チーム	総受注高	0.0	0.0		
340A50110	知財管理チーム	許諾料	0.0	0.0		
340A50110	知財管理チーム	穂木	0.0	0.0		
340A50110	知財管理チーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340A50110	知財管理チーム	バラ	0.0	0.0		
340A50110	知財管理チーム	通信販売	0.0	0.0		
340A50110	知財管理チーム	セット苗	0.0	0.0		
340A50110	知財管理チーム	その他	0.0	0.0		
340A50110	知財管理チーム	総売上高	0.0	0.0		
340A50110	知財管理チーム	許諾料	0.0	0.0		
340A50110	知財管理チーム	穂木	0.0	0.0		
340A50110	知財管理チーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340A50110	知財管理チーム	バラ	0.0	0.0		
340A50110	知財管理チーム	通信販売	0.0	0.0		
340A50110	知財管理チーム	セット苗	0.0	0.0		
340A50110	知財管理チーム	その他	0.0	0.0		
340A50110	知財管理チーム	社外売上	0.0	0.0		
340A50110	知財管理チーム	売上原価	0.0	0.0		
340A50110	知財管理チーム	穂木・苗仕入高	0.0	0.0		
340A50110	知財管理チーム	送料	0.0	0.0		
340A50110	知財管理チーム	その他	0.0	0.0		
340A50110	知財管理チーム	総生産	0.0	0.0		
340A50110	知財管理チーム	社内売	0.0	0.0		
340A50110	知財管理チーム	社内仕入	0.0	0.0		
340A50110	知財管理チーム	営業口銭	0.0	0.0		
340A50110	知財管理チーム	総収益	0.0	0.0		
340A50110	知財管理チーム	経費合計	0.0	0.0		
340A50110	知財管理チーム	種苗費	0.0	0.0		
340A50110	知財管理チーム	肥料費	0.0	0.0		
340A50110	知財管理チーム	培土費用	0.0	0.0		
340A50110	知財管理チーム	農薬衛生費	0.0	0.0		
340A50110	知財管理チーム	農具費	0.0	0.0		
340A50110	知財管理チーム	諸材料費	0.0	0.0		
340A50110	知財管理チーム	その他仕入高	0.0	0.0		
340A50110	知財管理チーム	減価償却費	33290.0	33290.0	100.0	121.7
340A50110	知財管理チーム	車両費	451149.0	465084.0	97.0	92.7
340A50110	知財管理チーム	旅費交通費	0.0	0.0		0.0
340A50110	知財管理チーム	荷造運搬費	12660.0	29314.0	43.1	70.6
340A50110	知財管理チーム	通信費	184730.0	184392.0	100.1	104.7
340A50110	知財管理チーム	水道光熱費	300830.0	308244.0	97.5	104.4
340A50110	知財管理チーム	動力費	0.0	0.0		
340A50110	知財管理チーム	燃料費	0.0	0.0		
340A50110	知財管理チーム	事務用品費	53282.0	54900.0	97.0	101.3
340A50110	知財管理チーム	消耗品費	25985.0	24000.0	108.2	73.9
340A50110	知財管理チーム	廃棄物処理料	16750.0	16750.0	100.0	113.0
340A50110	知財管理チーム	広告宣伝費	500.0	0.0		
340A50110	知財管理チーム	接待交際費	0.0	0.0		
340A50110	知財管理チーム	研究開発費	0.0	0.0		
340A50110	知財管理チーム	クレーム費	0.0	0.0		
340A50110	知財管理チーム	賃借料	661908.0	661908.0	100.0	106.2
340A50110	知財管理チーム	賃貸料収入	0.0	0.0		
340A50110	知財管理チーム	修繕費	0.0	0.0		0.0
340A50110	知財管理チーム	支払リース料	6825.0	6825.0	100.0	106.3
340A50110	知財管理チーム	保険料	3828.0	3828.0	100.0	126.8
340A50110	知財管理チーム	支払報酬	0.0	0.0		
340A50110	知財管理チーム	販売手数料	0.0	0.0		
340A50110	知財管理チーム	支払手数料	6311365.0	6596493.0	95.6	105.7
340A50110	知財管理チーム	診断料	0.0	0.0		
340A50110	知財管理チーム	諸会費	12750.0	625.0		101.2
340A50110	知財管理チーム	会議費	0.0	0.0		
340A50110	知財管理チーム	寄付金	0.0	0.0		0.0
340A50110	知財管理チーム	租税公課	87200.0	93600.0	93.1	39.9
340A50110	知財管理チーム	業務委託費	0.0	0.0		
340A50110	知財管理チーム	業務受託収入	0.0	0.0		
340A50110	知財管理チーム	システム管理料	0.0	0.0		
340A50110	知財管理チーム	情報機器利用料	452400.0	452400.0	100.0	111.2
340A50110	知財管理チーム	貸倒金	0.0	0.0		
340A50110	知財管理チーム	雑費	8556.0	8025.0	106.6	71.9
340A50110	知財管理チーム	福利消耗品費	21183.0	31280.0	67.7	50.0
340A50110	知財管理チーム	教育研修費	716.0	0.0		17.7
340A50110	知財管理チーム	雑給	0.0	0.0		
340A50110	知財管理チーム	社内金利（固定資産）	28780.0	28780.0	100.0	124.9
340A50110	知財管理チーム	社内金利（売掛金）	0.0	0.0		
340A50110	知財管理チーム	部門共通（経費）	-9053887.0	-9378938.0		
340A50110	知財管理チーム	全社共通（経費）	0.0	0.0		
340A50110	知財管理チーム	グループ共通	379200.0	379200.0	100.0	95.1
340A50110	知財管理チーム	差引収益	0.0	0.0		
340A50110	知財管理チーム	差引比率	0.0	0.0		
340A50110	知財管理チーム	総時間	3256.0	0.0		
340A50110	知財管理チーム	定時間	3837.0	3888.0	98.6	104.7
340A50110	知財管理チーム	残業時間	439.25	480.0	91.5	272.8
340A50110	知財管理チーム	移動時間	0.0	0.0		
340A50110	知財管理チーム	部門共通（時間）	-1020.25	-4368.0		
340A50110	知財管理チーム	全社共通（時間）	0.0	0.0		
340A50110	知財管理チーム	当月時間当り	0.0	0.0		
340A50110	知財管理チーム	人員	2.0	2.0	100.0	100.0
