組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340B30310	繁殖チーム	総受注高	0.0	0.0		
340B30310	繁殖チーム	許諾料	0.0	0.0		
340B30310	繁殖チーム	穂木	0.0	0.0		
340B30310	繁殖チーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B30310	繁殖チーム	バラ	0.0	0.0		
340B30310	繁殖チーム	通信販売	0.0	0.0		
340B30310	繁殖チーム	セット苗	0.0	0.0		
340B30310	繁殖チーム	その他	0.0	0.0		
340B30310	繁殖チーム	総売上高	0.0	0.0		
340B30310	繁殖チーム	許諾料	0.0	0.0		
340B30310	繁殖チーム	穂木	0.0	0.0		
340B30310	繁殖チーム	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B30310	繁殖チーム	バラ	0.0	0.0		
340B30310	繁殖チーム	通信販売	0.0	0.0		
340B30310	繁殖チーム	セット苗	0.0	0.0		
340B30310	繁殖チーム	その他	0.0	0.0		
340B30310	繁殖チーム	社外売上	108835560.0	108311232.0	100.4	
340B30310	繁殖チーム	売上原価	13500.0	0.0		0.0
340B30310	繁殖チーム	穂木・苗仕入高	0.0	0.0		0.0
340B30310	繁殖チーム	送料	0.0	0.0		
340B30310	繁殖チーム	その他	13500.0	0.0		50.0
340B30310	繁殖チーム	総生産	606400.0	852000.0	71.1	0.4
340B30310	繁殖チーム	社内売	1500000.0	1500000.0	100.0	1.0
340B30310	繁殖チーム	社内仕入	893600.0	648000.0	137.9	4.0
340B30310	繁殖チーム	営業口銭	-38090262.0	-37908931.0		
340B30310	繁殖チーム	総収益	71338198.0	71254301.0	100.1	69.7
340B30310	繁殖チーム	経費合計	36998959.0	36679734.0	100.8	71.4
340B30310	繁殖チーム	種苗費	0.0	0.0		
340B30310	繁殖チーム	肥料費	14650.0	51350.0	28.5	73.2
340B30310	繁殖チーム	培土費用	827120.0	900890.0	91.8	79.4
340B30310	繁殖チーム	農薬衛生費	1363231.0	1499993.0	90.8	53.7
340B30310	繁殖チーム	農具費	0.0	100000.0	0.0	0.0
340B30310	繁殖チーム	諸材料費	1764537.0	2001708.0	88.1	21.6
340B30310	繁殖チーム	その他仕入高	0.0	0.0		
340B30310	繁殖チーム	減価償却費	3642900.0	3607281.0	100.9	59.9
340B30310	繁殖チーム	車両費	1590678.0	1980600.0	80.3	90.3
340B30310	繁殖チーム	旅費交通費	138434.0	150000.0	92.2	30.4
340B30310	繁殖チーム	荷造運搬費	5672.0	0.0		0.2
340B30310	繁殖チーム	通信費	75297.0	139411.0	54.0	48.3
340B30310	繁殖チーム	水道光熱費	3094293.0	3583200.0	86.3	98.3
340B30310	繁殖チーム	動力費	0.0	0.0		
340B30310	繁殖チーム	燃料費	9803727.0	10050000.0	97.5	124.1
340B30310	繁殖チーム	事務用品費	24665.0	81768.0	30.1	31.0
340B30310	繁殖チーム	消耗品費	92522.0	173161.0	53.4	43.1
340B30310	繁殖チーム	廃棄物処理料	94034.0	153736.0	61.1	75.9
340B30310	繁殖チーム	広告宣伝費	0.0	0.0		
340B30310	繁殖チーム	接待交際費	0.0	0.0		0.0
340B30310	繁殖チーム	研究開発費	0.0	0.0		
340B30310	繁殖チーム	クレーム費	0.0	0.0		
340B30310	繁殖チーム	賃借料	1314140.0	1613936.0	81.4	84.6
340B30310	繁殖チーム	賃貸料収入	0.0	0.0		
340B30310	繁殖チーム	修繕費	12000.0	18000.0	66.6	23.4
340B30310	繁殖チーム	支払リース料	0.0	0.0		
340B30310	繁殖チーム	保険料	26108.0	2395.0		
340B30310	繁殖チーム	支払報酬	0.0	0.0		
340B30310	繁殖チーム	販売手数料	0.0	0.0		
340B30310	繁殖チーム	支払手数料	55820.0	41154.0	135.6	125.2
340B30310	繁殖チーム	診断料	127050.0	115500.0	110.0	91.6
340B30310	繁殖チーム	諸会費	4294.0	0.0		10.2
340B30310	繁殖チーム	会議費	0.0	0.0		
340B30310	繁殖チーム	寄付金	0.0	0.0		
340B30310	繁殖チーム	租税公課	0.0	0.0		
340B30310	繁殖チーム	業務委託費	0.0	0.0		0.0
340B30310	繁殖チーム	業務受託収入	0.0	0.0		
340B30310	繁殖チーム	システム管理料	0.0	0.0		
340B30310	繁殖チーム	情報機器利用料	540650.0	406800.0	132.9	99.6
340B30310	繁殖チーム	貸倒金	0.0	0.0		
340B30310	繁殖チーム	雑費	39300.0	95814.0	41.0	58.8
340B30310	繁殖チーム	福利消耗品費	102879.0	122900.0	83.7	75.9
340B30310	繁殖チーム	教育研修費	1706.0	0.0		20.4
340B30310	繁殖チーム	雑給	0.0	0.0		
340B30310	繁殖チーム	社内金利（固定資産）	745418.0	694731.0	107.2	40.9
340B30310	繁殖チーム	社内金利（売掛金）	0.0	0.0		
340B30310	繁殖チーム	部門共通（経費）	4667421.0	2779179.0	167.9	91.1
340B30310	繁殖チーム	全社共通（経費）	5121613.0	4607427.0	111.1	93.5
340B30310	繁殖チーム	グループ共通	1708800.0	1708800.0	100.0	85.8
340B30310	繁殖チーム	差引収益	34339239.0	34574567.0	99.3	67.9
340B30310	繁殖チーム	差引比率	5662.8	4058.0	139.5	
340B30310	繁殖チーム	総時間	20545.5	21383.5	96.0	105.5
340B30310	繁殖チーム	定時間	16046.5	17464.0	91.8	108.1
340B30310	繁殖チーム	残業時間	489.5	600.0	81.5	72.4
340B30310	繁殖チーム	移動時間	991.75	992.0	99.9	236.8
340B30310	繁殖チーム	部門共通（時間）	2008.25	1329.25	151.0	79.8
340B30310	繁殖チーム	全社共通（時間）	1009.5	998.25	101.1	99.8
340B30310	繁殖チーム	当月時間当り	1671.3	1616.8	103.3	64.3
340B30310	繁殖チーム	人員	10.0	9.0	111.1	111.1
