組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340B50600	育種開発課	総受注高	0.0	0.0		
340B50600	育種開発課	許諾料	0.0	0.0		
340B50600	育種開発課	穂木	0.0	0.0		
340B50600	育種開発課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50600	育種開発課	バラ	0.0	0.0		
340B50600	育種開発課	通信販売	0.0	0.0		
340B50600	育種開発課	セット苗	0.0	0.0		
340B50600	育種開発課	その他	0.0	0.0		
340B50600	育種開発課	総売上高	0.0	0.0		
340B50600	育種開発課	許諾料	0.0	0.0		
340B50600	育種開発課	穂木	0.0	0.0		
340B50600	育種開発課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50600	育種開発課	バラ	0.0	0.0		
340B50600	育種開発課	通信販売	0.0	0.0		
340B50600	育種開発課	セット苗	0.0	0.0		
340B50600	育種開発課	その他	0.0	0.0		
340B50600	育種開発課	社外売上	527878761.0	526293640.0	100.3	160.7
340B50600	育種開発課	売上原価	13500.0	0.0		0.0
340B50600	育種開発課	穂木・苗仕入高	0.0	0.0		0.0
340B50600	育種開発課	送料	0.0	0.0		0.0
340B50600	育種開発課	その他	13500.0	0.0		50.0
340B50600	育種開発課	総生産	2030000.0	2052000.0	98.9	3.0
340B50600	育種開発課	社内売	2710800.0	2700000.0	100.4	1.5
340B50600	育種開発課	社内仕入	680800.0	648000.0	105.0	0.6
340B50600	育種開発課	営業口銭	-184753545.0	-184202774.0		
340B50600	育種開発課	総収益	345141716.0	344142866.0	100.2	133.1
340B50600	育種開発課	経費合計	169282343.0	172286142.0	98.2	141.2
340B50600	育種開発課	種苗費	85400.0	158000.0	54.0	214.0
340B50600	育種開発課	肥料費	2149255.0	2275350.0	94.4	
340B50600	育種開発課	培土費用	3834890.0	3935890.0	97.4	366.2
340B50600	育種開発課	農薬衛生費	5446823.0	5889987.0	92.4	162.8
340B50600	育種開発課	農具費	621402.0	844000.0	73.6	795.5
340B50600	育種開発課	諸材料費	3215968.0	3619708.0	88.8	36.6
340B50600	育種開発課	その他仕入高	0.0	0.0		
340B50600	育種開発課	減価償却費	11605169.0	11591687.0	100.1	140.1
340B50600	育種開発課	車両費	9604129.0	10052167.0	95.5	246.3
340B50600	育種開発課	旅費交通費	4324726.0	4998000.0	86.5	108.6
340B50600	育種開発課	荷造運搬費	329743.0	443314.0	74.3	14.1
340B50600	育種開発課	通信費	757190.0	860773.0	87.9	165.3
340B50600	育種開発課	水道光熱費	6912111.0	7313983.0	94.5	145.2
340B50600	育種開発課	動力費	0.0	0.0		0.0
340B50600	育種開発課	燃料費	15626904.0	16022500.0	97.5	133.3
340B50600	育種開発課	事務用品費	302545.0	390372.0	77.5	173.4
340B50600	育種開発課	消耗品費	623929.0	740982.0	84.2	135.6
340B50600	育種開発課	廃棄物処理料	948259.0	1157452.0	81.9	433.9
340B50600	育種開発課	広告宣伝費	500.0	0.0		5.4
340B50600	育種開発課	接待交際費	106833.0	62000.0	172.3	153.1
340B50600	育種開発課	研究開発費	454546.0	454546.0	100.0	100.0
340B50600	育種開発課	クレーム費	0.0	0.0		
340B50600	育種開発課	賃借料	5773956.0	6091908.0	94.7	217.5
340B50600	育種開発課	賃貸料収入	-307500.0	-240000.0		
340B50600	育種開発課	修繕費	10124588.0	12023000.0	84.2	
340B50600	育種開発課	支払リース料	34413.0	34413.0	100.0	
340B50600	育種開発課	保険料	70872.0	65498.0	108.2	313.6
340B50600	育種開発課	支払報酬	0.0	0.0		
340B50600	育種開発課	販売手数料	0.0	0.0		
340B50600	育種開発課	支払手数料	6497794.0	6774032.0	95.9	
340B50600	育種開発課	診断料	280800.0	296200.0	94.8	135.0
340B50600	育種開発課	諸会費	114031.0	115049.0	99.1	101.9
340B50600	育種開発課	会議費	0.0	0.0		0.0
340B50600	育種開発課	寄付金	0.0	0.0		
340B50600	育種開発課	租税公課	87200.0	93600.0	93.1	274.6
340B50600	育種開発課	業務委託費	45472000.0	45530500.0	99.8	133.1
340B50600	育種開発課	業務受託収入	0.0	0.0		
340B50600	育種開発課	システム管理料	100000.0	100000.0	100.0	111.1
340B50600	育種開発課	情報機器利用料	5952710.0	5721640.0	104.0	224.0
340B50600	育種開発課	貸倒金	0.0	0.0		
340B50600	育種開発課	雑費	714396.0	803476.0	88.9	493.7
340B50600	育種開発課	福利消耗品費	242252.0	419900.0	57.6	58.5
340B50600	育種開発課	教育研修費	23215.0	30700.0	75.6	81.3
340B50600	育種開発課	雑給	0.0	0.0		
340B50600	育種開発課	社内金利（固定資産）	2831186.0	2797167.0	101.2	115.2
340B50600	育種開発課	社内金利（売掛金）	0.0	0.0		
340B50600	育種開発課	部門共通（経費）	1429050.0	-1130043.0		13.2
340B50600	育種開発課	全社共通（経費）	16814258.0	15871591.0	105.9	146.1
340B50600	育種開発課	グループ共通	6076800.0	6076800.0	100.0	145.3
340B50600	育種開発課	差引収益	175859373.0	171856724.0	102.3	126.1
340B50600	育種開発課	差引比率	8663.0	8375.0	103.4	
340B50600	育種開発課	総時間	67522.25	65083.75	103.7	149.7
340B50600	育種開発課	定時間	57645.0	59394.0	97.0	162.0
340B50600	育種開発課	残業時間	2795.5	2948.0	94.8	191.4
340B50600	育種開発課	移動時間	-194.0	-214.0		
340B50600	育種開発課	部門共通（時間）	3801.0	-482.25		72.2
340B50600	育種開発課	全社共通（時間）	3474.75	3438.0	101.0	163.7
340B50600	育種開発課	当月時間当り	2604.4	2640.5	98.6	84.2
340B50600	育種開発課	人員	33.0	31.0	106.4	157.1
