組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340B50100	育種開発部	総受注高	0.0	0.0		
340B50100	育種開発部	許諾料	0.0	0.0		
340B50100	育種開発部	穂木	0.0	0.0		
340B50100	育種開発部	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50100	育種開発部	バラ	0.0	0.0		
340B50100	育種開発部	通信販売	0.0	0.0		
340B50100	育種開発部	セット苗	0.0	0.0		
340B50100	育種開発部	その他	0.0	0.0		
340B50100	育種開発部	総売上高	0.0	0.0		
340B50100	育種開発部	許諾料	0.0	0.0		
340B50100	育種開発部	穂木	0.0	0.0		
340B50100	育種開発部	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B50100	育種開発部	バラ	0.0	0.0		
340B50100	育種開発部	通信販売	0.0	0.0		
340B50100	育種開発部	セット苗	0.0	0.0		
340B50100	育種開発部	その他	0.0	0.0		
340B50100	育種開発部	社外売上	527878761.0	526293640.0	100.3	99.5
340B50100	育種開発部	売上原価	13500.0	0.0		0.0
340B50100	育種開発部	穂木・苗仕入高	0.0	0.0		0.0
340B50100	育種開発部	送料	0.0	0.0		0.0
340B50100	育種開発部	その他	13500.0	0.0		50.0
340B50100	育種開発部	総生産	2030000.0	2052000.0	98.9	2.9
340B50100	育種開発部	社内売	2710800.0	2700000.0	100.4	1.5
340B50100	育種開発部	社内仕入	680800.0	648000.0	105.0	0.6
340B50100	育種開発部	営業口銭	-184753545.0	-184202774.0		
340B50100	育種開発部	総収益	345141716.0	344142866.0	100.2	87.8
340B50100	育種開発部	経費合計	169282343.0	172286142.0	98.2	95.1
340B50100	育種開発部	種苗費	85400.0	158000.0	54.0	214.0
340B50100	育種開発部	肥料費	2149255.0	2275350.0	94.4	124.1
340B50100	育種開発部	培土費用	3834890.0	3935890.0	97.4	107.5
340B50100	育種開発部	農薬衛生費	5446823.0	5889987.0	92.4	100.2
340B50100	育種開発部	農具費	621402.0	844000.0	73.6	99.2
340B50100	育種開発部	諸材料費	3215968.0	3619708.0	88.8	30.9
340B50100	育種開発部	その他仕入高	0.0	0.0		
340B50100	育種開発部	減価償却費	11605169.0	11591687.0	100.1	94.3
340B50100	育種開発部	車両費	9604129.0	10052167.0	95.5	108.1
340B50100	育種開発部	旅費交通費	4324726.0	4998000.0	86.5	98.7
340B50100	育種開発部	荷造運搬費	329743.0	443314.0	74.3	13.8
340B50100	育種開発部	通信費	757190.0	860773.0	87.9	82.2
340B50100	育種開発部	水道光熱費	6912111.0	7313983.0	94.5	103.8
340B50100	育種開発部	動力費	0.0	0.0		0.0
340B50100	育種開発部	燃料費	15626904.0	16022500.0	97.5	115.1
340B50100	育種開発部	事務用品費	302545.0	390372.0	77.5	97.0
340B50100	育種開発部	消耗品費	623929.0	740982.0	84.2	72.3
340B50100	育種開発部	廃棄物処理料	948259.0	1157452.0	81.9	190.2
340B50100	育種開発部	広告宣伝費	500.0	0.0		5.4
340B50100	育種開発部	接待交際費	106833.0	62000.0	172.3	150.5
340B50100	育種開発部	研究開発費	454546.0	454546.0	100.0	100.0
340B50100	育種開発部	クレーム費	0.0	0.0		
340B50100	育種開発部	賃借料	5773956.0	6091908.0	94.7	105.6
340B50100	育種開発部	賃貸料収入	-307500.0	-240000.0		
340B50100	育種開発部	修繕費	10124588.0	12023000.0	84.2	145.7
340B50100	育種開発部	支払リース料	34413.0	34413.0	100.0	126.8
340B50100	育種開発部	保険料	70872.0	65498.0	108.2	222.6
340B50100	育種開発部	支払報酬	0.0	0.0		
340B50100	育種開発部	販売手数料	0.0	0.0		
340B50100	育種開発部	支払手数料	6497794.0	6774032.0	95.9	105.8
340B50100	育種開発部	診断料	280800.0	296200.0	94.8	81.8
340B50100	育種開発部	諸会費	114031.0	115049.0	99.1	54.5
340B50100	育種開発部	会議費	0.0	0.0		0.0
340B50100	育種開発部	寄付金	0.0	0.0		0.0
340B50100	育種開発部	租税公課	87200.0	93600.0	93.1	32.4
340B50100	育種開発部	業務委託費	45472000.0	45530500.0	99.8	83.6
340B50100	育種開発部	業務受託収入	0.0	0.0		
340B50100	育種開発部	システム管理料	100000.0	100000.0	100.0	111.1
340B50100	育種開発部	情報機器利用料	5952710.0	5721640.0	104.0	106.3
340B50100	育種開発部	貸倒金	0.0	0.0		
340B50100	育種開発部	雑費	714396.0	803476.0	88.9	300.0
340B50100	育種開発部	福利消耗品費	242252.0	419900.0	57.6	39.4
340B50100	育種開発部	教育研修費	23215.0	30700.0	75.6	52.2
340B50100	育種開発部	雑給	0.0	0.0		
340B50100	育種開発部	社内金利（固定資産）	2831186.0	2797167.0	101.2	78.2
340B50100	育種開発部	社内金利（売掛金）	0.0	0.0		
340B50100	育種開発部	部門共通（経費）	1429050.0	-1130043.0		
340B50100	育種開発部	全社共通（経費）	16814258.0	15871591.0	105.9	105.8
340B50100	育種開発部	グループ共通	6076800.0	6076800.0	100.0	89.7
340B50100	育種開発部	差引収益	175859373.0	171856724.0	102.3	81.8
340B50100	育種開発部	差引比率	8663.0	8375.0	103.4	
340B50100	育種開発部	総時間	67522.25	65083.75	103.7	107.6
340B50100	育種開発部	定時間	57645.0	59394.0	97.0	104.8
340B50100	育種開発部	残業時間	2795.5	2948.0	94.8	99.2
340B50100	育種開発部	移動時間	-194.0	-214.0		
340B50100	育種開発部	部門共通（時間）	3801.0	-482.25		
340B50100	育種開発部	全社共通（時間）	3474.75	3438.0	101.0	118.6
340B50100	育種開発部	当月時間当り	2604.4	2640.5	98.6	76.0
340B50100	育種開発部	人員	33.0	31.0	106.4	103.1
