組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340B30200	苗品質管理課	総受注高	0.0	0.0		
340B30200	苗品質管理課	許諾料	0.0	0.0		
340B30200	苗品質管理課	穂木	0.0	0.0		
340B30200	苗品質管理課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B30200	苗品質管理課	バラ	0.0	0.0		
340B30200	苗品質管理課	通信販売	0.0	0.0		
340B30200	苗品質管理課	セット苗	0.0	0.0		
340B30200	苗品質管理課	その他	0.0	0.0		
340B30200	苗品質管理課	総売上高	0.0	0.0		
340B30200	苗品質管理課	許諾料	0.0	0.0		
340B30200	苗品質管理課	穂木	0.0	0.0		
340B30200	苗品質管理課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340B30200	苗品質管理課	バラ	0.0	0.0		
340B30200	苗品質管理課	通信販売	0.0	0.0		
340B30200	苗品質管理課	セット苗	0.0	0.0		
340B30200	苗品質管理課	その他	0.0	0.0		
340B30200	苗品質管理課	社外売上	109986811.0	112000000.0	98.2	
340B30200	苗品質管理課	売上原価	0.0	0.0		
340B30200	苗品質管理課	穂木・苗仕入高	0.0	0.0		
340B30200	苗品質管理課	送料	0.0	0.0		
340B30200	苗品質管理課	その他	0.0	0.0		
340B30200	苗品質管理課	総生産	1626800.0	1278000.0	127.2	1.8
340B30200	苗品質管理課	社内売	2826800.0	2478000.0	114.0	3.2
340B30200	苗品質管理課	社内仕入	1200000.0	1200000.0	100.0	198.9
340B30200	苗品質管理課	営業口銭	-2196797.0	-2240000.0		
340B30200	苗品質管理課	総収益	109416814.0	111038000.0	98.5	125.4
340B30200	苗品質管理課	経費合計	50648774.0	50359004.0	100.5	101.4
340B30200	苗品質管理課	種苗費	500000.0	604000.0	82.7	81.7
340B30200	苗品質管理課	肥料費	29142.0	0.0		16.8
340B30200	苗品質管理課	培土費用	454125.0	561150.0	80.9	63.0
340B30200	苗品質管理課	農薬衛生費	610962.0	720000.0	84.8	151.5
340B30200	苗品質管理課	農具費	56292.0	45000.0	125.0	205.4
340B30200	苗品質管理課	諸材料費	5339987.0	5759252.0	92.7	92.8
340B30200	苗品質管理課	その他仕入高	0.0	0.0		
340B30200	苗品質管理課	減価償却費	9788726.0	9788725.0	100.0	104.8
340B30200	苗品質管理課	車両費	562756.0	446400.0	126.0	77.4
340B30200	苗品質管理課	旅費交通費	3125967.0	2965000.0	105.4	100.8
340B30200	苗品質管理課	荷造運搬費	1342618.0	1280000.0	104.8	129.2
340B30200	苗品質管理課	通信費	396456.0	407476.0	97.2	99.4
340B30200	苗品質管理課	水道光熱費	2070449.0	1760792.0	117.5	93.0
340B30200	苗品質管理課	動力費	0.0	0.0		
340B30200	苗品質管理課	燃料費	2140765.0	2110000.0	101.4	108.4
340B30200	苗品質管理課	事務用品費	104814.0	109584.0	95.6	104.2
340B30200	苗品質管理課	消耗品費	291840.0	193723.0	150.6	186.3
340B30200	苗品質管理課	廃棄物処理料	78567.0	91864.0	85.5	138.6
340B30200	苗品質管理課	広告宣伝費	750.0	0.0		
340B30200	苗品質管理課	接待交際費	22234.0	20000.0	111.1	175.6
340B30200	苗品質管理課	研究開発費	0.0	0.0		
340B30200	苗品質管理課	クレーム費	0.0	0.0		
340B30200	苗品質管理課	賃借料	1362828.0	1362828.0	100.0	98.1
340B30200	苗品質管理課	賃貸料収入	0.0	0.0		
340B30200	苗品質管理課	修繕費	187000.0	96000.0	194.7	394.3
340B30200	苗品質管理課	支払リース料	25470.0	10236.0	248.8	264.3
340B30200	苗品質管理課	保険料	88450.0	90530.0	97.7	129.6
340B30200	苗品質管理課	支払報酬	0.0	0.0		
340B30200	苗品質管理課	販売手数料	0.0	0.0		
340B30200	苗品質管理課	支払手数料	60221.0	59786.0	100.7	90.2
340B30200	苗品質管理課	診断料	26950.0	30800.0	87.5	99.4
340B30200	苗品質管理課	諸会費	3150.0	937.0	336.1	88.1
340B30200	苗品質管理課	会議費	0.0	0.0		
340B30200	苗品質管理課	寄付金	0.0	0.0		0.0
340B30200	苗品質管理課	租税公課	0.0	0.0		0.0
340B30200	苗品質管理課	業務委託費	12997575.0	12917000.0	100.6	110.3
340B30200	苗品質管理課	業務受託収入	0.0	0.0		
340B30200	苗品質管理課	システム管理料	0.0	0.0		
340B30200	苗品質管理課	情報機器利用料	1635400.0	1583400.0	103.2	103.5
340B30200	苗品質管理課	貸倒金	0.0	0.0		
340B30200	苗品質管理課	雑費	47557.0	67962.0	69.9	24.5
340B30200	苗品質管理課	福利消耗品費	76446.0	90900.0	84.0	86.0
340B30200	苗品質管理課	教育研修費	2719.0	0.0		44.7
340B30200	苗品質管理課	雑給	0.0	0.0		
340B30200	苗品質管理課	社内金利（固定資産）	2289607.0	2273293.0	100.7	86.9
340B30200	苗品質管理課	社内金利（売掛金）	0.0	0.0		
340B30200	苗品質管理課	部門共通（経費）	0.0	0.0		
340B30200	苗品質管理課	全社共通（経費）	3599351.0	3582766.0	100.4	93.9
340B30200	苗品質管理課	グループ共通	1329600.0	1329600.0	100.0	95.4
340B30200	苗品質管理課	差引収益	58768040.0	60678996.0	96.8	157.6
340B30200	苗品質管理課	差引比率	3612.4	4747.9	76.0	
340B30200	苗品質管理課	総時間	14581.75	14852.25	98.1	113.7
340B30200	苗品質管理課	定時間	13094.75	13216.0	99.0	101.4
340B30200	苗品質管理課	残業時間	728.25	860.0	84.6	159.6
340B30200	苗品質管理課	移動時間	0.0	0.0		
340B30200	苗品質管理課	部門共通（時間）	0.0	0.0		
340B30200	苗品質管理課	全社共通（時間）	758.75	776.25	97.7	107.3
340B30200	苗品質管理課	当月時間当り	4030.2	4085.5	98.6	138.5
340B30200	苗品質管理課	人員	7.0	7.0	100.0	100.0
