組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
340D50100	金丸開発生産課	総受注高	0.0	0.0		
340D50100	金丸開発生産課	許諾料	0.0	0.0		
340D50100	金丸開発生産課	穂木	0.0	0.0		
340D50100	金丸開発生産課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340D50100	金丸開発生産課	バラ	0.0	0.0		
340D50100	金丸開発生産課	通信販売	0.0	0.0		
340D50100	金丸開発生産課	セット苗	0.0	0.0		
340D50100	金丸開発生産課	その他	0.0	0.0		
340D50100	金丸開発生産課	総売上高	0.0	0.0		
340D50100	金丸開発生産課	許諾料	0.0	0.0		
340D50100	金丸開発生産課	穂木	0.0	0.0		
340D50100	金丸開発生産課	ﾛｲﾔﾙﾃｨ	0.0	0.0		
340D50100	金丸開発生産課	バラ	0.0	0.0		
340D50100	金丸開発生産課	通信販売	0.0	0.0		
340D50100	金丸開発生産課	セット苗	0.0	0.0		
340D50100	金丸開発生産課	その他	0.0	0.0		
340D50100	金丸開発生産課	社外売上	14354360.0	15706360.0	91.3	100.7
340D50100	金丸開発生産課	売上原価	0.0	0.0		
340D50100	金丸開発生産課	穂木・苗仕入高	0.0	0.0		
340D50100	金丸開発生産課	送料	0.0	0.0		
340D50100	金丸開発生産課	その他	0.0	0.0		
340D50100	金丸開発生産課	総生産	7249878.0	5542090.0	130.8	106.5
340D50100	金丸開発生産課	社内売	7981478.0	6172090.0	129.3	96.2
340D50100	金丸開発生産課	社内仕入	731600.0	630000.0	116.1	49.2
340D50100	金丸開発生産課	営業口銭	-1435436.0	-1570636.0		
340D50100	金丸開発生産課	総収益	20168802.0	19677814.0	102.4	102.7
340D50100	金丸開発生産課	経費合計	23961623.0	24025620.0	99.7	99.6
340D50100	金丸開発生産課	種苗費	20000.0	20000.0	100.0	87.9
340D50100	金丸開発生産課	肥料費	222125.0	220000.0	100.9	58.1
340D50100	金丸開発生産課	培土費用	106120.0	100000.0	106.1	56.4
340D50100	金丸開発生産課	農薬衛生費	2214901.0	2069000.0	107.0	110.4
340D50100	金丸開発生産課	農具費	206821.0	110000.0	188.0	53.0
340D50100	金丸開発生産課	諸材料費	661026.0	854550.0	77.3	100.1
340D50100	金丸開発生産課	その他仕入高	0.0	0.0		
340D50100	金丸開発生産課	減価償却費	808076.0	808076.0	100.0	101.1
340D50100	金丸開発生産課	車両費	1019182.0	852428.0	119.5	118.4
340D50100	金丸開発生産課	旅費交通費	50000.0	50000.0	100.0	67.2
340D50100	金丸開発生産課	荷造運搬費	15880.0	25000.0	63.5	40.2
340D50100	金丸開発生産課	通信費	260494.0	263232.0	98.9	93.5
340D50100	金丸開発生産課	水道光熱費	1033993.0	1020000.0	101.3	110.6
340D50100	金丸開発生産課	動力費	0.0	0.0		
340D50100	金丸開発生産課	燃料費	685000.0	685000.0	100.0	116.6
340D50100	金丸開発生産課	事務用品費	31580.0	36000.0	87.7	55.8
340D50100	金丸開発生産課	消耗品費	103064.0	80000.0	128.8	46.5
