組織コード	組織名	科目	年度_見通し	MP	MP比	前年比
230V10100	農芸トマト課	総受注高	117281386.0	114000000.0	102.8	147.1
230V10100	農芸トマト課	総売上高	117281386.0	114000000.0	102.8	147.1
230V10100	農芸トマト課	売上高	586986.0	0.0		14.5
230V10100	農芸トマト課	グループ売上高	116694400.0	114000000.0	102.3	154.1
230V10100	農芸トマト課	社内売上高	0.0	0.0		
230V10100	農芸トマト課	販売奨励金	0.0	0.0		
230V10100	農芸トマト課	売上原価	0.0	0.0		0.0
230V10100	農芸トマト課	仕入高	0.0	0.0		
230V10100	農芸トマト課	グループ仕入高	0.0	0.0		
230V10100	農芸トマト課	社内仕入高	0.0	0.0		
230V10100	農芸トマト課	荷造運搬費	0.0	0.0		0.0
230V10100	農芸トマト課	販売手数料	0.0	0.0		
230V10100	農芸トマト課	総収益	117281386.0	114000000.0	102.8	147.1
230V10100	農芸トマト課	経費合計	76500799.0	79000000.0	96.8	122.9
230V10100	農芸トマト課	経費合計（原価）	66447961.0	68202900.0	97.4	126.3
230V10100	農芸トマト課	種苗費*	6560100.0	6549600.0	100.1	129.3
230V10100	農芸トマト課	肥料費*	2667491.0	3095000.0	86.1	92.3
230V10100	農芸トマト課	培土費用*	0.0	0.0		
230V10100	農芸トマト課	農薬衛生費*	4319837.0	4255000.0	101.5	124.3
230V10100	農芸トマト課	農具費*	2187751.0	3089500.0	70.8	203.1
230V10100	農芸トマト課	諸材料費*	10827474.0	11377000.0	95.1	102.5
230V10100	農芸トマト課	その他仕入高*	0.0	0.0		
230V10100	農芸トマト課	減価償却費*	10808662.0	10761300.0	100.4	99.5
230V10100	農芸トマト課	車両費*	0.0	0.0		
230V10100	農芸トマト課	水道光熱費*	0.0	0.0		
230V10100	農芸トマト課	動力費*	3529036.0	3555000.0	99.2	128.5
230V10100	農芸トマト課	燃料費*	17346000.0	17610000.0	98.5	179.4
230V10100	農芸トマト課	賃借料*	3951934.0	3952000.0	99.9	100.1
230V10100	農芸トマト課	修繕費*	2421600.0	2420500.0	100.0	995.0
230V10100	農芸トマト課	診断料*	0.0	0.0		
230V10100	農芸トマト課	租税公課*	0.0	0.0		
230V10100	農芸トマト課	業務委託費*	0.0	0.0		
230V10100	農芸トマト課	雑費*	1828076.0	1538000.0	118.8	88.4
230V10100	農芸トマト課	雑給*	0.0	0.0		
230V10100	農芸トマト課	経費合計（販管費）	10052838.0	10797100.0	93.1	104.5
230V10100	農芸トマト課	減価償却費	0.0	0.0		
230V10100	農芸トマト課	車両費	841028.0	955000.0	88.0	88.5
230V10100	農芸トマト課	旅費交通費	0.0	0.0		
230V10100	農芸トマト課	通信費	525008.0	552000.0	95.1	113.3
230V10100	農芸トマト課	水道光熱費	16960.0	17600.0	96.3	101.3
230V10100	農芸トマト課	事務用品費	61893.0	72000.0	85.9	110.2
230V10100	農芸トマト課	消耗品費	182497.0	180000.0	101.3	34.8
230V10100	農芸トマト課	廃棄物処理料	218100.0	296000.0	73.6	59.2
230V10100	農芸トマト課	広告宣伝費	90000.0	0.0		
230V10100	農芸トマト課	接待交際費	0.0	0.0		0.0
230V10100	農芸トマト課	賃借料	109164.0	109200.0	99.9	100.0
230V10100	農芸トマト課	賃貸料収入	0.0	0.0		
230V10100	農芸トマト課	修繕費	100000.0	100000.0	100.0	104.7
230V10100	農芸トマト課	支払リース料	84700.0	85100.0	99.5	115.0
230V10100	農芸トマト課	保険料	530320.0	530400.0	99.9	164.4
230V10100	農芸トマト課	支払報酬	414128.0	820000.0	50.5	50.3
230V10100	農芸トマト課	支払手数料	244080.0	216000.0	113.0	83.3
230V10100	農芸トマト課	診断料	308800.0	313600.0	98.4	110.3
230V10100	農芸トマト課	諸会費	22500.0	29000.0	77.5	78.9
230V10100	農芸トマト課	会議費	0.0	0.0		
230V10100	農芸トマト課	寄付金	0.0	0.0		
230V10100	農芸トマト課	租税公課	544958.0	733000.0	74.3	84.2
230V10100	農芸トマト課	業務委託費	0.0	0.0		
230V10100	農芸トマト課	業務受託収入	-480000.0	-480000.0		
230V10100	農芸トマト課	情報機器利用料	558200.0	576000.0	96.9	110.2
230V10100	農芸トマト課	貸倒金	0.0	0.0		
230V10100	農芸トマト課	雑費	754107.0	740200.0	101.8	98.6
230V10100	農芸トマト課	福利消耗品費	10985.0	18000.0	61.0	63.4
230V10100	農芸トマト課	教育研修費	19091.0	0.0		
230V10100	農芸トマト課	廃棄損	0.0	0.0		
230V10100	農芸トマト課	雑給	0.0	0.0		
230V10100	農芸トマト課	社内金利（固定資産）	2862319.0	2900000.0	98.7	91.0
230V10100	農芸トマト課	社内金利（売掛金）	0.0	0.0		
230V10100	農芸トマト課	グループ共通	2034000.0	2034000.0	100.0	109.3
230V10100	農芸トマト課	差引収益	40780587.0	35000000.0	116.5	232.8
230V10100	農芸トマト課	差引比率	34.7	30.7	113.0	158.4
230V10100	農芸トマト課	総時間	28457.5	27376.0	103.9	115.4
230V10100	農芸トマト課	定時間	28160.5	26874.0	104.7	123.5
230V10100	農芸トマト課	残業時間	938.5	591.0	158.7	125.5
230V10100	農芸トマト課	移動時間	-641.5	-89.0		
230V10100	農芸トマト課	当月時間当り	1433.0	1278.4	112.0	201.7
230V10100	農芸トマト課	人員	25.0	25.0	100.0	108.6
